mh_level,split,status,message,original_competitor_failure_reason,country_model_name,country_model_source,country_model_threshold,country_model_n_estimators,country_model_max_samples,country_model_max_features,country_model_contamination,competitor_train_rows,competitor_train_products,matched_train_rows,matched_train_products,test_rows,test_products,n_trials,injection_rate,accuracy,precision,recall,tnr,fpr,fnr,f1,g_mean,accuracy_std,precision_std,recall_std,tnr_std,fpr_std,fnr_std,f1_std,g_mean_std,true_positives,false_positives,false_negatives,true_negatives,n_injected,n_predicted
mh10,new_prices,ok,evaluated,"Need at least 50 valid samples, got 20",COUNTRY_4_mh10,refit_from_best_country_configuration,0.36,100,512,0.75,auto,32,4,32,4,8,4,10,0.1,0.9,0.6,1.0,0.8857142857142858,0.11428571428571428,0.0,0.7333333333333333,0.9406560798180411,0.049999999999999996,0.2,0.0,0.05714285714285716,0.05714285714285714,0.0,0.13333333333333336,0.029671960090979436,1.0,0.8,0.0,6.2,1.0,1.8
mh10,new_products,ok,evaluated,"Need at least 50 valid samples, got 20",COUNTRY_4_mh10,refit_from_best_country_configuration,0.36,100,512,0.75,auto,32,4,0,0,10,1,10,0.1,0.8300000000000001,0.7,0.7,0.8444444444444444,0.15555555555555556,0.3,0.7,0.7,0.3163858403911275,0.45825756949558394,0.45825756949558394,0.3111111111111111,0.3111111111111111,0.45825756949558394,0.45825756949558394,0.45825756949558394,0.7,1.4,0.3,7.6,1.0,2.1
mh15,new_prices,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh15,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh15,new_products,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh15,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh20,new_prices,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh20,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh20,new_products,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh20,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh25,new_prices,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh25,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh25,new_products,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh25,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh30,new_prices,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh30,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
mh30,new_products,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,"Need at least 50 valid samples, got 0",COUNTRY_4_mh30,not_loaded_empty_test_split,0.36,100,512,0.75,auto,0,0,0,0,0,0,10,0.1,,,,,,,,,,,,,,,,,,,,,,
