mh_value,mh_level,granularity,granularity_label,scope_id,dataset_name,combined_f1,combined_g_mean,training_time_sec,best_threshold,best_config_key,n_estimators,max_samples,max_features,contamination,summary_path
5,mh5,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.6684433881557661,0.8978845371975333,0.398509,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.5971753596872751,0.8815999790941996,8.51819,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,0.6460416002565683,0.865446620147589,7.406046,0.3,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,0.6265120651815904,0.9054306660377138,1.6218810000000001,0.36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,0.6183514410804833,0.8884738377426525,7.297676,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,0.6368208585556047,0.8550727488362483,4.6258479999999995,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,0.6749932353840451,0.904881044395992,6.605038,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,0.5856392061620825,0.8823996264453955,9.725629,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,0.6924635871590763,0.8869095209050761,5.061964,0.3,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,0.6993802709433822,0.9141395800811138,0.932221,0.36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,0.6422683391631198,0.9156204858048127,6.08303,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,0.5561972724719393,0.8656402681150576,0.194599,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
