detector_family,detector_label,mh_value,mh_level,granularity,scope_id,threshold,weighted_f1_mean,weighted_g_mean,combined_f1,rank_score,source_root,best_configuration_path
hybrid_avg,Hybrid average,5,mh5,global,GLOBAL_2026-02-08,3.5,0.37695059326921243,0.6727253927230278,0.37695059326921243,0.6727253927230278,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh5\global\GLOBAL_2026-02-08\hybrid_avg\best_configuration.json
hybrid_avg,Hybrid average,10,mh10,global,GLOBAL_2026-02-08,3.5,0.39072779961355875,0.6917383164643311,0.39072779961355875,0.6917383164643311,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\hybrid_avg\best_configuration.json
hybrid_avg,Hybrid average,15,mh15,global,GLOBAL_2026-02-08,4.25,0.3940331899400653,0.691258694429222,0.3940331899400653,0.691258694429222,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh15\global\GLOBAL_2026-02-08\hybrid_avg\best_configuration.json
hybrid_avg,Hybrid average,20,mh20,global,GLOBAL_2026-02-08,4.25,0.38796885528436503,0.7235008751852676,0.38796885528436503,0.7235008751852676,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh20\global\GLOBAL_2026-02-08\hybrid_avg\best_configuration.json
hybrid_avg,Hybrid average,25,mh25,global,GLOBAL_2026-02-08,4.25,0.41815387730067655,0.7775347930369504,0.41815387730067655,0.7775347930369504,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh25\global\GLOBAL_2026-02-08\hybrid_avg\best_configuration.json
hybrid_avg,Hybrid average,30,mh30,global,GLOBAL_2026-02-08,4.5,0.42513822544036545,0.7835925852927061,0.42513822544036545,0.7835925852927061,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh30\global\GLOBAL_2026-02-08\hybrid_avg\best_configuration.json
hybrid_max,Hybrid maximum,5,mh5,global,GLOBAL_2026-02-08,4.25,0.3868975762104026,0.6734636824912631,0.3868975762104026,0.6734636824912631,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh5\global\GLOBAL_2026-02-08\hybrid_max\best_configuration.json
hybrid_max,Hybrid maximum,10,mh10,global,GLOBAL_2026-02-08,4.25,0.39954775187711744,0.6924119517667328,0.39954775187711744,0.6924119517667328,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\hybrid_max\best_configuration.json
hybrid_max,Hybrid maximum,15,mh15,global,GLOBAL_2026-02-08,4.5,0.38871683409012714,0.6912052409819978,0.38871683409012714,0.6912052409819978,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh15\global\GLOBAL_2026-02-08\hybrid_max\best_configuration.json
hybrid_max,Hybrid maximum,20,mh20,global,GLOBAL_2026-02-08,5.0,0.39340656266698804,0.7238299472334451,0.39340656266698804,0.7238299472334451,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh20\global\GLOBAL_2026-02-08\hybrid_max\best_configuration.json
