mh_level,scope_id,country,scope_market,resumed,new_prices_complete,new_products_complete
mh5,COMPETITOR_1_COUNTRY_1,COUNTRY_1,B2B,False,True,True
mh10,COMPETITOR_1_COUNTRY_1,COUNTRY_1,B2B,False,True,True
mh15,COMPETITOR_1_COUNTRY_1,COUNTRY_1,B2B,False,True,True
mh20,COMPETITOR_1_COUNTRY_1,COUNTRY_1,B2B,False,True,True
mh25,COMPETITOR_1_COUNTRY_1,COUNTRY_1,B2B,False,True,True
mh30,COMPETITOR_1_COUNTRY_1,COUNTRY_1,B2B,False,True,True
mh5,COMPETITOR_1_COUNTRY_2,COUNTRY_2,B2B,False,True,True
mh10,COMPETITOR_1_COUNTRY_2,COUNTRY_2,B2B,False,True,True
mh15,COMPETITOR_1_COUNTRY_2,COUNTRY_2,B2B,False,True,True
mh20,COMPETITOR_1_COUNTRY_2,COUNTRY_2,B2B,False,True,True
mh25,COMPETITOR_1_COUNTRY_2,COUNTRY_2,B2B,False,True,True
mh30,COMPETITOR_1_COUNTRY_2,COUNTRY_2,B2B,False,True,True
mh5,COMPETITOR_1_COUNTRY_3,COUNTRY_3,B2B,False,True,True
mh10,COMPETITOR_1_COUNTRY_3,COUNTRY_3,B2B,False,True,True
mh15,COMPETITOR_1_COUNTRY_3,COUNTRY_3,B2B,False,True,True
mh20,COMPETITOR_1_COUNTRY_3,COUNTRY_3,B2B,False,True,True
mh25,COMPETITOR_1_COUNTRY_3,COUNTRY_3,B2B,False,True,True
mh30,COMPETITOR_1_COUNTRY_3,COUNTRY_3,B2B,False,True,True
mh5,COMPETITOR_1_COUNTRY_4,COUNTRY_4,B2B,False,True,True
mh10,COMPETITOR_1_COUNTRY_4,COUNTRY_4,B2B,False,True,True
mh15,COMPETITOR_1_COUNTRY_4,COUNTRY_4,B2B,False,True,True
mh20,COMPETITOR_1_COUNTRY_4,COUNTRY_4,B2B,False,True,True
mh25,COMPETITOR_1_COUNTRY_4,COUNTRY_4,B2B,False,True,True
mh30,COMPETITOR_1_COUNTRY_4,COUNTRY_4,B2B,False,True,True
mh5,COMPETITOR_2_COUNTRY_1,COUNTRY_1,B2C,False,True,True
mh10,COMPETITOR_2_COUNTRY_1,COUNTRY_1,B2C,False,True,True
mh15,COMPETITOR_2_COUNTRY_1,COUNTRY_1,B2C,False,True,True
mh20,COMPETITOR_2_COUNTRY_1,COUNTRY_1,B2C,False,True,True
mh25,COMPETITOR_2_COUNTRY_1,COUNTRY_1,B2C,False,True,True
mh30,COMPETITOR_2_COUNTRY_1,COUNTRY_1,B2C,False,True,True
mh5,COMPETITOR_2_COUNTRY_2,COUNTRY_2,B2C,False,True,True
mh10,COMPETITOR_2_COUNTRY_2,COUNTRY_2,B2C,False,True,True
mh15,COMPETITOR_2_COUNTRY_2,COUNTRY_2,B2C,False,True,True
mh20,COMPETITOR_2_COUNTRY_2,COUNTRY_2,B2C,False,True,True
mh25,COMPETITOR_2_COUNTRY_2,COUNTRY_2,B2C,False,True,True
mh30,COMPETITOR_2_COUNTRY_2,COUNTRY_2,B2C,False,True,True
mh5,COMPETITOR_2_COUNTRY_3,COUNTRY_3,B2C,False,True,True
mh10,COMPETITOR_2_COUNTRY_3,COUNTRY_3,B2C,False,True,True
mh15,COMPETITOR_2_COUNTRY_3,COUNTRY_3,B2C,False,True,True
mh20,COMPETITOR_2_COUNTRY_3,COUNTRY_3,B2C,False,True,True
mh25,COMPETITOR_2_COUNTRY_3,COUNTRY_3,B2C,False,True,True
mh30,COMPETITOR_2_COUNTRY_3,COUNTRY_3,B2C,False,True,True
mh5,COMPETITOR_2_COUNTRY_4,COUNTRY_4,B2C,False,True,True
