mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4349146110056926,0.7919834139599171,0.6354588769467167,0.8857296343194813,0.1142703656805187,0.2080165860400829,0.8686075519417308,2292.0,2978.0,602.0,23083.0,2894.0,26061.0,5270.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.1806059759843619,0.8939184519695923,0.3148226399077704,0.5496335520509573,0.4503664479490426,0.1060815480304077,0.7201605896009895,2587.0,11737.0,307.0,14324.0,2894.0,26061.0,14324.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.1779684282772821,0.8959917069799586,0.3102079449908924,0.5404243889336556,0.4595756110663443,0.1040082930200414,0.7140030917723782,2593.0,11977.0,301.0,14084.0,2894.0,26061.0,14570.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.175583361515049,0.8970283344851416,0.30862070258888,0.5322896281800391,0.4677103718199608,0.1029716655148583,0.7116028448740657,2596.0,12189.0,298.0,13872.0,2894.0,26061.0,14785.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3642139782742365,0.8303738317757009,0.605090596189051,0.8390243902439024,0.1609756097560975,0.169626168224299,0.8749148317858597,1777.0,3102.0,363.0,16168.0,2140.0,19270.0,4879.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.1815340909090909,0.8957943925233645,0.387232334495942,0.5514789828749351,0.4485210171250648,0.1042056074766355,0.7787797438946684,1917.0,8643.0,223.0,10627.0,2140.0,19270.0,10560.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.1734739476271337,0.9070093457943924,0.3679216129062856,0.5200830306175402,0.4799169693824597,0.0929906542056074,0.7648095332684299,1941.0,9248.0,199.0,10022.0,2140.0,19270.0,11189.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.1683682297975428,0.9093457943925234,0.3655972524947306,0.5011935651271406,0.4988064348728593,0.0906542056074766,0.7598795714564912,1946.0,9612.0,194.0,9658.0,2140.0,19270.0,11558.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3483201581027668,0.852994555353902,0.5659970226184949,0.8228103170338528,0.1771896829661472,0.147005444646098,0.8708794812709721,1410.0,2638.0,243.0,12250.0,1653.0,14888.0,4048.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.2686622320768662,0.8796128251663642,0.4691975318190619,0.7341483073616335,0.2658516926383664,0.1203871748336358,0.8406201224110708,1454.0,3958.0,199.0,10930.0,1653.0,14888.0,5412.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.2441438469152095,0.8953418027828192,0.4273430172709596,0.6922353573347663,0.3077646426652337,0.1046581972171808,0.8218481950626609,1480.0,4582.0,173.0,10306.0,1653.0,14888.0,6062.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.2299861175381767,0.9019963702359348,0.4213732801851613,0.6646963997850618,0.3353036002149382,0.0980036297640653,0.8168423625673975,1491.0,4992.0,162.0,9896.0,1653.0,14888.0,6483.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3112102621305075,0.8435374149659864,0.5444894955584273,0.7926808796374014,0.2073191203625986,0.1564625850340136,0.8641670577072167,1116.0,2470.0,207.0,9444.0,1323.0,11914.0,3586.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.3344136711844431,0.8578987150415722,0.5337777764001723,0.810391136478093,0.189608863521907,0.1421012849584278,0.8592990984997773,1135.0,2259.0,188.0,9655.0,1323.0,11914.0,3394.0
