mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,currency_swap,0.027855347668249094,1.0,0.057046218854410066,0.5123616753046645,0.48763832469533547,0.0,0.7226184451394533,399.0,13925.0,0.0,14631.0,399.0,28556.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,currency_swap,0.027462121212121212,1.0,0.07022468268885723,0.5137310606060606,0.4862689393939394,0.0,0.7820777644926272,290.0,10270.0,0.0,10850.0,290.0,21120.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,currency_swap,0.040835181079083516,1.0,0.08129423660262891,0.6819240196078431,0.31807598039215684,0.0,0.8471806597093277,221.0,5191.0,0.0,11129.0,221.0,16320.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,currency_swap,0.05215085444902769,1.0,0.10406453555387286,0.7536753445635528,0.24632465543644716,0.0,0.8826402420411305,177.0,3217.0,0.0,9843.0,177.0,13060.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,currency_swap,0.06466632177961718,1.0,0.10014530923621834,0.8118626430801249,0.18813735691987513,0.0,0.9035114934900998,125.0,1808.0,0.0,7802.0,125.0,9610.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,currency_swap,0.05565879125741085,1.0,0.1046433399649332,0.7734086373094399,0.2265913626905601,0.0,0.879402296682402,629.0,10672.0,0.0,36426.0,629.0,47098.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,decimal_shift,0.02234012845573862,0.8839779005524862,0.04770234304809447,0.5102297765187284,0.48977022348127164,0.11602209944751381,0.7033738041020894,320.0,14004.0,42.0,14589.0,362.0,28593.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,decimal_shift,0.024053030303030302,0.9338235294117647,0.06858881606945272,0.5124420474973981,0.487557952502602,0.0661764705882353,0.772499454536332,254.0,10306.0,18.0,10832.0,272.0,21138.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,decimal_shift,0.03603104212860311,0.9112149532710281,0.09014447773903145,0.6804679365468242,0.3195320634531757,0.08878504672897196,0.832925369298594,195.0,5217.0,19.0,11110.0,214.0,16327.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,decimal_shift,0.05215085444902769,0.946524064171123,0.1296168248370416,0.7534865900383142,0.24651340996168583,0.053475935828877004,0.8747327231041641,177.0,3217.0,10.0,9833.0,187.0,13050.0,3394.0
