mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.1806059759843619,0.8939184519695923,0.31482263990777043,0.5496335520509573,0.4503664479490426,0.10608154803040774,0.7201605896009895,2587.0,11737.0,307.0,14324.0,2894.0,26061.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.18153409090909092,0.8957943925233645,0.387232334495942,0.5514789828749351,0.44852101712506487,0.10420560747663551,0.7787797438946684,1917.0,8643.0,223.0,10627.0,2140.0,19270.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.26866223207686624,0.8796128251663642,0.4691975318190619,0.7341483073616335,0.26585169263836644,0.12038717483363581,0.8406201224110708,1454.0,3958.0,199.0,10930.0,1653.0,14888.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.33441367118444315,0.8578987150415722,0.5337777764001723,0.810391136478093,0.189608863521907,0.1421012849584278,0.8592990984997773,1135.0,2259.0,188.0,9655.0,1323.0,11914.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.4304190377651319,0.8550873586844809,0.6044169514922806,0.8743437571330747,0.12565624286692537,0.144912641315519,0.8831164221625403,832.0,1101.0,141.0,7661.0,973.0,8762.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.35244668613397045,0.8346605196982397,0.5091440437144825,0.8296356652310558,0.17036433476894425,0.16533948030176027,0.844554610605911,3983.0,7318.0,789.0,35637.0,4772.0,42955.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4349146110056926,0.7919834139599171,0.6354588769467167,0.8857296343194813,0.11427036568051878,0.20801658604008294,0.8686075519417308,2292.0,2978.0,602.0,23083.0,2894.0,26061.0,5270.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3642139782742365,0.8303738317757009,0.605090596189051,0.8390243902439024,0.16097560975609757,0.16962616822429907,0.8749148317858597,1777.0,3102.0,363.0,16168.0,2140.0,19270.0,4879.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3483201581027668,0.852994555353902,0.5659970226184949,0.8228103170338528,0.17718968296614723,0.147005444646098,0.8708794812709721,1410.0,2638.0,243.0,12250.0,1653.0,14888.0,4048.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3112102621305075,0.8435374149659864,0.5444894955584273,0.7926808796374014,0.2073191203625986,0.1564625850340136,0.8641670577072167,1116.0,2470.0,207.0,9444.0,1323.0,11914.0,3586.0
