mh_level,mh_value,detector_combination,valid_scope_evaluations,unique_scopes,mean_precision,mean_recall,mean_f1_wc,mean_g_wc
mh5,5,Sanity -> Z-score,12,12,0.5193297695784832,0.7767349744306705,0.6602246222829063,0.8696272337764896
mh5,5,Sanity -> IF,12,12,0.40905569555393134,0.8434886204925441,0.5827977037161275,0.8673259583639307
mh5,5,Sanity -> Z-score (>=10) -> IF,12,12,0.38427788737220014,0.8519273149195912,0.5557126674908694,0.8625260939073925
mh5,5,Sanity -> Z-score (>=5) -> IF,12,12,0.3625849492014099,0.8586106604703211,0.5388782179476165,0.8582275135888343
mh10,10,Sanity -> Z-score,12,12,0.4721075247297677,0.8029944638470541,0.6526504701081195,0.8702342775111606
mh10,10,Sanity -> IF,12,12,0.4191543366921109,0.8683894479946265,0.5917883324194216,0.8642982727858298
mh10,10,Sanity -> Z-score (>=10) -> IF,12,12,0.3918471009279528,0.8775140655883774,0.5582955865179654,0.8585631145363092
mh10,10,Sanity -> Z-score (>=5) -> IF,12,12,0.35769428387761365,0.8820621377962663,0.5387687348130169,0.8510092592382179
mh15,15,Sanity -> Z-score,11,11,0.46850283396738496,0.7955516435997592,0.6651521273028261,0.8775126326076343
mh15,15,Sanity -> IF,11,11,0.3933484675144427,0.8611644588149786,0.597304325051781,0.8707624519836155
mh15,15,Sanity -> Z-score (>=10) -> IF,11,11,0.3561139933891732,0.8731126430769663,0.5479288421213951,0.8612743103468713
mh15,15,Sanity -> Z-score (>=5) -> IF,11,11,0.33197243347836386,0.8779666151946848,0.5394485691000775,0.857766174405096
mh20,20,Sanity -> Z-score,11,11,0.4506904271308547,0.8038475841731082,0.6563306591947015,0.8789225471946832
mh20,20,Sanity -> IF,11,11,0.3553151710890574,0.8784519978016576,0.5859986773785786,0.8347361514095926
mh20,20,Sanity -> Z-score (>=10) -> IF,11,11,0.31372389528403466,0.8906565719174434,0.5300929049043905,0.8234847267606971
mh20,20,Sanity -> Z-score (>=5) -> IF,11,11,0.29012047829393,0.8959946628150427,0.5216961490356168,0.8202359097284677
mh25,25,Sanity -> Z-score,11,11,0.41210955820383094,0.8162330078934871,0.6466725499114793,0.8805802156008228
mh25,25,Sanity -> IF,11,11,0.34118649854601946,0.8916918910305479,0.5585668725723981,0.7883598996223796
mh25,25,Sanity -> Z-score (>=10) -> IF,11,11,0.2916243349056254,0.9059053945099844,0.49132381474121606,0.7750558529133951
mh25,25,Sanity -> Z-score (>=5) -> IF,11,11,0.2646071525778693,0.9112608190899443,0.4816093171197471,0.771183220941463
mh30,30,Sanity -> Z-score,11,11,0.42311218668840406,0.8392886012896152,0.66534733702114,0.8899635887692816
mh30,30,Sanity -> IF,11,11,0.4268593120227806,0.8947042063546544,0.599024560298744,0.8285239524671385
mh30,30,Sanity -> Z-score (>=10) -> IF,11,11,0.36633456931902403,0.9105901741093703,0.5298572758187746,0.8150243363717969
mh30,30,Sanity -> Z-score (>=5) -> IF,11,11,0.3401892291043053,0.916132675389538,0.5205254014570243,0.811313512457967
