anomaly_case,detector_combination,valid_scope_mh_evaluations,mean_precision,mean_recall,mean_f1,mean_g
currency_swap,Sanity -> Z-score,66,0.07034409659439317,1.0,0.14374146554755005,0.9192543285787032
currency_swap,Sanity -> IF,66,0.054435231867448294,1.0,0.1140641747941663,0.8594503414079794
decimal_shift,Sanity -> Z-score,67,0.0578882569481013,0.7870464413164453,0.12820684496494725,0.8498449375374688
decimal_shift,Sanity -> IF,67,0.055976953643162845,0.9420730502734083,0.11386257295590137,0.8399117594046908
extreme_outlier,Sanity -> Z-score,66,0.05189965601535893,0.768370383350307,0.12842461996388452,0.8554331761160331
extreme_outlier,Sanity -> IF,66,0.05189494846007295,0.9655438384748527,0.11418040969843732,0.8528561077867872
list_price_violation,Sanity -> Z-score,18,0.08479752524411062,1.0,0.16543756921826114,0.9398741965508527
list_price_violation,Sanity -> IF,18,0.044271385742825804,1.0,0.10712149841382448,0.7806481097363857
negative_price,Sanity -> Z-score,67,0.071401841595678,1.0,0.13695898667710588,0.8800684980652592
negative_price,Sanity -> IF,67,0.05725245655238184,1.0,0.11194741909819017,0.8257494753248106
price_drop,Sanity -> Z-score,66,0.04629406257240382,0.6711435089269879,0.11638303108748531,0.7990470928137489
price_drop,Sanity -> IF,66,0.043426995413808414,0.8045349120066287,0.10500498221466022,0.8014915040593472
price_noise,Sanity -> Z-score,66,0.02107234355948061,0.31555279058230234,0.045806263082028925,0.49642495040206147
price_noise,Sanity -> IF,66,0.012861645567842753,0.31521186502914417,0.027163418913266242,0.4090839740787484
price_spike,Sanity -> Z-score,67,0.05238822051013994,0.7887424858198161,0.12287744906833502,0.8457910312317428
price_spike,Sanity -> IF,67,0.05037457418416089,0.8856848135424071,0.10809770650372431,0.8219289832600555
zero_price,Sanity -> Z-score,68,0.07327557778881791,1.0,0.15907097423145247,0.9113524306847943
zero_price,Sanity -> IF,68,0.06075191506810686,1.0,0.1310876409849682,0.8541372114316207
