mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,currency_swap,0.08284883720930232,0.9062003179650239,0.15181781861765878,0.8660240349908701,0.1339759650091299,0.09379968203497616,0.885884448375791,570,6310,59,40788,629,47098,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,decimal_shift,0.07877906976744187,0.9109243697478991,0.14501672240802677,0.8655266061274718,0.1344733938725282,0.08907563025210084,0.8879354020348019,542,6338,53,40794,595,47132,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,extreme_outlier,0.07601744186046512,0.9191564147627417,0.14042153309169017,0.8651978455405234,0.13480215445947666,0.08084358523725835,0.8917691123645604,523,6357,46,40801,569,47158,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,negative_price,0.07136627906976745,0.8364565587734242,0.13151198607205036,0.8644675434874841,0.13553245651251591,0.1635434412265758,0.8503467214006628,491,6389,96,40751,587,47140,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,price_drop,0.05159883720930233,0.5877483443708609,0.09486905398182789,0.8615325849372918,0.13846741506270824,0.41225165562913907,0.7115928262837121,355,6525,249,40598,604,47123,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,price_noise,0.008575581395348838,0.10611510791366907,0.015868746637977407,0.8553984439592123,0.14460155604078778,0.8938848920863309,0.30128175880712793,59,6821,497,40350,556,47171,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,price_spike,0.07776162790697674,0.8346333853354134,0.14226831538359264,0.8652465701057639,0.13475342989423608,0.16536661466458658,0.8498021381222978,535,6345,106,40741,641,47086,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF,combined,zero_price,0.07441860465116279,0.8663282571912013,0.1370633114710213,0.8649015614392397,0.13509843856076034,0.13367174280879865,0.8656146153823914,512,6368,79,40768,591,47136,6880
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF -> Z-score (50/50),combined,currency_swap,0.09694065610025801,0.8362480127186009,0.17374071015689513,0.8959616119580449,0.10403838804195507,0.16375198728139906,0.8655900400721287,526,4900,103,42198,629,47098,5426
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,IF -> Z-score (50/50),combined,decimal_shift,0.08754146701068928,0.7983193277310925,0.15778109948513536,0.8949545956038361,0.10504540439616397,0.20168067226890757,0.8452570917255331,475,4951,120,42181,595,47132,5426
