detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
IF,combined,currency_swap,0.05492778567686896,0.7637380503349158,0.10248489211772148,0.8524426515981899,0.14755734840181015,0.2362619496650842,0.8068722877593005,11744,202064,3633,1167329,15377,1369393,213808
IF,combined,decimal_shift,0.057144727980243955,0.787648272305312,0.10655852084423513,0.8527742762868649,0.14722572371313514,0.212351727694688,0.8195646316086133,12218,201590,3294,1167668,15512,1369258,213808
IF,combined,extreme_outlier,0.06201358227942827,0.8620375788310253,0.11570363324592366,0.853548553405935,0.14645144659406495,0.1379624211689747,0.85778256475215,13259,200549,2122,1168840,15381,1369389,213808
IF,combined,list_price_violation,0.017239766519494125,0.23956843884050436,0.03216489087846977,0.846557284151122,0.15344271584887803,0.7604315611594956,0.4503425440185965,3686,210122,11700,1159262,15386,1369384,213808
IF,combined,negative_price,0.05223845693332336,0.7247890979883193,0.09745307960107845,0.8520191914470994,0.14798080855290063,0.27521090201168075,0.7858334564255204,11169,202639,4241,1166721,15410,1369360,213808
IF,combined,price_drop,0.04063926513507446,0.5635620703074329,0.07581164440333994,0.8502072513130298,0.14979274868697018,0.4364379296925671,0.6922026861695662,8689,205119,6729,1164233,15418,1369352,213808
IF,combined,price_noise,0.01142613933996857,0.15885298133818843,0.021318835710576953,0.8456503657465253,0.15434963425347473,0.8411470186618115,0.3665161412114956,2443,211365,12936,1158026,15379,1369391,213808
IF,combined,price_spike,0.05212152959664746,0.7259461924304605,0.0972599810611846,0.8520073111297565,0.1479926888702435,0.27405380756953945,0.7864549977192347,11144,202664,4207,1166755,15351,1369419,213808
IF,combined,zero_price,0.05246295741974107,0.7349626523391429,0.09793512899986903,0.8520702325214603,0.14792976747853973,0.265037347660857,0.7913531437185315,11217,202591,4045,1166917,15262,1369508,213808
IF -> Z-score (50/50),combined,currency_swap,0.08469364478306492,0.6036287962541458,0.14854527414140767,0.9267463759490518,0.07325362405094812,0.3963712037458542,0.747937697503621,9282,100313,6095,1269080,15377,1369393,109595
IF -> Z-score (50/50),combined,decimal_shift,0.07851635567316027,0.5547318205260443,0.13756224671681042,0.9262447252453518,0.07375527475464813,0.44526817947395564,0.7168105905244424,8605,100990,6907,1268268,15512,1369258,109595
IF -> Z-score (50/50),combined,extreme_outlier,0.0820931611843606,0.5849424614784474,0.14397964409166558,0.9265380399579667,0.07346196004203334,0.4150575385215526,0.7361870969708917,8997,100598,6384,1268791,15381,1369389,109595
IF -> Z-score (50/50),combined,list_price_violation,0.03166202837720699,0.2255297023267906,0.055528440322929085,0.9225016503771039,0.07749834962289613,0.7744702976732094,0.45612665193509716,3470,106125,11916,1263259,15386,1369384,109595
