detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
IF,combined,0.40021421088079023,0.6179337935815593,0.4857955513165514,0.8971037331480373,0.1028962668519627,0.38206620641844075,0.7445473209006568,85569,128239,52907,1118055,138476,1246294,213808
IF -> Z-score (50/50),combined,0.5701354988822482,0.4512262052630059,0.5037590044785566,0.9621991279746192,0.03780087202538085,0.5487737947369942,0.6589153672690907,62484,47111,75992,1199183,138476,1246294,109595
Sanity,combined,1.0,0.44549958115485716,0.6163953099162199,1.0,0.0,0.5545004188451429,0.6674575500770495,61691,0,76785,1246294,138476,1246294,61691
Sanity -> IF,combined,0.5128077939965422,0.7689635749155088,0.615289940281345,0.9188281416744364,0.08117185832556363,0.23103642508449118,0.8405625333994777,106483,101164,31993,1145130,138476,1246294,207647
Sanity -> Z-score,combined,0.5609349111728253,0.6870071348103642,0.6176028564472936,0.9402508557370893,0.059749144262910676,0.31299286518963576,0.8037157746386038,95134,74465,43342,1171829,138476,1246294,169599
Sanity -> Z-score (>=10) -> IF,combined,0.46183193047286664,0.7797741124815852,0.5800947663611651,0.89903826865892,0.10096173134108004,0.22022588751841474,0.8372853563932015,107980,125828,30496,1120466,138476,1246294,233808
Sanity -> Z-score (>=5) -> IF,combined,0.43610854271356786,0.7833992894075508,0.5603032854198841,0.8874519174448404,0.11254808255515954,0.21660071059244923,0.8338040546253397,108482,140268,29994,1106026,138476,1246294,248750
Sanity -> Z-score -> IF (50/50),combined,0.47821526187486146,0.2337444755769953,0.31400701393571046,0.9716623846379747,0.028337615362025333,0.7662555244230047,0.4765718356502995,32368,35317,106108,1210977,138476,1246294,67685
Z-score,combined,0.46984703296029906,0.4429576244258933,0.456006274463158,0.9444657520617126,0.055534247938287436,0.5570423755741067,0.646806235193254,61339,69212,77137,1177082,138476,1246294,130551
IF,new_prices,0.6102068056927904,0.7939776700124056,0.6900668483268314,0.9436465113015234,0.056353488698476506,0.20602232998759445,0.8655831897388713,35201,22486,9134,376531,44335,399017,57687
IF -> Z-score (50/50),new_prices,0.6656847212595306,0.6065411074771625,0.634738171389456,0.9661543242518489,0.03384567574815108,0.3934588925228375,0.7655144112461671,26891,13505,17444,385512,44335,399017,40396
Sanity,new_prices,1.0,0.4470734182925454,0.6179001184612507,1.0,0.0,0.5529265817074546,0.6686354898541846,19821,0,24514,399017,44335,399017,19821
Sanity -> IF,new_prices,0.6320921405667168,0.8714559603022443,0.7327207730018301,0.9436414989837526,0.056358501016247425,0.1285440396977557,0.906830749742164,38636,22488,5699,376529,44335,399017,61124
Sanity -> Z-score,new_prices,0.572844877692346,0.7780534566369686,0.6598630346621777,0.9355365811481716,0.06446341885182837,0.22194654336303146,0.8531690751384902,34495,25722,9840,373295,44335,399017,60217
Sanity -> Z-score (>=10) -> IF,new_prices,0.5116192241834356,0.8963347242584865,0.6514163005704543,0.9049313688389217,0.09506863116107835,0.10366527574151348,0.9006227894968512,39739,37934,4596,361083,44335,399017,77673
Sanity -> Z-score (>=5) -> IF,new_prices,0.4958488405382193,0.8985226119318822,0.6390426231612044,0.8984930466621723,0.10150695333782771,0.10147738806811774,0.8985078291754222,39836,40503,4499,358514,44335,399017,80339
Sanity -> Z-score -> IF (50/50),new_prices,0.5192970990814363,0.32261193188226006,0.39797991040373965,0.9668184563564961,0.03318154364350391,0.6773880681177399,0.5584864993754045,14303,13240,30032,385777,44335,399017,27543
Z-score,new_prices,0.5149886877828054,0.6161046577196346,0.5610269576379974,0.9355290626715153,0.06447093732848475,0.3838953422803654,0.7591994553106611,27315,25725,17020,373292,44335,399017,53040
IF,new_products,0.3226215563569283,0.5350272463644958,0.4025221567796949,0.8751848569003997,0.12481514309960025,0.46497275363550417,0.6842863026886671,50368,105753,43773,741524,94141,847277,156121
IF -> Z-score (50/50),new_products,0.5143571438893626,0.3780818134500377,0.43581486469940006,0.9603364661143876,0.03966353388561238,0.6219181865499623,0.6025659736748569,35593,33606,58548,813671,94141,847277,69199
Sanity,new_products,1.0,0.4447583943234085,0.6156854960260567,1.0,0.0,0.5552416056765915,0.6669020875086601,41870,0,52271,847277,94141,847277,41870
Sanity -> IF,new_products,0.46304675716440424,0.7206955524160568,0.5638317322075591,0.9071425283584943,0.09285747164150567,0.27930444758394324,0.8085626664615573,67847,78676,26294,768601,94141,847277,146523
Sanity -> Z-score,new_products,0.5543782340787332,0.644129550355318,0.5958933388363968,0.942470998268571,0.05752900173142904,0.3558704496446819,0.7791491643694821,60639,48743,33502,798534,94141,847277,109382
Sanity -> Z-score (>=10) -> IF,new_products,0.4370640791622634,0.7248807639604423,0.5453259601400053,0.8962629694893169,0.10373703051068305,0.2751192360395577,0.8060296433958684,68241,87894,25900,759383,94141,847277,156135
Sanity -> Z-score (>=5) -> IF,new_products,0.4076099542191425,0.7291828215124122,0.5229135561717297,0.8822522032345974,0.11774779676540258,0.27081717848758774,0.8020742801263147,68646,99765,25495,747512,94141,847277,168411
Sanity -> Z-score -> IF (50/50),new_products,0.4500274027203428,0.19189301154651003,0.26905862990847684,0.9739435863359917,0.026056413664008345,0.8081069884534899,0.4323111933068838,18065,22077,76076,825200,94141,847277,40142
Z-score,new_products,0.4389570512572409,0.36141532382277647,0.39642998625125253,0.9486744004617144,0.05132559953828559,0.6385846761772235,0.5855471506593204,34024,43487,60117,803790,94141,847277,77511
