run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,currency_swap,4884,4876,0.9983619983619983
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,decimal_shift,4937,4937,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,extreme_outlier,4957,4957,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,list_price_violation,4926,1490,0.3024766544863987
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,negative_price,5007,5007,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,price_drop,4885,3444,0.7050153531218014
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,price_noise,4854,725,0.14936135146271118
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,price_spike,4953,4833,0.9757722592368262
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,zero_price,4932,4932,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),currency_swap,4884,3392,0.6945126945126945
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),decimal_shift,4937,3348,0.6781446222402269
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),extreme_outlier,4957,3433,0.6925559814403873
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),list_price_violation,4926,2241,0.45493300852618757
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),negative_price,5007,3402,0.6794487717195926
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),price_drop,4885,2969,0.6077789150460594
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),price_noise,4854,1371,0.28244746600741655
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),price_spike,4953,3381,0.6826165960024227
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),zero_price,4932,3354,0.6800486618004866
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,currency_swap,4884,4884,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,decimal_shift,4937,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,extreme_outlier,4957,72,0.014524914262658867
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,list_price_violation,4926,4926,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,negative_price,5007,5007,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,price_drop,4885,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,price_noise,4854,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,price_spike,4953,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,zero_price,4932,4932,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> IF,currency_swap,4884,4884,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> IF,decimal_shift,4937,4937,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> IF,extreme_outlier,4957,4957,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> IF,list_price_violation,4926,4926,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> IF,negative_price,5007,5007,1.0
