run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF,0.9286796946895469,0.6102068056927904,0.7939776700124056,0.9436465113015234,0.6900668483268314,0.8655831897388713,35201,22486,9134,376531,443352,44335,57687
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,IF -> Z-score (50/50),0.9301931647990761,0.6656847212595306,0.6065411074771625,0.9661543242518489,0.634738171389456,0.7655144112461671,26891,13505,17444,385512,443352,44335,40396
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity,0.9447075912593154,1.0,0.4470734182925454,1.0,0.6179001184612507,0.6686354898541846,19821,0,24514,399017,443352,44335,19821
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> IF,0.9364229776791353,0.6320921405667168,0.8714559603022443,0.9436414989837526,0.7327207730018301,0.906830749742164,38636,22488,5699,376529,443352,44335,61124
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score,0.9197883397390787,0.572844877692346,0.7780534566369686,0.9355365811481716,0.6598630346621777,0.8531690751384902,34495,25722,9840,373295,443352,44335,60217
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,0.9040717082589004,0.5116192241834356,0.8963347242584865,0.9049313688389217,0.6514163005704543,0.9006227894968512,39739,37934,4596,361083,443352,44335,77673
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,0.8984960031758061,0.4958488405382193,0.8985226119318822,0.8984930466621723,0.6390426231612044,0.8985078291754222,39836,40503,4499,358514,443352,44335,80339
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score -> IF (50/50),0.9023980945163211,0.5192970990814363,0.32261193188226006,0.9668184563564961,0.39797991040373965,0.5584864993754045,14303,13240,30032,385777,443352,44335,27543
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Z-score,0.9035867662714954,0.5149886877828054,0.6161046577196346,0.9355290626715153,0.5610269576379974,0.7591994553106611,27315,25725,17020,373292,443352,44335,53040
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF,0.8411693849065983,0.3226215563569283,0.5350272463644958,0.8751848569003997,0.4025221567796949,0.6842863026886671,50368,105753,43773,741524,941418,94141,156121
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,IF -> Z-score (50/50),0.9021114956374321,0.5143571438893626,0.3780818134500377,0.9603364661143876,0.43581486469940006,0.6025659736748569,35593,33606,58548,813671,941418,94141,69199
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity,0.9444763112666212,1.0,0.4447583943234085,1.0,0.6156854960260567,0.6669020875086601,41870,0,52271,847277,941418,94141,41870
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,0.8884979892035206,0.46304675716440424,0.7206955524160568,0.9071425283584943,0.5638317322075591,0.8085626664615573,67847,78676,26294,768601,941418,94141,146523
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,0.9126371070024155,0.5543782340787332,0.644129550355318,0.942470998268571,0.5958933388363968,0.7791491643694821,60639,48743,33502,798534,941418,94141,109382
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,0.87912489457393,0.4370640791622634,0.7248807639604423,0.8962629694893169,0.5453259601400053,0.8060296433958684,68241,87894,25900,759383,941418,94141,156135
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,0.8669453951379728,0.4076099542191425,0.7291828215124122,0.8822522032345974,0.5229135561717297,0.8020742801263147,68646,99765,25495,747512,941418,94141,168411
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),0.8957391934294862,0.4500274027203428,0.19189301154651003,0.9739435863359917,0.26905862990847684,0.4323111933068838,18065,22077,76076,825200,941418,94141,40142
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,0.8899489918399691,0.4389570512572409,0.36141532382277647,0.9486744004617144,0.39642998625125253,0.5855471506593204,34024,43487,60117,803790,941418,94141,77511
