run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.5372236091298146,0.16299486499917176,0.8773963441818993,0.4994303828817673,0.2749179297338828,0.6619655520597948,1968,10106,275,10083,22432,2243,12074,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.5036091836259489,0.1419115997307606,0.7855922993324018,0.4722825899479113,0.24039717794617194,0.609115396104746,5060,30596,1381,27382,64419,6441,35656,1,42,1.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.6782275320970043,0.2202226971094365,0.8729380294248774,0.6565951755906682,0.35171546613975213,0.7570778683266334,1958,6933,285,13256,22432,2243,8891,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.610083981434049,0.1760951753321078,0.7882316410495265,0.5902928697092,0.28787706963030163,0.6821198702506159,5077,23754,1364,34224,64419,6441,28831,1,42,2.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.7446504992867332,0.26218097447795824,0.8564422648238965,0.732230422507306,0.4014629049111808,0.7919047173903663,1921,5406,322,14783,22432,2243,7327,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.682158990359987,0.20774677217825907,0.7744139108834032,0.6719100348408017,0.3276082887261502,0.7213435227704404,4988,19022,1453,38956,64419,6441,24010,1,42,3.0,coarse
hybrid_max__threshold_4p000__attempt_01,hybrid_max__threshold_4p000,new_prices,hybrid_max,0.7847717546362339,0.2958458379402938,0.8350423539901917,0.7791866858190104,0.43690226265453697,0.8066311947377949,1873,4458,370,15731,22432,2243,6331,1,42,4.0,coarse
hybrid_max__threshold_4p000__attempt_01,hybrid_max__threshold_4p000,new_products,hybrid_max,0.7224731833775749,0.23067866057551925,0.7604409253221549,0.7182552002483701,0.3539784635397847,0.7390471223774031,4898,16335,1543,41643,64419,6441,21233,1,42,4.0,coarse
hybrid_max__threshold_5p000__attempt_01,hybrid_max__threshold_5p000,new_prices,hybrid_max,0.8099144079885877,0.3217498677015347,0.8131966116807846,0.8095497548169795,0.46107178968655205,0.8113711343178149,1824,3845,419,16344,22432,2243,5669,1,42,5.0,coarse
hybrid_max__threshold_5p000__attempt_01,hybrid_max__threshold_5p000,new_products,hybrid_max,0.7524332883155591,0.25124286985190225,0.7453811519950319,0.7532167373831453,0.3758121330724071,0.749288702312125,4801,14308,1640,43670,64419,6441,19109,1,42,5.0,coarse
hybrid_max__threshold_6p000__attempt_01,hybrid_max__threshold_6p000,new_prices,hybrid_max,0.8239122681883024,0.3372115201220675,0.7882300490414623,0.8278765664470752,0.47234838364947906,0.8078101178933422,1768,3475,475,16714,22432,2243,5243,1,42,6.0,coarse
hybrid_max__threshold_6p000__attempt_01,hybrid_max__threshold_6p000,new_products,hybrid_max,0.7692606218662196,0.26317269302142493,0.7265952491849091,0.7740004829418056,0.3863936591809775,0.7499233786010017,4680,13103,1761,44875,64419,6441,17783,1,42,6.0,coarse
hybrid_max__threshold_4p500__attempt_01,hybrid_max__threshold_4p500,new_prices,hybrid_max,0.795515335235378,0.30583167660702454,0.8230049041462327,0.7924612412699985,0.44594757820992875,0.8075886873347222,1846,4190,397,15999,22432,2243,6036,1,42,4.5,refine
hybrid_max__threshold_4p500__attempt_01,hybrid_max__threshold_4p500,new_products,hybrid_max,0.7370030581039755,0.2400871243997822,0.7529886663561559,0.7352271551278071,0.3640867802717514,0.7440549139737725,4850,15351,1591,42627,64419,6441,20201,1,42,4.5,refine
hybrid_max__threshold_4p750__attempt_01,hybrid_max__threshold_4p750,new_prices,hybrid_max,0.8022022111269614,0.3126707650273224,0.8163174320107,0.8006340086185546,0.4521545869860476,0.8084376895567964,1831,4025,412,16164,22432,2243,5856,1,42,4.75,refine
hybrid_max__threshold_4p750__attempt_01,hybrid_max__threshold_4p750,new_products,hybrid_max,0.7447336965802015,0.24553548715339607,0.7492625368731564,0.7442305702162889,0.3698651134273452,0.7467423150316395,4826,14829,1615,43149,64419,6441,19655,1,42,4.75,refine
hybrid_max__threshold_5p250__attempt_01,hybrid_max__threshold_5p250,new_prices,hybrid_max,0.8127674750356634,0.3246729976706683,0.8078466339723585,0.8133141809896478,0.46319018404907975,0.8105757974887188,1812,3769,431,16420,22432,2243,5581,1,42,5.25,refine
hybrid_max__threshold_5p250__attempt_01,hybrid_max__threshold_5p250,new_products,hybrid_max,0.7558639531815148,0.25360857567395456,0.7419655333022822,0.7574079823381282,0.37801067826774765,0.7496469952870584,4779,14065,1662,43913,64419,6441,18844,1,42,5.25,refine
hybrid_max__threshold_5p500__attempt_01,hybrid_max__threshold_5p500,new_prices,hybrid_max,0.8170024964336662,0.3294246976914621,0.8016049933125279,0.8187131606320274,0.4669523438514479,0.8101139164668848,1798,3660,445,16529,22432,2243,5458,1,42,5.5,refine
hybrid_max__threshold_5p500__attempt_01,hybrid_max__threshold_5p500,new_products,hybrid_max,0.7604588708300346,0.25692191217823923,0.7376183822387828,0.7629963089447721,0.38110135162234793,0.7502000420274617,4751,13741,1690,44237,64419,6441,18492,1,42,5.5,refine
