run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.5560388401170524,0.170005870192185,0.8860069167331737,0.5193757204930389,0.2852737745990278,0.6783586667391432,6661,32520,857,35142,75180,7518,39181,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.4902845315677805,0.14026606418658172,0.7987773204938666,0.45600770719752803,0.2386286996639789,0.603530127234584,19991,122531,5036,102713,250271,25027,142522,1,42,1.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.7004788507581804,0.2329059829059829,0.8699122106943336,0.6816529218763856,0.36743637282993424,0.7700507776736145,6540,21540,978,46122,75180,7518,28080,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.6168912898418115,0.17952127659574468,0.7929436208894394,0.5973300065706523,0.292761726327902,0.6882216345597147,19845,90699,5182,134545,250271,25027,110544,1,42,2.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.7696461824953446,0.2815036118790689,0.8397180101090715,0.761860423871597,0.4216537536735239,0.7998424339295279,6313,16113,1205,51549,75180,7518,22426,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.6981551997634564,0.21690838582412408,0.7732848523594518,0.6898074976469961,0.3387863351101541,0.7303544954160276,19353,69869,5674,155375,250271,25027,89222,1,42,3.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_prices,modified_mad,0.8036046820963022,0.312826075727052,0.8055333865389731,0.8033903816026721,0.4506455333556572,0.8044611704770084,6056,13303,1462,54359,75180,7518,19359,1,42,4.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_products,modified_mad,0.7381718217452282,0.24042146821683566,0.7494306149358693,0.7369208502779209,0.3640527950310559,0.743149410268787,18756,59257,6271,165987,250271,25027,78013,1,42,4.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_prices,modified_mad,0.8276802341048151,0.34088381621305236,0.7746741154562383,0.8335698028435459,0.4734381985936673,0.8035825717926285,5824,11261,1694,56401,75180,7518,17085,1,42,5.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_products,modified_mad,0.7675759476727227,0.26125918455553954,0.7245774563471451,0.7723535366091883,0.3840443893812806,0.7480841937623113,18134,51276,6893,173968,250271,25027,69410,1,42,5.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_prices,modified_mad,0.8415403032721468,0.3587634166720226,0.7424847033785581,0.8525464810381012,0.48377172076093083,0.7956146812936574,5582,9977,1936,57685,75180,7518,15559,1,42,6.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_products,modified_mad,0.7825237442612208,0.27200397040805246,0.7007631757701682,0.791608211539486,0.39189309974973185,0.7448019094256898,17538,46939,7489,178305,250271,25027,64477,1,42,6.0,coarse
modified_mad__threshold_4p500__attempt_01,modified_mad__threshold_4p500,new_prices,modified_mad,0.8176509710029263,0.32860860417474114,0.789438680500133,0.8207856699476811,0.46405254310176314,0.8049595991457678,5935,12126,1583,55536,75180,7518,18061,1,42,4.5,refine
modified_mad__threshold_4p500__attempt_01,modified_mad__threshold_4p500,new_products,modified_mad,0.7554530888516848,0.2524904214559387,0.7372837335677468,0.7574718971426542,0.37616072247647975,0.747309646932234,18452,54628,6575,170616,250271,25027,73080,1,42,4.5,refine
modified_mad__threshold_4p750__attempt_01,modified_mad__threshold_4p750,new_prices,modified_mad,0.8242085661080074,0.3368270332187858,0.7822559191274275,0.8288699713280719,0.4708943870606133,0.8052257082696537,5881,11579,1637,56083,75180,7518,17460,1,42,4.75,refine
modified_mad__threshold_4p750__attempt_01,modified_mad__threshold_4p750,new_products,modified_mad,0.7642875123366271,0.25922617781747553,0.730570983337995,0.7680337767043739,0.38267057346169947,0.7490682155075787,18284,52249,6743,172995,250271,25027,70533,1,42,4.75,refine
modified_mad__threshold_5p250__attempt_01,modified_mad__threshold_5p250,new_prices,modified_mad,0.83121840915137,0.34517036948320257,0.7666932694865656,0.8383878691141261,0.47602923566089933,0.8017395689804665,5764,10935,1754,56727,75180,7518,16699,1,42,5.25,refine
modified_mad__threshold_5p250__attempt_01,modified_mad__threshold_5p250,new_products,modified_mad,0.771415785288747,0.2641415399950162,0.7200223758340992,0.7771261387650725,0.38649622512010984,0.7480295507240389,18020,50201,7007,175043,250271,25027,68221,1,42,5.25,refine
modified_mad__threshold_5p500__attempt_01,modified_mad__threshold_5p500,new_prices,modified_mad,0.8358206969938814,0.35123635690941607,0.7576483107209364,0.8445065176908753,0.47996629450179057,0.7998993289916627,5696,10521,1822,57141,75180,7518,16217,1,42,5.5,refine
modified_mad__threshold_5p500__attempt_01,modified_mad__threshold_5p500,new_products,modified_mad,0.7774572363557903,0.2689090826890908,0.712989970831502,0.784620234057289,0.3905278823426421,0.7479480983292308,17844,48513,7183,176731,250271,25027,66357,1,42,5.5,refine
