run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_prices,hybrid_weighted,0.7600961464777796,0.14416392718389834,0.28341166853989985,0.8130601865254387,0.19111352263821063,0.4800320240218737,11095,65866,28053,286472,391486,39148,76961,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_products,hybrid_weighted,0.7119399907489453,0.16074250716810565,0.44552435938875823,0.741541544268808,0.23624811607908036,0.5747824122835624,39972,208699,49747,598777,897195,89719,248671,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_prices,hybrid_weighted,0.7614065381648386,0.14509419152276296,0.28330949218350876,0.8145275275445737,0.1919057341592553,0.4803783719092088,11091,65349,28057,286989,391486,39148,76440,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_products,hybrid_weighted,0.7120369596353078,0.16080695120479505,0.44555779712212573,0.7416455721284595,0.23632241530671666,0.5748442983651617,39975,208615,49744,598861,897195,89719,248590,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_prices,hybrid_weighted,0.7628574201887168,0.14618973561430793,0.28333503627260653,0.8161367777531802,0.19286745144407155,0.48087435316109917,11092,64782,28056,287556,391486,39148,75874,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_products,hybrid_weighted,0.7122331265778342,0.16095363833230023,0.4456915480555958,0.7418486741401602,0.23649961408458203,0.5750092903601812,39987,208451,49732,599025,897195,89719,248438,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_prices,hybrid_weighted,0.7644079226332487,0.1473405880867913,0.28325840400531316,0.8178680698647322,0.1938483860535447,0.4813190253426411,11089,64172,28059,288166,391486,39148,75261,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_products,hybrid_weighted,0.7124181476713535,0.16106125539730617,0.4456915480555958,0.7420542530056621,0.236615767875476,0.5750889572608157,39987,208285,49732,599191,897195,89719,248272,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_prices,hybrid_weighted,0.7658715765059287,0.14846155906060038,0.2832328599162154,0.8194971873598647,0.1948099864715287,0.48177643370055895,11088,63598,28060,288740,391486,39148,74686,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_products,hybrid_weighted,0.7127803877640869,0.1612778331202536,0.4457138398778408,0.7424542648945603,0.2368525483460183,0.5752583257457766,39989,207962,49730,599514,897195,89719,247951,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_prices,hybrid_weighted,0.7676851790357765,0.14986751743903098,0.28318177173801984,0.8215179742179385,0.196004243281471,0.4823265651544239,11086,62886,28062,289452,391486,39148,73972,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_products,hybrid_weighted,0.7130880131966852,0.16144388589425232,0.4456581103222283,0.7428022628536328,0.23702368814170202,0.5753571523900829,39984,207681,49735,599795,897195,89719,247665,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_prices,hybrid_weighted,0.8144531349780069,0.19762003647592047,0.27955451108613466,0.8738853033167016,0.23155288965057602,0.494265696477167,10944,44435,28204,307903,391486,39148,55379,1,42,2.0,0.3,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_products,hybrid_weighted,0.7788061681128405,0.2071426647633925,0.4286160122159186,0.81771594449866,0.27930303162359643,0.5920187051575221,38455,147190,51264,660286,897195,89719,185645,1,42,2.0,0.3,coarse
