run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.6947627673380891,0.18192818069148253,0.586951276262043,0.7067417989620636,0.27776259823092575,0.6440675437316458,68111,306273,47931,738107,1160422,116042,374384,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.6113918913113999,0.1476225312222784,0.6045378294407145,0.6121534531147713,0.23729887739097696,0.6083337240615895,163250,942611,106791,1487760,2700412,270041,1105861,1,42,1.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.7899936402446696,0.2559327607699779,0.5767739266817187,0.8136846741607461,0.35454343196770804,0.685063577046998,66930,194584,49112,849796,1160422,116042,261514,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.7114803222619364,0.19244836189866305,0.5898252487585218,0.7249975415276104,0.2902076751245358,0.6539280199539087,159277,668358,110764,1762013,2700412,270041,827635,1,42,2.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.8334347332263607,0.31396849862723375,0.5617190327639993,0.8636253087956491,0.40279683116433695,0.6965018112878115,65183,142427,50859,901953,1160422,116042,207610,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.7715915201087834,0.23510421473031898,0.5698356916171988,0.7940088159379782,0.33287148952739426,0.6726474282862984,153879,500635,116162,1929736,2700412,270041,654514,1,42,3.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_prices,modified_mad,0.8539100430705381,0.3512780014682001,0.5443201599420899,0.8883088530994465,0.42699439588445653,0.6953591999801723,63164,116648,52878,927732,1160422,116042,179812,1,42,4.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_products,modified_mad,0.8000934672190761,0.26172732652105946,0.5487055669324288,0.8280254331540329,0.3544062494020398,0.6740490818428978,148173,417962,121868,2012409,2700412,270041,566135,1,42,4.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_prices,modified_mad,0.8678437671812496,0.38333302067896025,0.5282828631012909,0.9055726842720083,0.44428419751923265,0.691663596261606,61303,98618,54739,945762,1160422,116042,159921,1,42,5.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_products,modified_mad,0.8207740152243436,0.28573174078250785,0.5282494139778774,0.8532767219490358,0.3708627005441437,0.6713739109695449,142649,356592,127392,2073779,2700412,270041,499241,1,42,5.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_prices,modified_mad,0.8763492936190455,0.4064861696980435,0.5140294031471364,0.9166069821329401,0.45397568354358125,0.6864130971552722,59649,87094,56393,957286,1160422,116042,146743,1,42,6.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_products,modified_mad,0.8323818735807721,0.3006482858309478,0.5098855359001041,0.8682147705021167,0.3782598781898249,0.6653496475792692,137690,320287,132351,2110084,2700412,270041,457977,1,42,6.0,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_prices,modified_mad,0.8166296399068614,0.2887562284651228,0.5698109305251546,0.8440538884314138,0.3832815022418275,0.6935064034170694,66122,162867,49920,881513,1160422,116042,228989,1,42,2.5,refine
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_products,modified_mad,0.7483698783741147,0.21676327767248177,0.5802193000322173,0.7670532605927243,0.3156160266540165,0.6671275035167868,156683,566147,113358,1864224,2700412,270041,722830,1,42,2.5,refine
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_prices,modified_mad,0.8277635205123653,0.30516054352828514,0.5656917323038211,0.8568825523276968,0.3964548323292718,0.6962265259290071,65644,149469,50398,894911,1160422,116042,215113,1,42,2.75,refine
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_products,modified_mad,0.7654698616359281,0.23046846598201873,0.5751645120555767,0.7866148830775219,0.32907610883465893,0.6726313740831136,155318,518605,114723,1911766,2700412,270041,673923,1,42,2.75,refine
modified_mad__threshold_3p250__attempt_01,modified_mad__threshold_3p250,new_prices,modified_mad,0.8389861619307459,0.32317536113164574,0.5575653642646627,0.8702550795687394,0.40918146000265615,0.69658028284105,64701,135503,51341,908877,1160422,116042,200204,1,42,3.25,refine
modified_mad__threshold_3p250__attempt_01,modified_mad__threshold_3p250,new_products,modified_mad,0.7783960373454125,0.24073451225424014,0.5645624182994434,0.8021553087985333,0.33753924360035953,0.6729537435716044,152455,480836,117586,1949535,2700412,270041,633291,1,42,3.25,refine
modified_mad__threshold_3p500__attempt_01,modified_mad__threshold_3p500,new_prices,modified_mad,0.8461206354240095,0.33622003929273087,0.5530411402767963,0.8786849614125127,0.41819775379011265,0.6971003751280362,64176,126699,51866,917681,1160422,116042,190875,1,42,3.5,refine
modified_mad__threshold_3p500__attempt_01,modified_mad__threshold_3p500,new_products,modified_mad,0.7908037736463918,0.25294290142851156,0.5589891905303269,0.8165609283520912,0.34828614146485526,0.6756098965810282,150950,445825,119091,1984546,2700412,270041,596775,1,42,3.5,refine
