run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_prices,hybrid_weighted,0.4944470076456631,0.147064727981875,0.8450889914304548,0.4554924935920908,0.2505313041991352,0.6204286357139578,5128,29741,940,24879,60688,6068,34869,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_products,hybrid_weighted,0.4885756063306385,0.139877224240821,0.7990222222222222,0.4540817082384778,0.23807663530362122,0.6023465577117307,17978,110549,4522,91952,225001,22500,128527,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_prices,hybrid_weighted,0.4986323490640654,0.14808286861798953,0.8445945945945946,0.4601977297693153,0.2519851513140104,0.6234424712897475,5125,29484,943,25136,60688,6068,34609,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_products,hybrid_weighted,0.48892671588126274,0.1399520413565445,0.7989333333333334,0.45448170626317896,0.23818104727581088,0.602578280826535,17976,110468,4524,92033,225001,22500,128444,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_prices,hybrid_weighted,0.502965989981545,0.14921679380422756,0.8445945945945946,0.46501281581838155,0.2536249814420745,0.6266955486178412,5125,29221,943,25399,60688,6068,34346,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_products,hybrid_weighted,0.4895133799405336,0.14011284465156876,0.7990666666666667,0.4551187401543696,0.2384198172631914,0.6030507562657433,17979,110339,4521,92162,225001,22500,128318,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_prices,hybrid_weighted,0.5074973635644608,0.15038013326679778,0.8442649967040211,0.47008421823507873,0.25528840164444994,0.6299806750677762,5123,28944,945,25676,60688,6068,34067,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_products,hybrid_weighted,0.4899000448886894,0.1402191289429563,0.7991555555555555,0.45553849116794487,0.23857763624904632,0.603362342200985,17981,110254,4519,92247,225001,22500,128235,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_prices,hybrid_weighted,0.5119793039810177,0.15152860398354495,0.8437705998681608,0.47511900402782864,0.2569184835787942,0.6331598905784573,5120,28669,948,25951,60688,6068,33789,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_products,hybrid_weighted,0.4905711530170977,0.14039005043486408,0.7992,0.4562792282507247,0.2388269825880228,0.60386948856353,17982,110104,4518,92397,225001,22500,128086,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_prices,hybrid_weighted,0.5172027418929607,0.15292219433488705,0.8434410019775873,0.48095935554741853,0.258903278025091,0.6369150969740075,5118,28350,950,26270,60688,6068,33468,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_products,hybrid_weighted,0.49079781867636146,0.1404403552209196,0.7991555555555555,0.4565360171060884,0.23889778321032595,0.6040225942641025,17981,110052,4519,92449,225001,22500,128033,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_prices,hybrid_weighted,0.6386765093593462,0.19441233140655106,0.8314106789716545,0.6172647381911388,0.3151352364295084,0.7163801330890991,5045,20905,1023,33715,60688,6068,25950,1,42,2.0,0.3,coarse
