run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.8389729876722263,0.18739843060779124,0.1829224075416969,0.9118674965756184,0.18513336850072246,0.4084127787332715,4036,17501,18028,181075,220640,22064,21537,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.8093324612680375,0.21634652275110622,0.3457670768098761,0.8608397262078331,0.26615796098174954,0.545573125926027,16917,61277,32009,379057,489260,48926,78194,1,42,1.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.8678707396664249,0.26453198697933966,0.18047498187092095,0.9442480460881476,0.21456475469461433,0.4128112752813457,3982,11071,18082,187505,220640,22064,15053,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.8552937088664514,0.29609396849072434,0.32459224134407066,0.9142605385911603,0.3096888680882597,0.5447585496288626,15881,37754,33045,402580,489260,48926,53635,1,42,2.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.8787164612037709,0.3125199616735867,0.17739303843364757,0.9566412859560067,0.22632126749161557,0.41194842444996427,3914,8610,18150,189966,220640,22064,12524,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.8751277439398275,0.3564671746361256,0.3088541879573233,0.9380470279378835,0.33095699595913136,0.5382562150867704,15111,27280,33815,413054,489260,48926,42391,1,42,3.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_prices,hybrid_avg,0.8838877810007252,0.3422383953137481,0.1747643219724438,0.962679276448312,0.23137619633374332,0.4101731232362891,3856,7411,18208,191165,220640,22064,11267,1,42,4.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_products,hybrid_avg,0.8841781465887258,0.3942919568482862,0.2950782814863263,0.9496336871556591,0.3375457383009317,0.5293545847987108,14437,22178,34489,418156,489260,48926,36615,1,42,4.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_prices,hybrid_avg,0.8880710659898478,0.37145926938855245,0.17236221899927484,0.9675942712110225,0.23546529626648507,0.4083830256963651,3803,6435,18261,192141,220640,22064,10238,1,42,5.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_products,hybrid_avg,0.8906654948289253,0.4292398748102011,0.2831214487184728,0.9581703888411979,0.3411948717317142,0.5208441116186899,13852,18419,35074,421915,489260,48926,32271,1,42,5.0,coarse
