run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.5416844888595093,0.16260251903925016,0.8635037915613455,0.5059298783780865,0.27367123709751967,0.6609632124737715,4441,22871,702,23420,51434,5143,27312,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.533037488769704,0.1497687470768591,0.7846447046011434,0.5050819771311029,0.25152731715831733,0.629531491464403,14410,81805,3955,83485,183655,18365,96215,1,42,1.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.7171326359995334,0.24162179980221954,0.8551429126968695,0.7017994858611826,0.37678303705290217,0.7746862955212885,4398,13804,745,32487,51434,5143,18202,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.674939424464349,0.20465588201669144,0.7797985298121427,0.6632887652005566,0.3242209166751565,0.7191881561485183,14321,55655,4044,109635,183655,18365,69976,1,42,2.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.7962242874363261,0.30787503599193783,0.8316157884503208,0.7922922382320537,0.44938271604938274,0.8117159197529754,4277,9615,866,36676,51434,5143,13892,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.7612752171190548,0.2610033394619339,0.7575279063435884,0.7616915723879243,0.38824005469742,0.7596068865607921,13912,39390,4453,125900,183655,18365,53302,1,42,3.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_prices,modified_sn,0.8372088501769258,0.3586309523809524,0.7966167606455377,0.8417186926184356,0.4945976942113841,0.8188572636842731,4097,7327,1046,38964,51434,5143,11424,1,42,4.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_products,modified_sn,0.8099371103427623,0.3086816720257235,0.7265995099373809,0.8191965636154638,0.43328895671656326,0.7715100917456508,13344,29885,5021,135405,183655,18365,43229,1,42,4.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_prices,modified_sn,0.8607730295135514,0.3971247960848287,0.7573400738868364,0.8722645870687606,0.521035382248679,0.8127736012073264,3895,5913,1248,40378,51434,5143,9808,1,42,5.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_products,modified_sn,0.8379624840053361,0.34524909002010107,0.6920773209910155,0.8541714562284469,0.46068250602584326,0.7688645479494929,12710,24104,5655,141186,183655,18365,36814,1,42,5.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_prices,modified_sn,0.8757047867169576,0.42789570835256113,0.7211744118218938,0.8928733447106348,0.5371081022373471,0.8024446455694867,3709,4959,1434,41332,51434,5143,8668,1,42,6.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_products,modified_sn,0.8546894993329884,0.37218160594704186,0.6597331881295944,0.8763506564220461,0.4758930850959367,0.7603667618200964,12116,20438,6249,144852,183655,18365,32554,1,42,6.0,coarse
modified_sn__threshold_3p500__attempt_01,modified_sn__threshold_3p500,new_prices,modified_sn,0.8165804720612824,0.3306228783453067,0.8143107135912891,0.8168326456546628,0.47029758562605284,0.8155707048243636,4188,8479,955,37812,51434,5143,12667,1,42,3.5,refine
modified_sn__threshold_3p500__attempt_01,modified_sn__threshold_3p500,new_products,modified_sn,0.7885382919060194,0.28569334812922675,0.7429893819765859,0.7935991288039204,0.41269697244654147,0.767877416159104,13645,34116,4720,131174,183655,18365,47761,1,42,3.5,refine
modified_sn__threshold_3p750__attempt_01,modified_sn__threshold_3p750,new_prices,modified_sn,0.8242602169770968,0.3399342645850452,0.8043943223799339,0.8264673478645957,0.47790677525558833,0.8153561444268894,4137,8033,1006,38258,51434,5143,12170,1,42,3.75,refine
modified_sn__threshold_3p750__attempt_01,modified_sn__threshold_3p750,new_products,modified_sn,0.7983011625057853,0.2957080981756136,0.7360740539068881,0.8052150765321556,0.42191669657766195,0.7698687717072105,13518,32196,4847,133094,183655,18365,45714,1,42,3.75,refine
modified_sn__threshold_4p250__attempt_01,modified_sn__threshold_4p250,new_prices,modified_sn,0.8423221993234048,0.3659043659043659,0.7870892475209021,0.848458663671124,0.49956806121189684,0.8171980733833721,4048,7015,1095,39276,51434,5143,11063,1,42,4.25,refine
modified_sn__threshold_4p250__attempt_01,modified_sn__threshold_4p250,new_products,modified_sn,0.8174947591952302,0.3176578181030541,0.7187040566294582,0.8284711718797265,0.4405834835436278,0.7716382520524242,13199,28352,5166,136938,183655,18365,41551,1,42,4.25,refine
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_prices,modified_sn,0.847649414783995,0.37379323273034026,0.7754229049193078,0.8556738890929122,0.5044270174550973,0.8145606992385697,3988,6681,1155,39610,51434,5143,10669,1,42,4.5,refine
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_products,modified_sn,0.8244480139391794,0.32620240480961926,0.7090661584535802,0.8372678322947547,0.44683880929913355,0.7705052144158391,13022,26898,5343,138392,183655,18365,39920,1,42,4.5,refine
