run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.6023189030081125,0.18155566478250185,0.8485892741761792,0.574955528433883,0.2991155593233207,0.6984991729109565,11820,53284,2109,72077,139290,13929,65104,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.525701588591274,0.14280243393898132,0.7481978746067527,0.5009798470777987,0.2398303940796735,0.6122352952945664,30204,181305,10165,182017,403691,40369,211509,1,42,1.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.739270586546055,0.254323588798174,0.8319333764089311,0.7289747210057355,0.389558435446187,0.7787543906541138,11588,33976,2341,91385,139290,13929,45564,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.6421247934682716,0.18156735592805578,0.7351928459956898,0.6317839272050688,0.2912146946705327,0.68152991386749,29679,133781,10690,229541,403691,40369,163460,1,42,2.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.7970995764232895,0.3054748785320702,0.8079546270371168,0.7958934596884198,0.4433326767776246,0.8019013676156426,11254,25587,2675,99774,139290,13929,36841,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.7126366453549868,0.21606666916926312,0.7128985112338676,0.7126075492263061,0.33162406950750156,0.7127530153829226,28779,104416,11590,258906,403691,40369,133195,1,42,3.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_prices,modified_mad,0.827216598463637,0.34112706074092647,0.7813913418048676,0.8323082936479448,0.4749209119668376,0.8064480729525537,10884,21022,3045,104339,139290,13929,31906,1,42,4.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_products,modified_mad,0.7468633187264516,0.2365684870798391,0.6876068270207337,0.7534473552386037,0.3520243492596937,0.7197746489442233,27758,89578,12611,273744,403691,40369,117336,1,42,4.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_prices,modified_mad,0.8461770407064398,0.36857052698011994,0.7546844712470385,0.8563428817574844,0.49526501766784453,0.803908374707785,10512,18009,3417,107352,139290,13929,28521,1,42,5.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_products,modified_mad,0.76996762375183,0.2528042796462511,0.6649161485298125,0.7816399777607742,0.3663286613077123,0.7209195818880372,26842,79335,13527,283987,403691,40369,106177,1,42,5.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_prices,modified_mad,0.859193050470242,0.3908685968819599,0.7307775145380142,0.8734614433516006,0.5093192564609341,0.7989405375979298,10179,15863,3750,109498,139290,13929,26042,1,42,6.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_products,modified_mad,0.7852540680867297,0.2646096306685367,0.6449503331764472,0.8008433290579706,0.37525853433552175,0.7186822468226646,26036,72358,14333,290964,403691,40369,98394,1,42,6.0,coarse
modified_mad__threshold_3p500__attempt_01,modified_mad__threshold_3p500,new_prices,modified_mad,0.8148682604637806,0.3254225310641305,0.7934525091535645,0.817247788387138,0.4615480988077091,0.8052622605685528,11052,22910,2877,102451,139290,13929,33962,1,42,3.5,refine
modified_mad__threshold_3p500__attempt_01,modified_mad__threshold_3p500,new_products,modified_mad,0.7348095449242118,0.22954755608909366,0.7010329708439644,0.7385624872702451,0.3458495004735572,0.7195530936664559,28300,94986,12069,268336,403691,40369,123286,1,42,3.5,refine
modified_mad__threshold_3p750__attempt_01,modified_mad__threshold_3p750,new_prices,modified_mad,0.8222198291334626,0.334736713649399,0.7877090961303754,0.8260543550226944,0.46982251054445795,0.8066539092755249,10972,21806,2957,103555,139290,13929,32778,1,42,3.75,refine
modified_mad__threshold_3p750__attempt_01,modified_mad__threshold_3p750,new_products,modified_mad,0.7422830828529742,0.23403206536723117,0.6938987837201813,0.7476591012930679,0.35001436943184516,0.7202775444400469,28012,91681,12357,271641,403691,40369,119693,1,42,3.75,refine
modified_mad__threshold_4p250__attempt_01,modified_mad__threshold_4p250,new_prices,modified_mad,0.834058439227511,0.35069410579017524,0.7744274535142508,0.8406841043067621,0.4827694235588973,0.8068759818635046,10787,19972,3142,105389,139290,13929,30759,1,42,4.25,refine
modified_mad__threshold_4p250__attempt_01,modified_mad__threshold_4p250,new_products,modified_mad,0.7557314876972734,0.2430013767783387,0.6820580148133468,0.763917406598004,0.3583359904214684,0.7218282273682534,27534,85774,12835,277548,403691,40369,113308,1,42,4.25,refine
modified_mad__threshold_4p500__attempt_01,modified_mad__threshold_4p500,new_prices,modified_mad,0.8384377916576926,0.3569164024695478,0.7678225285375835,0.8462839320043714,0.48731033854285327,0.8060991679268282,10695,19270,3234,106091,139290,13929,29965,1,42,4.5,refine
modified_mad__threshold_4p500__attempt_01,modified_mad__threshold_4p500,new_products,modified_mad,0.7610771605014727,0.24674867237455295,0.6767816889197156,0.770443298231321,0.3616448147829483,0.7220955037900939,27321,83403,13048,279919,403691,40369,110724,1,42,4.5,refine
