run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.5030215646940822,0.15705218465004442,0.9089769307923772,0.4579154129053828,0.2678291065590425,0.6451624187638791,7250,38913,726,32871,79760,7976,46163,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.476141230544239,0.13839444853727512,0.8111006650649396,0.4389235155974945,0.23644530159616312,0.596666703791798,23294,145022,5425,113449,287190,28719,168316,1,42,1.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.6648069207622869,0.21699906465920404,0.9017051153460381,0.63848489914187,0.3498139546195189,0.7587655103043518,7192,25951,784,45833,79760,7976,33143,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.5983947909049758,0.17478411053540588,0.8104739022946481,0.5748304451950123,0.2875550531537041,0.6825577441322979,23276,109894,5443,148577,287190,28719,133170,1,42,2.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.7381143430290873,0.2610481900954919,0.8842778335005015,0.7218739551989302,0.40309767388695206,0.7989600347725461,7053,19965,923,51819,79760,7976,27018,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.6732267836623838,0.2064367816091954,0.7973467042724329,0.6594356813723783,0.32796253329896025,0.7251198985146609,22899,88026,5820,170445,287190,28719,110925,1,42,3.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_prices,modified_sn,0.780667001003009,0.29536463708290334,0.8612086258776329,0.7717179315724952,0.4398693647540984,0.8152362476084326,6869,16387,1107,55397,79760,7976,23256,1,42,4.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_products,modified_sn,0.7168564365054494,0.2296479054227705,0.777847418085588,0.7100796607743228,0.3546041875009921,0.7431915168840378,22339,74936,6380,183535,287190,28719,97275,1,42,4.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_prices,modified_sn,0.8074849548645938,0.3219095428874837,0.8361334002006018,0.804301794271704,0.4648520545080682,0.8200631646597991,6669,14048,1307,57736,79760,7976,20717,1,42,5.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_products,modified_sn,0.745106027368641,0.24723276587040025,0.7575124482050211,0.7437275361645987,0.37279480434912987,0.7505883470435266,21755,66239,6964,192232,287190,28719,87994,1,42,5.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_prices,modified_sn,0.8249498495486459,0.34120331069609505,0.8062938816449348,0.8270227348712805,0.47949597375484637,0.8165925367697004,6431,12417,1545,59367,79760,7976,18848,1,42,6.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_products,modified_sn,0.7651485079564052,0.2611741489886532,0.7373515790939796,0.7682370556077858,0.38572300294173906,0.7526359053824833,21176,59904,7543,198567,287190,28719,81080,1,42,6.0,coarse
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_prices,modified_sn,0.7940070210631895,0.30788110171802563,0.8492978936810431,0.7878635907723169,0.4519314163720061,0.8180042103503576,6774,15228,1202,56556,79760,7976,22002,1,42,4.5,refine
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_products,modified_sn,0.7313137644068387,0.2383755467948372,0.7684807966851214,0.7271840941536961,0.36387917958187693,0.7475473309510112,22070,70515,6649,187956,287190,28719,92585,1,42,4.5,refine
modified_sn__threshold_4p750__attempt_01,modified_sn__threshold_4p750,new_prices,modified_sn,0.7998370110330993,0.31369805512802573,0.8432798395185557,0.7950100300902708,0.4572866029846687,0.818789307813778,6726,14715,1250,57069,79760,7976,21441,1,42,4.75,refine
modified_sn__threshold_4p750__attempt_01,modified_sn__threshold_4p750,new_products,modified_sn,0.7374455935095233,0.2422026859869235,0.7636059751384101,0.734538884439647,0.367758651048523,0.7489314261864144,21930,68614,6789,189857,287190,28719,90544,1,42,4.75,refine
modified_sn__threshold_5p250__attempt_01,modified_sn__threshold_5p250,new_prices,modified_sn,0.8114719157472418,0.3260408967726041,0.8296138415245737,0.809456146216427,0.46811219978069407,0.8194730154241121,6617,13678,1359,58106,79760,7976,20295,1,42,5.25,refine
modified_sn__threshold_5p250__attempt_01,modified_sn__threshold_5p250,new_products,modified_sn,0.7501619137156587,0.25053334570076985,0.7523938855809743,0.7499139168417347,0.37589917106647996,0.7511528777444711,21608,64640,7111,193831,287190,28719,86248,1,42,5.25,refine
modified_sn__threshold_5p500__attempt_01,modified_sn__threshold_5p500,new_prices,modified_sn,0.8159227683049147,0.33101501864731375,0.8234704112337011,0.8150841413128274,0.4722122366812854,0.8192665457816168,6568,13274,1408,58510,79760,7976,19842,1,42,5.5,refine
modified_sn__threshold_5p500__attempt_01,modified_sn__threshold_5p500,new_products,modified_sn,0.7553152964936105,0.2540952561310482,0.747519064034263,0.7561815445446491,0.3792698331375269,0.7518378285361808,21468,63020,7251,195451,287190,28719,84488,1,42,5.5,refine
