run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.6302253843047285,0.15335298642317446,0.5967319231815773,0.6339468562981445,0.24400070269953741,0.6150579864969699,41668,230045,28159,398402,698274,69827,271713,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.5704338388314132,0.13938069970909012,0.6368927301874956,0.5630495175696263,0.22870950094219197,0.5988339874085902,127925,789885,72933,1017837,2008580,200858,917810,1,42,1.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.746968954880176,0.2178294164246105,0.5906884156558352,0.7643333487151661,0.3182844156696003,0.6719247389295028,41246,148104,28581,480343,698274,69827,189350,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.6728345398241544,0.1772422847409478,0.6237391590078563,0.6782895821370764,0.27604373231802437,0.6504427519205439,125283,581563,75575,1226159,2008580,200858,706846,1,42,2.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.7990430690531224,0.26719856282362886,0.5793747404299197,0.8234505057705741,0.3657287499717495,0.6907144294407873,40456,110952,29371,517495,698274,69827,151408,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.7391928626193629,0.2147270691062224,0.6052036762289776,0.7540805499960724,0.3169868000396364,0.6755533443262585,121560,444554,79298,1363168,2008580,200858,566114,1,42,3.0,coarse
hybrid_max__threshold_4p000__attempt_01,hybrid_max__threshold_4p000,new_prices,hybrid_max,0.8270907981680544,0.3036159264316739,0.5636072006530425,0.85636656710908,0.39463920420360193,0.6947333039528222,39355,90266,30472,538181,698274,69827,129621,1,42,4.0,coarse
hybrid_max__threshold_4p000__attempt_01,hybrid_max__threshold_4p000,new_products,hybrid_max,0.7743455575580759,0.24107833501921494,0.5849754552967769,0.7953866800315536,0.34144243496808524,0.6821155952538028,117497,369884,83361,1437838,2008580,200858,487381,1,42,4.0,coarse
hybrid_max__threshold_5p000__attempt_01,hybrid_max__threshold_5p000,new_prices,hybrid_max,0.8455849709426385,0.3344256294501625,0.5495438727139932,0.8784782169379438,0.4158097198894728,0.6948109969128016,38373,76370,31454,552077,698274,69827,114743,1,42,5.0,coarse
hybrid_max__threshold_5p000__attempt_01,hybrid_max__threshold_5p000,new_products,hybrid_max,0.7991576138366409,0.2641058967120403,0.5645132382080873,0.8252292111287023,0.3598547721134529,0.6825341121425135,113387,315937,87471,1491785,2008580,200858,429324,1,42,5.0,coarse
hybrid_max__threshold_6p000__attempt_01,hybrid_max__threshold_6p000,new_prices,hybrid_max,0.8571176930545888,0.3568094873756695,0.5342918928208287,0.8929869981080346,0.4278759311187187,0.6907356321224001,37308,67252,32519,561195,698274,69827,104560,1,42,6.0,coarse
hybrid_max__threshold_6p000__attempt_01,hybrid_max__threshold_6p000,new_products,hybrid_max,0.813478178613747,0.2788115444728978,0.5453106174511346,0.8432745742984817,0.368971743495075,0.6781198852648017,109530,283316,91328,1524406,2008580,200858,392846,1,42,6.0,coarse
hybrid_max__threshold_4p500__attempt_01,hybrid_max__threshold_4p500,new_prices,hybrid_max,0.8362806004519716,0.31799365141697755,0.5566471422229223,0.8673507869398692,0.40476103697301347,0.6948441097504396,38869,83363,30958,545084,698274,69827,122232,1,42,4.5,refine
hybrid_max__threshold_4p500__attempt_01,hybrid_max__threshold_4p500,new_products,hybrid_max,0.7878934371546067,0.25302772056129913,0.5742763544394547,0.8116286685674015,0.3512803606967257,0.6827145471889666,115348,340523,85510,1467199,2008580,200858,455871,1,42,4.5,refine
hybrid_max__threshold_4p750__attempt_01,hybrid_max__threshold_4p750,new_prices,hybrid_max,0.8407988841056663,0.3256841661395741,0.5530525441448151,0.8727704961595807,0.40995318521034807,0.6947574708886466,38618,79957,31209,548490,698274,69827,118575,1,42,4.75,refine
hybrid_max__threshold_4p750__attempt_01,hybrid_max__threshold_4p750,new_products,hybrid_max,0.7940724292783957,0.2589972225620393,0.5691832040546058,0.8190601209699279,0.3560018185441682,0.6827849324399423,114325,327089,86533,1480633,2008580,200858,441414,1,42,4.75,refine
hybrid_max__threshold_5p250__attempt_01,hybrid_max__threshold_5p250,new_prices,hybrid_max,0.8485981147801579,0.3399534481374796,0.545920632420124,0.88222873209674,0.41899318531545393,0.6939934202609247,38120,74013,31707,554434,698274,69827,112133,1,42,5.25,refine
hybrid_max__threshold_5p250__attempt_01,hybrid_max__threshold_5p250,new_products,hybrid_max,0.8027178404644076,0.26750779935606234,0.5596690199046093,0.829723264971052,0.36199231989180225,0.681447288129024,112414,307813,88444,1499909,2008580,200858,420227,1,42,5.25,refine
hybrid_max__threshold_5p500__attempt_01,hybrid_max__threshold_5p500,new_prices,hybrid_max,0.8515955054892492,0.3456254453112155,0.5418677588898277,0.8860094805130743,0.42205007222491786,0.692892467530684,37837,71637,31990,556810,698274,69827,109474,1,42,5.5,refine
hybrid_max__threshold_5p500__attempt_01,hybrid_max__threshold_5p500,new_products,hybrid_max,0.8069173246771351,0.27194951185359023,0.5550040326997182,0.8349076904524037,0.3650339895477229,0.6807181025454605,111477,298441,89381,1509281,2008580,200858,409918,1,42,5.5,refine
