run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.5509089239809034,0.16706067769897556,0.8760330578512396,0.5147913903906968,0.2806088682991396,0.67154618298331,1908,9513,270,10093,21784,2178,11421,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.5479638009049774,0.1542060447272387,0.7849487973326983,0.5216321346352306,0.2577718687678411,0.6398863311026517,6592,36156,1806,39426,83980,8398,42748,1,42,1.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.7178204186558942,0.24343891402714932,0.86455463728191,0.7015199428746303,0.37990517502269744,0.7787825882478384,1883,5852,295,13754,21784,2178,7735,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.6787925696594427,0.20671908054687255,0.7795903786615861,0.667592813103649,0.326786293643465,0.7214214676312504,6547,25124,1851,50458,83980,8398,31671,1,42,2.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.7935640837311788,0.30633038249540673,0.8420569329660239,0.7881770886463327,0.44923453766074717,0.8146717019141029,1834,4153,344,15453,21784,2178,5987,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.759907120743034,0.2593774287233607,0.7550607287449392,0.7604456087428224,0.38611660831176736,0.757748385355089,6341,18106,2057,57476,83980,8398,24447,1,42,3.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_prices,hybrid_avg,0.8285438854204921,0.34581105169340465,0.8016528925619835,0.8315311639294094,0.4831880448318804,0.8164553648665944,1746,3303,432,16303,21784,2178,5049,1,42,4.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_products,hybrid_avg,0.8012264824958324,0.2964616970113363,0.7193379376041915,0.8103252097060146,0.4198783666377063,0.7634773507698892,6041,14336,2357,61246,83980,8398,20377,1,42,4.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_prices,hybrid_avg,0.8525523319867793,0.3809304467987103,0.7594123048668503,0.8628991125165766,0.507361963190184,0.8095036775109629,1654,2688,524,16918,21784,2178,4342,1,42,5.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_products,hybrid_avg,0.8279352226720648,0.3283607487237663,0.6893307930459633,0.8433357148527427,0.44482864607345934,0.7624547705427683,5789,11841,2609,63741,83980,8398,17630,1,42,5.0,coarse
hybrid_avg__threshold_6p000__attempt_01,hybrid_avg__threshold_6p000,new_prices,hybrid_avg,0.8682060227690048,0.41007007526602646,0.7254361799816346,0.884066102213608,0.5239595423644503,0.8008330263176545,1580,2273,598,17333,21784,2178,3853,1,42,6.0,coarse
hybrid_avg__threshold_6p000__attempt_01,hybrid_avg__threshold_6p000,new_products,hybrid_avg,0.8451059776137175,0.35286607940763437,0.6582519647535128,0.8658675345981848,0.45944148936170215,0.7549562940101469,5528,10138,2870,65444,83980,8398,15666,1,42,6.0,coarse
hybrid_avg__threshold_3p500__attempt_01,hybrid_avg__threshold_3p500,new_prices,hybrid_avg,0.8167921410209328,0.33191173743741886,0.8218549127640037,0.8162297255942058,0.47285695416721696,0.8190374899378005,1790,3603,388,16003,21784,2178,5393,1,42,3.5,refine
hybrid_avg__threshold_3p500__attempt_01,hybrid_avg__threshold_3p500,new_products,hybrid_avg,0.785139318885449,0.2811904545866981,0.7380328649678495,0.7903733693207378,0.4072273324572931,0.7637548835549769,6198,15844,2200,59738,83980,8398,22042,1,42,3.5,refine
hybrid_avg__threshold_3p750__attempt_01,hybrid_avg__threshold_3p750,new_prices,hybrid_avg,0.8234943077488065,0.33980395925427637,0.8117539026629935,0.8247985310619198,0.4790678769814388,0.8182502224260118,1768,3435,410,16171,21784,2178,5203,1,42,3.75,refine
hybrid_avg__threshold_3p750__attempt_01,hybrid_avg__threshold_3p750,new_products,hybrid_avg,0.7926530126220529,0.2880319774276981,0.7293403191236009,0.799687756344103,0.412972389845936,0.7637044738714344,6125,15140,2273,60442,83980,8398,21265,1,42,3.75,refine
hybrid_avg__threshold_4p250__attempt_01,hybrid_avg__threshold_4p250,new_prices,hybrid_avg,0.8387807565185457,0.3605769230769231,0.7920110192837465,0.8439763337753748,0.4955472565354784,0.8175809173193771,1725,3059,453,16547,21784,2178,4784,1,42,4.25,refine
hybrid_avg__threshold_4p250__attempt_01,hybrid_avg__threshold_4p250,new_products,hybrid_avg,0.812181471778995,0.3090070958719635,0.7104072398190046,0.8234897197745495,0.43068038260241825,0.7648614638248964,5966,13341,2432,62241,83980,8398,19307,1,42,4.25,refine
hybrid_avg__threshold_4p500__attempt_01,hybrid_avg__threshold_4p500,new_prices,hybrid_avg,0.8437844289386706,0.3675675675675676,0.7805325987144169,0.8508109762317658,0.4997795090401294,0.8149145368030504,1700,2925,478,16681,21784,2178,4625,1,42,4.5,refine
hybrid_avg__threshold_4p500__attempt_01,hybrid_avg__threshold_4p500,new_products,hybrid_avg,0.8167897118361515,0.31395101171459,0.7020719218861634,0.8295361329417057,0.4338803443962029,0.7631474478293164,5896,12884,2502,62698,83980,8398,18780,1,42,4.5,refine
