run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.4859406301220178,0.1524822695035461,0.9083955563649608,0.43900119387280195,0.2611313247650708,0.6314956324100476,4988,27724,503,21695,54910,5491,32712,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.47054322162807843,0.1378327968709421,0.8172273808968317,0.43202355832292116,0.23588196474026585,0.5941897685537596,17514,109553,3917,83330,214314,21431,127067,1,42,1.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.6520123839009287,0.210412147505423,0.9009287925696594,0.6243550051599587,0.3411488862837046,0.7499996006222838,4947,18564,544,30855,54910,5491,23511,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.5869891840943662,0.1716028471562705,0.8178339788157342,0.5613402943753467,0.28368185938106955,0.6775567625067181,17527,84610,3904,108273,214314,21431,102137,1,42,2.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.72952103441996,0.2547293402504847,0.8852668002185394,0.7122159493312289,0.39562138845934725,0.7940410156465889,4861,14222,630,35197,54910,5491,19083,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.6639556911820973,0.2026334352221961,0.8042555177079931,0.6483671448494683,0.3237081067883671,0.7221169252591733,17236,67824,4195,125059,214314,21431,85060,1,42,3.0,coarse
hybrid_max__threshold_4p000__attempt_01,hybrid_max__threshold_4p000,new_prices,hybrid_max,0.7729557457657986,0.28739485554065586,0.8586778364596612,0.7634310690220361,0.43065260081289675,0.809655073864129,4715,11691,776,37728,54910,5491,16406,1,42,4.0,coarse
hybrid_max__threshold_4p000__attempt_01,hybrid_max__threshold_4p000,new_products,hybrid_max,0.709095066117939,0.22568922977901737,0.7853576594652606,0.7006216203605294,0.35062026727217804,0.7417806656533343,16831,57745,4600,135138,214314,21431,74576,1,42,4.0,coarse
hybrid_max__threshold_5p000__attempt_01,hybrid_max__threshold_5p000,new_prices,hybrid_max,0.8024949918047715,0.3151243093922652,0.8309961755600073,0.7993281936097453,0.4569625957638576,0.8150083876298374,4563,9917,928,39502,54910,5491,14480,1,42,5.0,coarse
hybrid_max__threshold_5p000__attempt_01,hybrid_max__threshold_5p000,new_products,hybrid_max,0.7411555008072268,0.24541960186057643,0.7656665577901172,0.7384321065101642,0.3716984551261722,0.7519260396829881,16409,50452,5022,142431,214314,21431,66861,1,42,5.0,coarse
hybrid_max__threshold_6p000__attempt_01,hybrid_max__threshold_6p000,new_prices,hybrid_max,0.8205973411036241,0.3345476624165149,0.8027681660899654,0.8225783605495862,0.47227728076284353,0.8126128979801401,4408,8768,1083,40651,54910,5491,13176,1,42,6.0,coarse
hybrid_max__threshold_6p000__attempt_01,hybrid_max__threshold_6p000,new_products,hybrid_max,0.761200854820497,0.25875464292086353,0.7443889692501516,0.7630688033678448,0.38402099080448704,0.7536710157661209,15953,45700,5478,147183,214314,21431,61653,1,42,6.0,coarse
hybrid_max__threshold_4p500__attempt_01,hybrid_max__threshold_4p500,new_prices,hybrid_max,0.7889273356401384,0.3019162065605716,0.846476051720998,0.7825330338533762,0.4450828306042325,0.8138768167465271,4648,10747,843,38672,54910,5491,15395,1,42,4.5,refine
hybrid_max__threshold_4p500__attempt_01,hybrid_max__threshold_4p500,new_products,hybrid_max,0.7268307250109652,0.23642458417965143,0.7766786430871168,0.7212921823074091,0.36250190561230045,0.7484732683428739,16645,53758,4786,139125,214314,21431,70403,1,42,4.5,refine
hybrid_max__threshold_4p750__attempt_01,hybrid_max__threshold_4p750,new_prices,hybrid_max,0.7950100163904571,0.30751252086811354,0.838645055545438,0.7901616787065704,0.4500146584579302,0.8140424957757109,4605,10370,886,39049,54910,5491,14975,1,42,4.75,refine
hybrid_max__threshold_4p750__attempt_01,hybrid_max__threshold_4p750,new_products,hybrid_max,0.7344037253749172,0.241122749686342,0.7712192618169941,0.7303131950457012,0.3673827755982084,0.7504875769647064,16528,52018,4903,140865,214314,21431,68546,1,42,4.75,refine
hybrid_max__threshold_5p250__attempt_01,hybrid_max__threshold_5p250,new_prices,hybrid_max,0.8069568384629393,0.3197883597883598,0.8255326898561282,0.8048928549748072,0.46099867792128546,0.8151474490013025,4533,9642,958,39777,54910,5491,14175,1,42,5.25,refine
hybrid_max__threshold_5p250__attempt_01,hybrid_max__threshold_5p250,new_products,hybrid_max,0.746078184346333,0.24852873913706358,0.7606271289253884,0.7444616684725974,0.37464520058376716,0.7525009910194911,16301,49289,5130,143594,214314,21431,65590,1,42,5.25,refine
hybrid_max__threshold_5p500__attempt_01,hybrid_max__threshold_5p500,new_prices,hybrid_max,0.8112729921690038,0.3241916859122402,0.8180659260608268,0.8105182217365791,0.464361399700212,0.8142833288567985,4492,9364,999,40055,54910,5491,13856,1,42,5.5,refine
hybrid_max__threshold_5p500__attempt_01,hybrid_max__threshold_5p500,new_products,hybrid_max,0.7512481685750815,0.2519838182666874,0.755681022817414,0.750755639429084,0.3779419143300545,0.7532143051547228,16195,48075,5236,144808,214314,21431,64270,1,42,5.5,refine
