run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.5137632424711344,0.1611892766712783,0.9188988095238095,0.4687541330511837,0.27426769415265717,0.6563060374704,6175,32134,545,28354,67208,6720,38309,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.4731597002625577,0.1387456124984591,0.8196941239602897,0.4346566953144298,0.23732105204749748,0.596896589946061,21385,132746,4704,102060,260895,26089,154131,1,42,1.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.6711105820735627,0.22130434782608696,0.9089285714285714,0.6446898558391747,0.355944055944056,0.7654913648646814,6108,21492,612,38996,67208,6720,27600,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.5996473677149812,0.17642152207127224,0.8188125263521024,0.5752962019709889,0.29029584029787864,0.686337917163721,21362,99723,4727,135083,260895,26089,121085,1,42,2.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.7426348053803119,0.26481967358918485,0.8861607142857143,0.726689591323899,0.4077789570993255,0.8024735305987233,5955,16532,765,43956,67208,6720,22487,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.6772571340960923,0.20957150139434466,0.8036720456897543,0.6632113319080433,0.33245068814612794,0.7300715087162104,20967,79080,5122,155726,260895,26089,100047,1,42,3.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_prices,hybrid_avg,0.7822283061540293,0.2962524451765675,0.8563988095238095,0.7739882290702288,0.440220301384533,0.8141514588583536,5755,13671,965,46817,67208,6720,19426,1,42,4.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_products,hybrid_avg,0.7187374231012477,0.23193170610042288,0.7841619073172601,0.7114681907617352,0.3579827815496605,0.7469312240516408,20458,67749,5631,167057,260895,26089,88207,1,42,4.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_prices,hybrid_avg,0.8092340197595524,0.32261440949002734,0.825595238095238,0.8074163470440417,0.4639377848392357,0.8164551985747981,5548,11649,1172,48839,67208,6720,17197,1,42,5.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_products,hybrid_avg,0.7508806224726422,0.25261658591176733,0.7613936908275518,0.7497125286406651,0.37936632226275285,0.7555305349496952,19864,58769,6225,176037,260895,26089,78633,1,42,5.0,coarse
hybrid_avg__threshold_6p000__attempt_01,hybrid_avg__threshold_6p000,new_prices,hybrid_avg,0.8264641114153077,0.3413773185289776,0.7915178571428572,0.8303465150112419,0.4770189677592933,0.810699755919377,5319,10262,1401,50226,67208,6720,15581,1,42,6.0,coarse
hybrid_avg__threshold_6p000__attempt_01,hybrid_avg__threshold_6p000,new_products,hybrid_avg,0.7706088656356005,0.266761552067212,0.7399670359155199,0.774013440883112,0.3921508882050032,0.7567988052375935,19305,53063,6784,181743,260895,26089,72368,1,42,6.0,coarse
hybrid_avg__threshold_4p500__attempt_01,hybrid_avg__threshold_4p500,new_prices,hybrid_avg,0.7978216878942983,0.310923907058694,0.8403273809523809,0.7930994577436847,0.45390241941966086,0.8163719680148896,5647,12515,1073,47973,67208,6720,18162,1,42,4.5,refine
hybrid_avg__threshold_4p500__attempt_01,hybrid_avg__threshold_4p500,new_products,hybrid_avg,0.7385423254566014,0.24474015900717472,0.774042699988501,0.7345979233920769,0.371893444811742,0.7540624377519074,20194,62318,5895,172488,260895,26089,82512,1,42,4.5,refine
hybrid_avg__threshold_4p750__attempt_01,hybrid_avg__threshold_4p750,new_prices,hybrid_avg,0.8037287227710986,0.31682047217347,0.8327380952380953,0.8005058854648855,0.4590083254726654,0.8164629485095534,5596,12067,1124,48421,67208,6720,17663,1,42,4.75,refine
hybrid_avg__threshold_4p750__attempt_01,hybrid_avg__threshold_4p750,new_products,hybrid_avg,0.7453074991854961,0.24913288330287547,0.7681398290467246,0.7427706276670953,0.37623911084409734,0.7553487293675226,20040,60399,6049,174407,260895,26089,80439,1,42,4.75,refine
hybrid_avg__threshold_5p250__attempt_01,hybrid_avg__threshold_5p250,new_prices,hybrid_avg,0.8142185454112606,0.3277777777777778,0.8165178571428572,0.8139631001190318,0.4677749360613811,0.8152394778852093,5487,11253,1233,49235,67208,6720,16740,1,42,5.25,refine
hybrid_avg__threshold_5p250__attempt_01,hybrid_avg__threshold_5p250,new_products,hybrid_avg,0.7563234251327162,0.25646123260437376,0.756525738817126,0.7563009463131266,0.3830642030898222,0.7564133342145878,19737,57222,6352,177584,260895,26089,76959,1,42,5.25,refine
hybrid_avg__threshold_5p500__attempt_01,hybrid_avg__threshold_5p500,new_prices,hybrid_avg,0.818563266277824,0.33241489101151117,0.8078869047619047,0.8197493717762201,0.47102203713343743,0.8137965241046476,5429,10903,1291,49585,67208,6720,16332,1,42,5.5,refine
hybrid_avg__threshold_5p500__attempt_01,hybrid_avg__threshold_5p500,new_products,hybrid_avg,0.7623680024530941,0.26096391958460924,0.7513128138295834,0.7635963305878044,0.3873753693218312,0.7574296718269414,19601,55509,6488,179297,260895,26089,75110,1,42,5.5,refine
