run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.58067837017772,0.1724099599822143,0.8406504065040651,0.5518030220937933,0.2861359653168527,0.681082546269774,1551,7445,294,9166,18456,1845,8996,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.5555880709782117,0.15599840573933837,0.7810296660901955,0.530541966568629,0.2600549255846917,0.6437150106964509,5871,31764,1646,35897,75178,7517,37635,1,42,1.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.7330949284785435,0.24898158709467166,0.8281842818428184,0.7225332610920474,0.3828614382360311,0.7735571665656437,1528,4609,317,12002,18456,1845,6137,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.6883662773683791,0.21038261312752557,0.7687907409870959,0.6794312824226659,0.3303607157148573,0.7227312633777054,5779,21690,1738,45971,75178,7517,27469,1,42,2.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.8033701777199826,0.3123685317627261,0.8048780487804879,0.8032026970080067,0.4500681921503258,0.8040399365348899,1485,3269,360,13342,18456,1845,4754,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.7682965761259943,0.2646191879813635,0.7404549687375283,0.7713897222920146,0.3898987776260026,0.7557640853495119,5566,15468,1951,52193,75178,7517,21034,1,42,3.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_prices,modified_mad,0.8362050281751192,0.35282358820589704,0.7653116531165312,0.844079224610198,0.48298272618436805,0.8037310910670001,1412,2590,433,14021,18456,1845,4002,1,42,4.0,coarse
modified_mad__threshold_4p000__attempt_01,modified_mad__threshold_4p000,new_products,modified_mad,0.8043443560616138,0.2977730289056349,0.7044033524012239,0.8154475990600198,0.4185936203011977,0.7578944665884605,5295,12487,2222,55174,75178,7517,17782,1,42,4.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_prices,modified_mad,0.8550606848721283,0.3814962878355226,0.7241192411924119,0.8696044789597255,0.49971946886104357,0.7935347096641956,1336,2166,509,14445,18456,1845,3502,1,42,5.0,coarse
modified_mad__threshold_5p000__attempt_01,modified_mad__threshold_5p000,new_products,modified_mad,0.8336614435074091,0.33417553191489363,0.6686177996541174,0.8519974579151949,0.4456266347475285,0.7547586803887446,5026,10014,2491,57647,75178,7517,15040,1,42,5.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_prices,modified_mad,0.8671976592977894,0.4037484116899619,0.6888888888888889,0.887002588646078,0.5091127578610054,0.7816944593215208,1271,1877,574,14734,18456,1845,3148,1,42,6.0,coarse
modified_mad__threshold_6p000__attempt_01,modified_mad__threshold_6p000,new_products,modified_mad,0.8459788767990636,0.3506397999705839,0.6342955966475988,0.8694964602947045,0.4516220696187545,0.7426424281345665,4768,8830,2749,58831,75178,7517,13598,1,42,6.0,coarse
modified_mad__threshold_3p500__attempt_01,modified_mad__threshold_3p500,new_prices,modified_mad,0.8242847854356307,0.33774373259052926,0.7886178861788617,0.8282463427849016,0.4729400292540224,0.8081892600637564,1455,2853,390,13758,18456,1845,4308,1,42,3.5,refine
modified_mad__threshold_3p500__attempt_01,modified_mad__threshold_3p500,new_products,modified_mad,0.7941019979249249,0.2886493947759609,0.723293867234269,0.8019686377676948,0.4126285432398588,0.7616160432997684,5437,13399,2080,54262,75178,7517,18836,1,42,3.5,refine
modified_mad__threshold_3p750__attempt_01,modified_mad__threshold_3p750,new_prices,modified_mad,0.8312201993931513,0.3470616570327553,0.781029810298103,0.8367948949491301,0.48057362014340504,0.8084316656715891,1441,2711,404,13900,18456,1845,4152,1,42,3.75,refine
modified_mad__threshold_3p750__attempt_01,modified_mad__threshold_3p750,new_products,modified_mad,0.800726276304238,0.2949675859795627,0.7142477052015431,0.8103338703241159,0.4175123449589797,0.7607753330163147,5369,12833,2148,54828,75178,7517,18202,1,42,3.75,refine
modified_mad__threshold_4p250__attempt_01,modified_mad__threshold_4p250,new_prices,modified_mad,0.8433571738188123,0.3635889410537298,0.7555555555555555,0.8531093853470592,0.4909315020250044,0.802852125609415,1394,2440,451,14171,18456,1845,3834,1,42,4.25,refine
modified_mad__threshold_4p250__attempt_01,modified_mad__threshold_4p250,new_products,modified_mad,0.8162760382026657,0.31162846370219643,0.6926965544765199,0.8300054684382436,0.42986873606868653,0.7582492520166711,5207,11502,2310,56159,75178,7517,16709,1,42,4.25,refine
modified_mad__threshold_4p500__attempt_01,modified_mad__threshold_4p500,new_prices,modified_mad,0.8473125270914608,0.3693959731543624,0.7457994579945799,0.8585876828607549,0.4940754039497307,0.8002088655584698,1376,2349,469,14262,18456,1845,3725,1,42,4.5,refine
modified_mad__threshold_4p500__attempt_01,modified_mad__threshold_4p500,new_products,modified_mad,0.8221288142807737,0.31876431622608803,0.6849807103897831,0.8373656907228684,0.43506548373468523,0.7573502133672254,5149,11004,2368,56657,75178,7517,16153,1,42,4.5,refine
