run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.788784375,0.26601270233665136,0.6321875,0.8061840277777778,0.3744597358605818,0.7139043808947834,20230,55819,11770,232181,320000,32000,76049,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.7198258569709217,0.19297268360437525,0.566227977074931,0.7368920063113654,0.2878462517939808,0.6459480397496162,26675,111557,20435,312440,471107,47110,138232,1,42,1.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.874846875,0.4168646326096387,0.630625,0.9019826388888889,0.5019338631247746,0.7541967923886348,20180,28229,11820,259771,320000,32000,48409,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.8228024631347018,0.2958013767082524,0.5591594141371259,0.8520956516201765,0.38691861959563173,0.69025886835935,26342,62711,20768,361286,471107,47110,89053,1,42,2.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.896228125,0.4854054315494184,0.62725,0.9261145833333333,0.547286335564614,0.7621714849007626,20072,21279,11928,266721,320000,32000,41351,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.8618105865546468,0.3713901755589867,0.5514328168117173,0.8962964360596891,0.44384834868185,0.7030272174209884,25978,43970,21132,380027,471107,47110,69948,1,42,3.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_prices,modified_sn,0.90950625,0.5412642430819317,0.62346875,0.9412881944444444,0.5794655823409817,0.7660703453208685,19951,16909,12049,271091,320000,32000,36860,1,42,4.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_products,modified_sn,0.8782463431874288,0.4166598903868985,0.5438335809806835,0.915402703321014,0.47182754905662116,0.7055683738564713,25620,35869,21490,388128,471107,47110,61489,1,42,4.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_prices,modified_sn,0.91709375,0.5799473838059047,0.62,0.9501041666666666,0.5993052409001661,0.76750542886245,19840,14370,12160,273630,320000,32000,34210,1,42,5.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_products,modified_sn,0.8897447925842749,0.45622078063276916,0.5344300573126725,0.929223555827046,0.49223821068272466,0.7047020634260507,25177,30009,21933,393988,471107,47110,55186,1,42,5.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_prices,modified_sn,0.9229625,0.6144833603390253,0.61625,0.9570416666666667,0.6153654122199339,0.7679693529583933,19720,12372,12280,275628,320000,32000,32092,1,42,6.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_products,modified_sn,0.8974733977631408,0.48827778980728725,0.5265336446614307,0.9386882454356988,0.5066846421750364,0.7030298308536431,24805,25996,22305,398001,471107,47110,50801,1,42,6.0,coarse
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_prices,modified_sn,0.913153125,0.5591733445803458,0.62146875,0.9455625,0.5886775697476504,0.7665752050007064,19887,15678,12113,272322,320000,32000,35565,1,42,4.5,refine
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_products,modified_sn,0.8843341321610589,0.4365729999140672,0.53920611335173,0.9226810567055899,0.4824920461560378,0.7053476209993823,25402,32783,21708,391214,471107,47110,58185,1,42,4.5,refine
modified_sn__threshold_4p750__attempt_01,modified_sn__threshold_4p750,new_prices,modified_sn,0.91515,0.5695312948195743,0.62046875,0.9478923611111111,0.5939098441566212,0.7669012898888354,19855,15007,12145,272993,320000,32000,34862,1,42,4.75,refine
modified_sn__threshold_4p750__attempt_01,modified_sn__threshold_4p750,new_products,modified_sn,0.8864228296331831,0.44385543014621986,0.5367437911271492,0.9252754146845379,0.4859001335523977,0.7047239416356762,25286,31683,21824,392314,471107,47110,56969,1,42,4.75,refine
modified_sn__threshold_5p250__attempt_01,modified_sn__threshold_5p250,new_prices,modified_sn,0.91854375,0.5880310942321386,0.61934375,0.9517881944444444,0.6032813831730184,0.7677786592195379,19819,13885,12181,274115,320000,32000,33704,1,42,5.25,refine
modified_sn__threshold_5p250__attempt_01,modified_sn__threshold_5p250,new_products,modified_sn,0.8917082531144729,0.4638769208010503,0.5324984079813203,0.9316197991966925,0.49582464497129136,0.7043337702510906,25086,28993,22024,395004,471107,47110,54079,1,42,5.25,refine
modified_sn__threshold_5p500__attempt_01,modified_sn__threshold_5p500,new_prices,modified_sn,0.920290625,0.598120107595128,0.6184375,0.9538298611111111,0.6081091462196753,0.7680391622377747,19790,13297,12210,274703,320000,32000,33087,1,42,5.5,refine
modified_sn__threshold_5p500__attempt_01,modified_sn__threshold_5p500,new_products,modified_sn,0.8934573249813736,0.4709758807026793,0.5309700700488219,0.9337330216959082,0.4991768192295028,0.7041195125380169,25014,28097,22096,395900,471107,47110,53111,1,42,5.5,refine
