run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_prices,hybrid_weighted,0.588840545625588,0.17198636504493336,0.8159364892678624,0.5636126081985955,0.28409090909090906,0.6781386973478695,2775,13360,626,17255,34016,3401,16135,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_products,hybrid_weighted,0.5451202984313568,0.1460235029579463,0.7320182501341922,0.5243547882095093,0.24347787274877816,0.6195460229188869,5455,31902,1997,35169,74523,7452,37357,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_prices,hybrid_weighted,0.5910159924741298,0.1727380285198331,0.8156424581005587,0.5660623877184386,0.2850976361767728,0.6794884232692554,2774,13285,627,17330,34016,3401,16059,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_products,hybrid_weighted,0.5452813225447177,0.1460893779955552,0.7321524422973699,0.5245187935173174,0.2435768655550347,0.6196996980026486,5456,31891,1996,35180,74523,7452,37347,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_prices,hybrid_weighted,0.5947495296331138,0.17407407407407408,0.8153484269332549,0.5702433447656378,0.2868966944286379,0.6818702326130834,2773,13157,628,17458,34016,3401,15930,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_products,hybrid_weighted,0.545549696066986,0.14618661094591337,0.7322866344605475,0.5248020754126225,0.24371943458163062,0.6199238223861218,5457,31872,1995,35199,74523,7452,37329,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_prices,hybrid_weighted,0.5976599247412983,0.17516265554923882,0.8153484269332549,0.5734770537318308,0.288373544093178,0.6838008581762427,2773,13058,628,17557,34016,3401,15831,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_products,hybrid_weighted,0.5456570454758933,0.14625586068318822,0.7325550187869029,0.5248915328532451,0.24383053799941937,0.620090256906521,5459,31866,1993,35205,74523,7452,37325,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_prices,hybrid_weighted,0.600629115710254,0.17624618514750762,0.8150543957659512,0.5768087538788176,0.28982173663024724,0.6856606378998367,2772,12956,629,17659,34016,3401,15728,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_products,hybrid_weighted,0.5458314882653678,0.14630681818181818,0.7325550187869029,0.5250853573079274,0.24390134929854346,0.6202047353797263,5459,31853,1993,35218,74523,7452,37312,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_prices,hybrid_weighted,0.6035395108184384,0.17732130287323222,0.8147603645986474,0.5800751265719418,0.2912549926424217,0.687475251642095,2771,12856,630,17759,34016,3401,15627,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_products,hybrid_weighted,0.5460193497309556,0.14634277134277135,0.7324208266237252,0.525309000909484,0.24394386341288998,0.6202799792666271,5458,31838,1994,35233,74523,7452,37296,1,42,1.0,0.8,coarse
