schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold,w
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p300,hybrid_weighted__threshold_1p000__w_0p300,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,436.70302129979245,2757482,497970,815693,0.15822296956306794,0.583822959841926,0.24883970953186024,coarse,1,0.24883970953186024,0.6175956171126847,0.2,0.6607245416390546,0.0,0.1638833724499007,0.0,0.5833283129505793,0.0,0.25587879054812923,0.0,0.6248485506552569,0.0,0.6136070801147,0.0,0.14501536282712488,0.0,0.584977135921735,0.0,0.23241518716056597,0.0,0.6006721055133499,0.0,1.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p400,hybrid_weighted__threshold_1p000__w_0p400,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,430.94817929994315,2757482,497970,815693,0.159052034872898,0.5837955000980622,0.2498471686811957,coarse,1,0.2498471686811957,0.6185214078758743,0.15,0.6632387493222484,0.0,0.16503778623785442,0.0,0.5832680683575315,0.0,0.2572778769371133,0.0,0.6261219442999018,0.0,0.6137774873635057,0.0,0.14508528168799975,0.0,0.5850261741593007,0.0,0.23250884941738797,0.0,0.6007868228864771,0.0,1.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p500,hybrid_weighted__threshold_1p000__w_0p500,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,434.6368654000107,2757482,497970,815693,0.15997306133319628,0.5837459731472939,0.25096280944277244,coarse,1,0.25096280944277244,0.6195378657880146,0.1,0.6659256581721791,0.0,0.16629066797979913,0.0,0.5832078237644838,0.0,0.2587917645014547,0.0,0.6274816662408176,0.0,0.6141967627526532,0.0,0.14523197915778965,0.0,0.5850016550405178,0.0,0.23269524763918048,0.0,0.6010023313981413,0.0,1.0,0.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p600,hybrid_weighted__threshold_1p000__w_0p600,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,440.3893700998742,2757482,497970,815693,0.16103864327475578,0.5836609763174685,0.25224434813029717,coarse,1,0.25224434813029717,0.6206743064223283,0.15,0.6690724340823745,0.0,0.16777701379218693,0.0,0.5831074161094042,0.0,0.26057810522915115,0.0,0.6290554403721542,0.0,0.6144529866015768,0.0,0.14531577873408316,0.0,0.5849526168029521,0.0,0.23279891489963797,0.0,0.6011183272060683,0.0,1.0,0.6
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p700,hybrid_weighted__threshold_1p000__w_0p700,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,435.63617140008137,2757482,497970,815693,0.16218126605231192,0.5836174963032179,0.2536183510516585,coarse,1,0.2536183510516585,0.6218845347051891,0.19999999999999998,0.6723356828724621,0.0,0.1693633998670104,0.0,0.5830873345783882,0.0,0.2624853665040974,0.0,0.6307238674671716,0.0,0.6147974789534788,0.0,0.14542295381801554,0.0,0.5848545403278206,0.0,0.23292864832930113,0.0,0.6012594249272302,0.0,1.0,0.7
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_1p000__w_0p800,hybrid_weighted__threshold_1p000__w_0p800,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,433.3997736000456,2757482,497970,815693,0.16333047613527232,0.5834842813217413,0.2549855450408504,coarse,1,0.2549855450408504,0.6230524244434519,0.25,0.6755908990501436,0.0,0.17094127831991568,0.0,0.582886519268229,0.0,0.26435577737502164,0.0,0.63229490145217,0.0,0.6151971391197424,0.0,0.14557193770443783,0.0,0.5848790594466035,0.0,0.23312166959445094,0.0,0.6014866447564429,0.0,1.0,0.8
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p300,hybrid_weighted__threshold_2p000__w_0p300,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,455.92546010017395,2757482,497970,815693,0.2103592104215737,0.5765825648312068,0.30775021272432707,coarse,1,0.30775021272432707,0.6604306753341739,0.1,0.7565716810249613,0.0,0.22287235280879694,0.0,0.5767415707773561,0.0,0.3215045337512594,0.0,0.6692311141848016,0.0,0.6971789631638374,0.0,0.18116187818471952,0.0,0.5762115509568586,0.0,0.2756567969948183,0.0,0.6398963180160425,0.0,2.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p400,hybrid_weighted__threshold_2p000__w_0p400,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,450.9550569001585,2757482,497970,815693,0.2115037787680588,0.5762462553797224,0.30890061549288306,coarse,1,0.30890061549288306,0.6609605782534138,0.04999999999999999,0.7583870514288009,0.0,0.22436072827336048,0.0,0.5763399401570376,0.0,0.32298723806522767,0.0,0.6698855417775368,0.0,0.6978434288390363,0.0,0.18150422992235485,0.0,0.5760276575659871,0.0,0.2760318294907458,0.0,0.6401356633637936,0.0,2.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p500,hybrid_weighted__threshold_2p000__w_0p500,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,455.8225532001816,2757482,497970,815693,0.21270730009730413,0.5758279725666714,0.310099142691723,coarse,1,0.310099142691723,0.6614913850243856,0.0,0.7602365604353676,0.0,0.22588420638046475,0.0,0.5758579834126554,0.0,0.3244864127821123,0.0,0.6705114556175051,0.0,0.6987346955288325,0.0,0.18196118543659603,0.0,0.5757579472593755,0.0,0.27652884581414794,0.0,0.6404445536404403,0.0,2.0,0.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p600,hybrid_weighted__threshold_2p000__w_0p600,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,456.98206879990175,2757482,497970,815693,0.21395363270379894,0.5753437366624407,0.3113256837444553,coarse,1,0.3113256837444553,0.662007043499255,0.04999999999999999,0.7621443058818804,0.0,0.22745751945370812,0.0,0.5752555374821776,0.0,0.3260098897784758,0.0,0.6710984684982868,0.0,0.6996455774415129,0.0,0.1824445636206776,0.0,0.5755495347497211,0.0,0.2770625363317409,0.0,0.6407937185015143,0.0,2.0,0.6
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p700,hybrid_weighted__threshold_2p000__w_0p700,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,453.7562410000246,2757482,497970,815693,0.21521965046302433,0.574839148220447,0.3125623551492464,coarse,1,0.3125623551492464,0.6625091018108843,0.09999999999999998,0.7640821736249171,0.0,0.2290967891707559,0.0,0.5747133361447476,0.0,0.32760219324854906,0.0,0.6717296688553314,0.0,0.7004718687055056,0.0,0.182839660144984,0.0,0.5751327097304123,0.0,0.27746939958420697,0.0,0.6409944453738412,0.0,2.0,0.7
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_2p000__w_0p800,hybrid_weighted__threshold_2p000__w_0p800,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,453.74733079993166,2757482,497970,815693,0.2164440195733719,0.5743469021810228,0.3137474701536387,coarse,1,0.3137474701536387,0.6629718469537753,0.15000000000000002,0.765969837540414,0.0,0.2307077782171187,0.0,0.5741309717452858,0.0,0.32915035689615474,0.0,0.6723130635540906,0.0,0.7011228489149717,0.0,0.18316191607129603,0.0,0.5748507398644093,0.0,0.2778074010877679,0.0,0.6411756748863732,0.0,2.0,0.8
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p300,hybrid_weighted__threshold_3p000__w_0p300,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,470.6405640998855,2757482,497970,815693,0.24741543006950012,0.5641758848431159,0.34333938006761683,coarse,1,0.34333938006761683,0.6746217286517098,0.2,0.7979978713577123,0.0,0.26282218901755694,0.0,0.5651545273811676,0.0,0.3587906449001447,0.0,0.6823587732241764,0.0,0.7466669445489909,0.0,0.2114663258573676,0.0,0.561892385587662,0.0,0.30728642879171864,0.0,0.656568624649288,0.0,3.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p400,hybrid_weighted__threshold_3p000__w_0p400,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,468.49672459997237,2757482,497970,815693,0.24852117848401156,0.5634513699206785,0.34424591357239664,coarse,1,0.34424591357239664,0.6747326318032818,0.15,0.7992569833524108,0.0,0.26417081127835806,0.0,0.564250858485451,0.0,0.3598616803278688,0.0,0.6824331761156243,0.0,0.7474258084843195,0.0,0.2120053686305364,0.0,0.5615858966028761,0.0,0.3078091244762951,0.0,0.656764695074483,0.0,3.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p500,hybrid_weighted__threshold_3p000__w_0p500,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,465.2466436000541,2757482,497970,815693,0.25008956632285007,0.5626472507053748,0.3455756348794498,coarse,1,0.3455756348794498,0.6749971172130478,0.1,0.8009036688957166,0.0,0.2660148507809462,0.0,0.5633070265277025,0.0,0.3613748502376873,0.0,0.6826607939584844,0.0,0.748705701777507,0.0,0.2129305692539591,0.0,0.5611077737866101,0.0,0.3087107990435624,0.0,0.6571152048070289,0.0,3.0,0.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p600,hybrid_weighted__threshold_3p000__w_0p600,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,457.6643151000608,2757482,497970,815693,0.2509703098950224,0.5617641815967632,0.34621792275608565,coarse,1,0.34621792275608565,0.674911387875143,0.15,0.8020422917043195,0.0,0.26723101296024127,0.0,0.5623029499769062,0.0,0.36228724470982476,0.0,0.6826193716334359,0.0,0.7489888965578961,0.0,0.21302866940951173,0.0,0.5605070553764298,0.0,0.3087228381973611,0.0,0.6569260924391266,0.0,3.0,0.6
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p700,hybrid_weighted__threshold_3p000__w_0p700,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,469.62787330010906,2757482,497970,815693,0.2525215630261012,0.5606421422690624,0.347445439516896,coarse,1,0.347445439516896,0.6749878596874548,0.19999999999999998,0.8037492218406731,0.0,0.26911886548873776,0.0,0.5609574873988393,0.0,0.3637357986913637,0.0,0.6826434026924993,0.0,0.7500922528451268,0.0,0.21379452394661574,0.0,0.5599063369662495,0.0,0.3094346014431383,0.0,0.6571249260090176,0.0,3.0,0.7
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p800,hybrid_weighted__threshold_3p000__w_0p800,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,468.13175679999404,2757482,497970,815693,0.25423443817632146,0.5594197402407075,0.34878727098978735,coarse,1,0.34878727098978735,0.6750566145729642,0.25,0.8056409020623733,0.0,0.27126779212181396,0.0,0.5595316986967086,0.0,0.3653900374399223,0.0,0.6827021884360753,0.0,0.7511404413179958,0.0,0.21448994563683904,0.0,0.5591585038433718,0.0,0.31004748260613907,0.0,0.6572169422257051,0.0,3.0,0.8
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p300,hybrid_weighted__threshold_4p000__w_0p300,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,468.2849650999997,2757482,497970,815693,0.2751782302081769,0.5499152948692516,0.36605996355724774,coarse,1,0.36605996355724774,0.6783056370586698,0.30000000000000004,0.8219953009217422,0.0,0.29283641948971756,0.0,0.5513183525111954,0.0,0.38250353537816356,0.0,0.6853919417988784,0.0,0.7756974744174585,0.0,0.23397578855124862,0.0,0.5466414937047163,0.0,0.32769162930844414,0.0,0.6617709259981831,0.0,4.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p400,hybrid_weighted__threshold_4p000__w_0p400,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,470.47137570008636,2757482,497970,815693,0.2766337527254403,0.5488458059605777,0.36707421609139024,coarse,1,0.36707421609139024,0.6782119985552727,0.25,0.8233327308874029,0.0,0.29465361445783134,0.0,0.5500532160571922,0.0,0.3837430038456959,0.0,0.6852582339367325,0.0,0.7764453047899148,0.0,0.23458740868319455,0.0,0.5460285157351444,0.0,0.3281803779980105,0.0,0.6617707826652001,0.0,4.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p500,hybrid_weighted__threshold_4p000__w_0p500,tuning,hybrid_weighted,COUNTRY_2,by_country,ok,,472.2586749999318,2757482,497970,815693,0.277871227180676,0.5476709676843157,0.36785637136304933,coarse,1,0.36785637136304933,0.6779752963375734,0.2,0.8245818021165934,0.0,0.29635172653132047,0.0,0.5487479165411571,0.0,0.38485968803915355,0.0,0.6850588931199089,0.0,0.7768032826075496,0.0,0.23475006202917217,0.0,0.5451580870183526,0.0,0.3281819657854728,0.0,0.6614469038454575,0.0,4.0,0.5
