run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.6851011248228113,0.17017389448978504,0.554388774072626,0.699624659259152,0.2604122482118468,0.6227873289957495,89327,435589,71800,1014560,1611276,161127,524916,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.6340286580316254,0.14943955164131306,0.5669036156257068,0.641486971978004,0.23652859694651346,0.603043351502292,175451,998609,134039,1786810,3094909,309490,1174060,1,42,1.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.7802530416886989,0.23876935407877564,0.5472577532008912,0.8061412999629693,0.33247805078530773,0.6642040925650642,88178,281124,72949,1169025,1611276,161127,369302,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.7265157069238546,0.19489528840438552,0.5540954473488643,0.7456734516422844,0.2883629579370144,0.6427863290113622,171487,708406,138003,2077013,3094909,309490,879893,1,42,2.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.8226151199422073,0.2901953525937642,0.5351865298801567,0.8545514978116042,0.3763316036850673,0.676272467809893,86233,210922,74894,1239227,1611276,161127,297155,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.7807576894829541,0.2369244587649076,0.5369478819994185,0.8078475805614882,0.32877796408133386,0.65861373153074,166180,535225,143310,2250194,3094909,309490,701405,1,42,3.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_prices,hybrid_avg,0.8454957437459504,0.32832646550578226,0.5212037709384523,0.8815280360845679,0.4028696909877216,0.6778316432531346,83980,171802,77147,1278347,1611276,161127,255782,1,42,4.0,coarse
hybrid_avg__threshold_4p000__attempt_01,hybrid_avg__threshold_4p000,new_products,hybrid_avg,0.8078809425414447,0.26471651369029836,0.5182170667872952,0.8400657136323116,0.35042721036710267,0.6598002652523811,160383,445484,149107,2339935,3094909,309490,605867,1,42,4.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_prices,hybrid_avg,0.8610753216705269,0.3613472872535625,0.507221011996748,0.9003923045149154,0.42203459850245284,0.6757942703886586,81727,144446,79400,1305703,1611276,161127,226173,1,42,5.0,coarse
hybrid_avg__threshold_5p000__attempt_01,hybrid_avg__threshold_5p000,new_products,hybrid_avg,0.8267512873561065,0.28867647689413645,0.5003069566060293,0.8630227624641033,0.366108700046934,0.6570968663523998,154840,381539,154650,2403880,3094909,309490,536379,1,42,5.0,coarse
