run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_prices,hybrid_weighted,0.6805680715159911,0.16788466524138915,0.5546184065985217,0.6945624208271012,0.25774817895621854,0.6206586043247437,89364,442930,71763,1007219,1611276,161127,532294,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_products,hybrid_weighted,0.6334645057415258,0.14921644970836925,0.5668971533813694,0.6408608543274817,0.23624849524537933,0.6027455466710657,175449,1000353,134041,1785066,3094909,309490,1175802,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_prices,hybrid_weighted,0.6827098523158044,0.1689551685599363,0.5544942809088483,0.6969559679729462,0.258994390735292,0.6216575410033157,89344,439459,71783,1010690,1611276,161127,528803,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_products,hybrid_weighted,0.6335872880268855,0.1492664799545357,0.5669068467478755,0.6409962020076693,0.23631203877924573,0.602814345928771,175452,999976,134038,1785443,3094909,309490,1175428,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_prices,hybrid_weighted,0.6851011248228113,0.17017389448978504,0.554388774072626,0.699624659259152,0.2604122482118468,0.6227873289957495,89327,435589,71800,1014560,1611276,161127,524916,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_products,hybrid_weighted,0.6340286580316254,0.14943955164131306,0.5669036156257068,0.641486971978004,0.23652859694651346,0.603043351502292,175451,998609,134039,1786810,3094909,309490,1174060,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_prices,hybrid_weighted,0.6880217914249328,0.17168810196666476,0.5542646483829525,0.7028836347161568,0.26216760091413877,0.6241662844547775,89307,430863,71820,1019286,1611276,161127,520170,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_products,hybrid_weighted,0.6342267252445871,0.14951283884608468,0.566877766648357,0.6417099186872783,0.23661813407457308,0.603134384313764,175443,997988,134047,1787431,3094909,309490,1173431,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_prices,hybrid_weighted,0.6907084819732933,0.1730985104489592,0.5541156975553445,0.7058853952249045,0.2637918808721858,0.6254136056796158,89283,426510,71844,1023639,1611276,161127,515793,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_products,hybrid_weighted,0.6345107400573006,0.14961894430173334,0.5668454554266696,0.6420290807235823,0.23674817242928914,0.6032671602697474,175433,997099,134057,1788320,3094909,309490,1172532,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_prices,hybrid_weighted,0.6938885703008051,0.17480479651248185,0.5539667467277365,0.7094353752614386,0.26575144250522514,0.6268999974853645,89259,421362,71868,1028787,1611276,161127,510621,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_products,hybrid_weighted,0.6348438677841578,0.14974463947772093,0.5668131442049824,0.6424028126468585,0.2369026807412164,0.6034255199131787,175423,996058,134067,1789361,3094909,309490,1171481,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_prices,hybrid_weighted,0.7768253235324054,0.23544733046656519,0.5481204267441211,0.8022368735902311,0.3293996978908304,0.6631156893801767,88317,286786,72810,1163363,1611276,161127,375103,1,42,2.0,0.3,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_products,hybrid_weighted,0.7247679980251439,0.1938207258496135,0.5546382758732108,0.7436712394077875,0.2872579338782122,0.6422371322507202,171655,713983,137835,2071436,3094909,309490,885638,1,42,2.0,0.3,coarse
hybrid_weighted__threshold_2p000__w_0p400__attempt_01,hybrid_weighted__threshold_2p000__w_0p400,new_prices,hybrid_weighted,0.7784290214711819,0.2369788519637462,0.547673574261297,0.804068409522056,0.33081413003137755,0.6636015519824684,88245,284130,72882,1166019,1611276,161127,372375,1,42,2.0,0.4,coarse
hybrid_weighted__threshold_2p000__w_0p400__attempt_01,hybrid_weighted__threshold_2p000__w_0p400,new_products,hybrid_weighted,0.7255344179748096,0.19427684920958463,0.5543377815115189,0.744556205009013,0.2877181213681377,0.642445044260855,171562,711518,137928,2073901,3094909,309490,883080,1,42,2.0,0.4,coarse
hybrid_weighted__threshold_2p000__w_0p500__attempt_01,hybrid_weighted__threshold_2p000__w_0p500,new_prices,hybrid_weighted,0.7802530416886989,0.23876935407877564,0.5472577532008912,0.8061412999629693,0.33247805078530773,0.6642040925650642,88178,281124,72949,1169025,1611276,161127,369302,1,42,2.0,0.5,coarse
hybrid_weighted__threshold_2p000__w_0p500__attempt_01,hybrid_weighted__threshold_2p000__w_0p500,new_products,hybrid_weighted,0.7265157069238546,0.19489528840438552,0.5540954473488643,0.7456734516422844,0.2883629579370144,0.6427863290113622,171487,708406,138003,2077013,3094909,309490,879893,1,42,2.0,0.5,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_prices,hybrid_weighted,0.782244010337149,0.24074266381727452,0.5467364253042631,0.8084114115170234,0.3342889614516946,0.6648217545387568,88094,277832,73033,1172317,1611276,161127,365926,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_products,hybrid_weighted,0.727391338485235,0.19544046366156265,0.5538304953310285,0.7466758143029828,0.28892321929290044,0.6430644105275303,171405,705614,138085,2079805,3094909,309490,877019,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_prices,hybrid_weighted,0.7841524357093385,0.24266086539336437,0.5462026848386676,0.8105911875262473,0.33603280603887703,0.6653924277698088,88008,274671,73119,1175478,1611276,161127,362679,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_products,hybrid_weighted,0.7280414383750863,0.19582103064783285,0.5535106142363243,0.7474336895095496,0.28929518643518237,0.6432048511798966,171306,703503,138184,2081916,3094909,309490,874809,1,42,2.0,0.7,coarse
