schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_1p000,modified_sn__threshold_1p000,tuning,modified_sn,GLOBAL,global,ok,,1581.6079126999248,10793443,1611276,3094909,0.15997658976686388,0.5586584032470358,0.2486007987741538,coarse,1,0.2486007987741538,0.6130765081798529,0.2,0.6738330366740397,0.0,0.16458839555261026,0.0,0.554910101969254,0.0,0.25387617534609086,0.0,0.6174537406516587,0.0,0.6332241109512429,0.0,0.14921570960012237,0.0,0.5674044395618598,0.0,0.23629158677296738,0.0,0.6028629657456396,0.0,1.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_2p000,modified_sn__threshold_2p000,tuning,modified_sn,GLOBAL,global,ok,,1688.1598094000947,10793443,1611276,3094909,0.2216204268984625,0.5510784207263304,0.3156482963952558,coarse,1,0.3156482963952558,0.6567537304588389,0.0,0.7741982130932255,0.0,0.233063458367792,0.0,0.5491941139597957,0.0,0.3272504710535512,0.0,0.6625067153207992,0.0,0.7261198956092085,0.0,0.19492002013669368,0.0,0.5554751365149116,0.0,0.2885765555259001,0.0,0.6433300991142651,0.0,2.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_3p000,modified_sn__threshold_3p000,tuning,modified_sn,GLOBAL,global,ok,,1760.294368099887,10793443,1611276,3094909,0.26743894234690097,0.5392285660618655,0.3569995669676833,coarse,1,0.3569995669676833,0.6706605880091527,0.2,0.8164951256023176,0.0,0.28179146691922957,0.0,0.5391895833721226,0.0,0.37014014779531906,0.0,0.6759134264526675,0.0,0.7773365872793029,0.0,0.2339497183448009,0.0,0.5393195256712656,0.0,0.3263382117031998,0.0,0.6584039649742852,0.0,3.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_4p000,modified_sn__threshold_4p000,tuning,modified_sn,GLOBAL,global,ok,,1793.8245055000298,10793443,1611276,3094909,0.3040531134522949,0.5253124965857439,0.38453093672183014,coarse,1,0.38453093672183014,0.674019043300439,0.4,0.8414852576467347,0.0,0.3214683360221773,0.0,0.526820458396172,0.0,0.3992887734870561,0.0,0.6795076657571001,0.0,0.8062731408257884,0.0,0.2634175941225694,0.0,0.5217939190280785,0.0,0.3500959842696362,0.0,0.6612122575682301,0.0,4.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_5p000,modified_sn__threshold_5p000,tuning,modified_sn,GLOBAL,global,ok,,1826.2971690001432,10793443,1611276,3094909,0.3330697949432542,0.5111847584675157,0.4026411719782573,coarse,1,0.4026411719782573,0.672536156254326,0.6,0.8572144064703998,0.0,0.3530339723037042,0.0,0.5138927678166911,0.0,0.41853964531138244,0.0,0.6783211573630886,0.0,0.8247470281032495,0.0,0.2864867144355377,0.0,0.5048660699861062,0.0,0.3655447342009653,0.0,0.6590378203338797,0.0,5.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_6p000,modified_sn__threshold_6p000,tuning,modified_sn,GLOBAL,global,ok,,1875.0506114000455,10793443,1611276,3094909,0.3563278023892269,0.4975968180214012,0.41455253620876054,coarse,1,0.41455253620876054,0.6687546068290418,0.8,0.8677607064214945,0.0,0.3783493904238229,0.0,0.5013498668751978,0.0,0.4312506005829659,0.0,0.6748797997803202,0.0,0.8374637186424544,0.0,0.30494409697516967,0.0,0.48883970402920934,0.0,0.37559038600228145,0.0,0.6544624899427254,0.0,6.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_3p500,modified_sn__threshold_3p500,tuning,modified_sn,GLOBAL,global,error,"Unable to allocate 213. MiB for an array with shape (9, 3094909) and data type object",1812.8582854999695,10793443,1611276,3094909,,,,refine,0,,,0.3,,,,,,,,,,,,,,,,,,,,,3.5
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_3p750,modified_sn__threshold_3p750,tuning,modified_sn,GLOBAL,global,ok,,1900.3363037998788,10793443,1611276,3094909,0.2939146441737562,0.5288849296046522,0.3772601422556872,refine,1,0.3772601422556872,0.6733463643285538,0.35,0.8351325285053585,0.0,0.31019967894473055,0.0,0.5300849640345814,0.0,0.39137258316169077,0.0,0.6787178455845022,0.0,0.7996483903080833,0.0,0.2559162297081494,0.0,0.5260848492681508,0.0,0.34433111347501233,0.0,0.6608129080646744,0.0,3.75
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_4p250,modified_sn__threshold_4p250,tuning,modified_sn,GLOBAL,global,ok,,1867.4369652001187,10793443,1611276,3094909,0.3108558912159529,0.521777726769896,0.3889735986343015,refine,1,0.3889735986343015,0.6737496827645053,0.45,0.8453573441173331,0.0,0.3285587995903092,0.0,0.5236056030336319,0.0,0.40376065430982094,0.0,0.6792295385931059,0.0,0.8115110977414844,0.0,0.26954910500912155,0.0,0.5175126821545123,0.0,0.3544704687247561,0.0,0.6609633524977709,0.0,4.25
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_sn__threshold_4p500,modified_sn__threshold_4p500,tuning,modified_sn,GLOBAL,global,ok,,1883.7629239999224,10793443,1611276,3094909,0.31817576298759565,0.5183623353304043,0.39365780229693215,refine,1,0.39365780229693215,0.6735057690824324,0.5,0.8495217454985986,0.0,0.33672326364771493,0.0,0.5205086670762814,0.0,0.4089147192331508,0.0,0.6791256088163253,0.0,0.8159280289016575,0.0,0.27489826144731744,0.0,0.5133542279233578,0.0,0.35805832944575533,0.0,0.6603928097033489,0.0,4.5
