run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.6738330366740397,0.16458839555261026,0.554910101969254,0.6870466414140892,0.25387617534609086,0.6174537406516587,89411,453829,71716,996320,1611276,161127,543240,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.6332241109512429,0.14921570960012237,0.5674044395618598,0.6405373841422063,0.23629158677296738,0.6028629657456396,175606,1001254,133884,1784165,3094909,309490,1176860,1,42,1.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.7741982130932255,0.233063458367792,0.5491941139597957,0.7991985651129643,0.3272504710535512,0.6625067153207992,88490,291192,72637,1158957,1611276,161127,379682,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.7261198956092085,0.19492002013669368,0.5554751365149116,0.7450803631338768,0.2885765555259001,0.6433300991142651,171914,710058,137576,2075361,3094909,309490,881972,1,42,2.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.8164951256023176,0.28179146691922957,0.5391895833721226,0.8473067250330828,0.37014014779531906,0.6759134264526675,86878,221428,74249,1228721,1611276,161127,308306,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.7773365872793029,0.2339497183448009,0.5393195256712656,0.8037828420068938,0.3263382117031998,0.6584039649742852,166914,546547,142576,2238872,3094909,309490,713461,1,42,3.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_prices,modified_sn,0.8414852576467347,0.3214683360221773,0.526820458396172,0.8764478684604133,0.3992887734870561,0.6795076657571001,84885,179169,76242,1270980,1611276,161127,264054,1,42,4.0,coarse
modified_sn__threshold_4p000__attempt_01,modified_sn__threshold_4p000,new_products,modified_sn,0.8062731408257884,0.2634175941225694,0.5217939190280785,0.8378818411161839,0.3500959842696362,0.6612122575682301,161490,451567,148000,2333852,3094909,309490,613057,1,42,4.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_prices,modified_sn,0.8572144064703998,0.3530339723037042,0.5138927678166911,0.8953610973768903,0.41853964531138244,0.6783211573630886,82802,151742,78325,1298407,1611276,161127,234544,1,42,5.0,coarse
modified_sn__threshold_5p000__attempt_01,modified_sn__threshold_5p000,new_products,modified_sn,0.8247470281032495,0.2864867144355377,0.5048660699861062,0.8602892419416971,0.3655447342009653,0.6590378203338797,156251,389153,153239,2396266,3094909,309490,545404,1,42,5.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_prices,modified_sn,0.8677607064214945,0.3783493904238229,0.5013498668751978,0.9084728534791942,0.4312506005829659,0.6748797997803202,80781,132728,80346,1317421,1611276,161127,213509,1,42,6.0,coarse
modified_sn__threshold_6p000__attempt_01,modified_sn__threshold_6p000,new_products,modified_sn,0.8374637186424544,0.30494409697516967,0.48883970402920934,0.8761995951057991,0.37559038600228145,0.6544624899427254,151291,344836,158199,2440583,3094909,309490,496127,1,42,6.0,coarse
modified_sn__threshold_3p750__attempt_01,modified_sn__threshold_3p750,new_prices,modified_sn,0.8351325285053585,0.31019967894473055,0.5300849640345814,0.8690265620981017,0.39137258316169077,0.6787178455845022,85411,189931,75716,1260218,1611276,161127,275342,1,42,3.75,refine
modified_sn__threshold_3p750__attempt_01,modified_sn__threshold_3p750,new_products,modified_sn,0.7996483903080833,0.2559162297081494,0.5260848492681508,0.830044241099813,0.34433111347501233,0.6608129080646744,162818,473398,146672,2312021,3094909,309490,636216,1,42,3.75,refine
modified_sn__threshold_4p250__attempt_01,modified_sn__threshold_4p250,new_prices,modified_sn,0.8453573441173331,0.3285587995903092,0.5236056030336319,0.8811073896544424,0.40376065430982094,0.6792295385931059,84367,172412,76760,1277737,1611276,161127,256779,1,42,4.25,refine
modified_sn__threshold_4p250__attempt_01,modified_sn__threshold_4p250,new_products,modified_sn,0.8115110977414844,0.26954910500912155,0.5175126821545123,0.8441774828131782,0.3544704687247561,0.6609633524977709,160165,434031,149325,2351388,3094909,309490,594196,1,42,4.25,refine
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_prices,modified_sn,0.8495217454985986,0.33672326364771493,0.5205086670762814,0.8860786029573513,0.4089147192331508,0.6791256088163253,83868,165203,77259,1284946,1611276,161127,249071,1,42,4.5,refine
modified_sn__threshold_4p500__attempt_01,modified_sn__threshold_4p500,new_products,modified_sn,0.8159280289016575,0.27489826144731744,0.5133542279233578,0.8495472314937178,0.35805832944575533,0.6603928097033489,158878,419074,150612,2366345,3094909,309490,577952,1,42,4.5,refine
