run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.508218366027161,0.14814635562869036,0.8248450552411749,0.4730397293494207,0.2511795839658639,0.6246474859362625,6122,35202,1300,31600,74224,7422,41324,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.49359546239533797,0.13912569497438135,0.7834254143646409,0.4613933058388618,0.23628957600444364,0.6012214582097697,19143,118452,5292,101471,244358,24435,137595,1,42,1.0,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,0.589728389739168,0.17288790409635815,0.8199946106170843,0.564144786084249,0.28556681681681684,0.6801438702192443,6086,29116,1336,37686,74224,7422,35202,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,0.5702821270431089,0.16080930890475548,0.7816247186412932,0.5468004710739668,0.26674022192272506,0.6537528312413766,19099,99669,5336,120254,244358,24435,118768,1,42,1.5,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.6535891355895668,0.1983640081799591,0.8102937213689032,0.6361785575282177,0.318706942236354,0.7179773609485471,6014,24304,1408,42498,74224,7422,30318,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.6167999410700693,0.1765217310011499,0.7727440147329651,0.5994734520718615,0.28739288595302964,0.6806170157143002,18882,88085,5553,131838,244358,24435,106967,1,42,2.0,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,0.6974967665445139,0.22004097597317937,0.795877122069523,0.686566270470944,0.3447631832375172,0.7392038876064037,5907,20938,1515,45864,74224,7422,26845,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,0.6624788220561635,0.19525564691428032,0.7609576427255985,0.6515371289042073,0.31077015643802647,0.7041251009296218,18594,76635,5841,143288,244358,24435,95229,1,42,2.5,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.7305049579650786,0.23977164605137963,0.7809215844785772,0.7249034460046107,0.36689349580629843,0.7523913527200464,5796,18377,1626,48425,74224,7422,24173,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.701691780093142,0.21506438525313107,0.7484346224677716,0.6964983198664987,0.3341189366949849,0.7219996240156362,18288,66747,6147,153176,244358,24435,85035,1,42,3.0,coarse
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,0.7158870446216857,0.2308146864166404,0.7894098625707356,0.7077183317864735,0.35719075778820947,0.7474488818871498,5859,19525,1563,47277,74224,7422,25384,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,0.6859157465685592,0.20683896709405541,0.7552690812359321,0.67821010080801,0.3247433111324224,0.715703234394113,18455,70769,5980,149154,244358,24435,89224,1,42,2.75,refine
