run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_prices,hybrid_weighted,0.5002425091614572,0.1460709003292142,0.8249797898140663,0.4641627496182749,0.24819618970409404,0.6188092497851042,6123,35795,1299,31007,74224,7422,41918,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_products,hybrid_weighted,0.492834284124113,0.1389483615778205,0.7835072641702476,0.46053846118868874,0.23603747996547894,0.6006956215681327,19145,118640,5290,101283,244358,24435,137785,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_prices,hybrid_weighted,0.5041900194007329,0.1470990990990991,0.8249797898140663,0.4685488458429388,0.2496788794421677,0.6217260878884937,6123,35502,1299,31300,74224,7422,41625,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_products,hybrid_weighted,0.4931821344093502,0.1390131598059437,0.7833435645590342,0.46094314828371746,0.23612353278602574,0.600896703964692,19141,118551,5294,101372,244358,24435,137692,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_prices,hybrid_weighted,0.508218366027161,0.14814635562869036,0.8248450552411749,0.4730397293494207,0.2511795839658639,0.6246474859362625,6122,35202,1300,31600,74224,7422,41324,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_products,hybrid_weighted,0.49359546239533797,0.13912569497438135,0.7834254143646409,0.4613933058388618,0.23628957600444364,0.6012214582097697,19143,118452,5292,101471,244358,24435,137595,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_prices,hybrid_weighted,0.5126239491269671,0.14927667048864385,0.8244408515225007,0.4779797012065507,0.2527833433168777,0.6277467577560231,6119,34872,1303,31930,74224,7422,40991,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_products,hybrid_weighted,0.49414793049542066,0.13925708216327898,0.7833844894618375,0.4620117040964338,0.23647717937156026,0.6016085130207004,19142,118316,5293,101607,244358,24435,137458,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_prices,hybrid_weighted,0.5169486958396206,0.1504548807474797,0.8244408515225007,0.48278494655848625,0.2544705980204608,0.6308943116266966,6119,34551,1303,32251,74224,7422,40670,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_products,hybrid_weighted,0.49495821704220855,0.13948422816347344,0.7835891139758543,0.46288928397666457,0.23681395133112765,0.6022582534927954,19147,118123,5288,101800,244358,24435,137270,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_prices,hybrid_weighted,0.5219470791118775,0.15183999602967815,0.8244408515225007,0.4883386724948355,0.25644894281343644,0.6345126878030176,6119,34180,1303,32622,74224,7422,40299,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_1p000__w_0p800__attempt_01,hybrid_weighted__threshold_1p000__w_0p800,new_products,hybrid_weighted,0.49538382209708703,0.13958473068735236,0.7835481890730509,0.4633667238078782,0.23695691186207835,0.602553032783319,19146,118018,5289,101905,244358,24435,137164,1,42,1.0,0.8,coarse
hybrid_weighted__threshold_1p500__w_0p300__attempt_01,hybrid_weighted__threshold_1p500__w_0p300,new_prices,hybrid_weighted,0.5813618236688941,0.1700198119262215,0.8209377526273242,0.5547438699440137,0.2816986060704131,0.67484085966665,6093,29744,1329,37058,74224,7422,35837,1,42,1.5,0.3,coarse
hybrid_weighted__threshold_1p500__w_0p300__attempt_01,hybrid_weighted__threshold_1p500__w_0p300,new_products,hybrid_weighted,0.5661815860336065,0.15953219693807702,0.7821158174749335,0.5421897664182463,0.26500911744517397,0.6511952029835216,19111,100683,5324,119240,244358,24435,119794,1,42,1.5,0.3,coarse
hybrid_weighted__threshold_1p500__w_0p400__attempt_01,hybrid_weighted__threshold_1p500__w_0p400,new_prices,hybrid_weighted,0.5858078249622763,0.17154446353623842,0.8205335489086499,0.5597287506362085,0.2837639493977588,0.6776992092261381,6090,29411,1332,37391,74224,7422,35501,1,42,1.5,0.4,coarse
hybrid_weighted__threshold_1p500__w_0p400__attempt_01,hybrid_weighted__threshold_1p500__w_0p400,new_products,hybrid_weighted,0.5672987993026625,0.15986243713862555,0.7818702680581133,0.5434583922554712,0.26545045295392655,0.6518542466159261,19105,100404,5330,119519,244358,24435,119509,1,42,1.5,0.4,coarse
hybrid_weighted__threshold_1p500__w_0p500__attempt_01,hybrid_weighted__threshold_1p500__w_0p500,new_prices,hybrid_weighted,0.589728389739168,0.17288790409635815,0.8199946106170843,0.564144786084249,0.28556681681681684,0.6801438702192443,6086,29116,1336,37686,74224,7422,35202,1,42,1.5,0.5,coarse
hybrid_weighted__threshold_1p500__w_0p500__attempt_01,hybrid_weighted__threshold_1p500__w_0p500,new_products,hybrid_weighted,0.5702821270431089,0.16080930890475548,0.7816247186412932,0.5468004710739668,0.26674022192272506,0.6537528312413766,19099,99669,5336,120254,244358,24435,118768,1,42,1.5,0.5,coarse
hybrid_weighted__threshold_1p500__w_0p600__attempt_01,hybrid_weighted__threshold_1p500__w_0p600,new_prices,hybrid_weighted,0.594133972838974,0.1743969251068468,0.8191862031797359,0.5691296667764438,0.28757242520988524,0.68280536820059,6080,28783,1342,38019,74224,7422,34863,1,42,1.5,0.6,coarse
hybrid_weighted__threshold_1p500__w_0p600__attempt_01,hybrid_weighted__threshold_1p500__w_0p600,new_products,hybrid_weighted,0.5707936715802224,0.16087583363545152,0.7808880703908329,0.5474506986536197,0.2667887753247298,0.6538330977441708,19081,99526,5354,120397,244358,24435,118607,1,42,1.5,0.6,coarse
hybrid_weighted__threshold_1p500__w_0p700__attempt_01,hybrid_weighted__threshold_1p500__w_0p700,new_prices,hybrid_weighted,0.5992266652295754,0.17623343098297414,0.8186472648881703,0.574848058441364,0.2900307883243037,0.6860013052241939,6076,28401,1346,38401,74224,7422,34477,1,42,1.5,0.7,coarse
hybrid_weighted__threshold_1p500__w_0p700__attempt_01,hybrid_weighted__threshold_1p500__w_0p700,new_products,hybrid_weighted,0.5735805662184172,0.16176470588235295,0.7806015960712094,0.550579066309572,0.26799300301376217,0.655578292749728,19074,98838,5361,121085,244358,24435,117912,1,42,1.5,0.7,coarse
hybrid_weighted__threshold_1p500__w_0p800__attempt_01,hybrid_weighted__threshold_1p500__w_0p800,new_prices,hybrid_weighted,0.6095063591291227,0.18012698789461193,0.8179735920237133,0.5863447202179576,0.29523902154354914,0.6925420542904395,6071,27633,1351,39169,74224,7422,33704,1,42,1.5,0.8,coarse
hybrid_weighted__threshold_1p500__w_0p800__attempt_01,hybrid_weighted__threshold_1p500__w_0p800,new_products,hybrid_weighted,0.5767357729233338,0.16280638248828255,0.780437896459996,0.5541030269685299,0.2694111663652803,0.657603984773082,19070,98063,5365,121860,244358,24435,117133,1,42,1.5,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_prices,hybrid_weighted,0.6463408062082345,0.1953398058252427,0.8132578819725141,0.6277955749827849,0.3150148739627368,0.7145346035163143,6036,24864,1386,41938,74224,7422,30900,1,42,2.0,0.3,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_products,hybrid_weighted,0.6139352916622333,0.17564520170383363,0.7745856353591161,0.5960859027932504,0.2863562091503268,0.6794995053300055,18927,88830,5508,131093,244358,24435,107757,1,42,2.0,0.3,coarse
