run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.48906014227204136,0.1433515738272298,0.8259229318243061,0.4516331846351906,0.2443009724214889,0.6107488878115496,6130,36632,1292,30170,74224,7422,42762,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.4938164496353711,0.1391803171417977,0.7834254143646409,0.46163884632348595,0.23636835086679508,0.6013814134705128,19143,118398,5292,101525,244358,24435,137541,1,42,1.0,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,0.5727796938995473,0.16716000657786548,0.8217461600646726,0.5451184096284543,0.27780814430172174,0.6692898922684725,6099,30387,1323,36415,74224,7422,36486,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,0.564319563918513,0.15903630483759676,0.7828933906281973,0.5400344666087676,0.26436892801370904,0.6502225885182921,19130,101157,5305,118766,244358,24435,120287,1,42,1.5,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.6392945677947833,0.19230402289712195,0.8147399622743196,0.6198018023412473,0.3111637121465511,0.7106175462631521,6047,25398,1375,41404,74224,7422,31445,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.614438651486753,0.17621292549834813,0.7770820544301207,0.596367819645967,0.28728128238684936,0.6807545302724761,18988,88768,5447,131155,244358,24435,107756,1,42,2.0,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,0.6809522526406553,0.21158690176322417,0.8035569927243331,0.6673303194515134,0.33497149597011994,0.7322826944918381,5964,22223,1458,44579,74224,7422,28187,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,0.6545478355527545,0.19198258065178764,0.7649682832003274,0.6422793432246741,0.3069344324208936,0.7009445959001416,18692,78671,5743,141252,244358,24435,97363,1,42,2.5,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.7170187540418194,0.2319624250078939,0.7918350848827809,0.7087063261578994,0.35881311435374563,0.7491185045973728,5877,19459,1545,47343,74224,7422,25336,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.6950621628921501,0.21194132873166524,0.7539594843462247,0.6885182541162134,0.3308728448275862,0.7204962649704877,18423,68502,6012,151421,244358,24435,86925,1,42,3.0,coarse
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,0.6990057124380255,0.22121314048660165,0.7974939369442199,0.6880632316397712,0.3463530237865356,0.7407605925445574,5919,20838,1503,45964,74224,7422,26757,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,0.6722349994679937,0.2000948367837398,0.7598526703499079,0.6625000568380751,0.3167727295992357,0.7095085885987408,18567,74224,5868,145699,244358,24435,92791,1,42,2.75,refine
