run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.842662573587985,0.19178416013925154,0.17839448204397526,0.9164690770797278,0.18484716303727813,0.4043427089919615,5509,23216,25372,254717,308814,30881,28725,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.8155861190582555,0.221753433241084,0.33638019801980196,0.868830846515492,0.26729607250755283,0.5406084462867681,21234,74521,41891,493608,631254,63125,95755,1,42,1.0,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_prices,modified_mad,0.8613631506343624,0.23927104274101915,0.1772934814287102,0.9373697977570133,0.2036716701076949,0.40766353139625683,5475,17407,25406,260526,308814,30881,22882,1,42,1.5,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_products,modified_mad,0.8480405668716555,0.278312471275244,0.3261623762376238,0.9060266242349889,0.3003435373405396,0.5436099674353264,20589,53389,42536,514740,631254,63125,73978,1,42,1.5,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.8678557319292519,0.26101401126679186,0.17554483339270102,0.9447780580211778,0.20991287512100676,0.4072479671998465,5421,15348,25460,262585,308814,30881,20769,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.8578274355489233,0.3001651403693139,0.31673663366336635,0.9179482124658308,0.30822831155817626,0.5392103733179953,19994,46616,43131,521513,631254,63125,66610,1,42,2.0,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_prices,modified_mad,0.8752550078688143,0.29238209084981526,0.17424953855121272,0.9531433834773129,0.2183625849649995,0.40753502272082504,5381,13023,25500,264910,308814,30881,18404,1,42,2.5,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_products,modified_mad,0.8687643959483821,0.3322443423515399,0.3093227722772277,0.9309241387079343,0.3203740924566225,0.5366153514063203,19526,39244,43599,528885,631254,63125,58770,1,42,2.5,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.8798305776292525,0.31589525329550155,0.17305139082283605,0.9583604681703863,0.2236076823298046,0.40724146636425623,5344,11573,25537,266360,308814,30881,16917,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.8756253425720867,0.35610750556417975,0.3016237623762376,0.9394028468886467,0.3266090297790586,0.5323027532011292,19040,34427,44085,533702,631254,63125,53467,1,42,3.0,coarse
modified_mad__threshold_1p250__attempt_01,modified_mad__threshold_1p250,new_prices,modified_mad,0.8507872052432855,0.20971808388723356,0.17777921699426832,0.9255647943928933,0.19243239453898595,0.4056429272459086,5490,20688,25391,257245,308814,30881,26178,1,42,1.25,refine
modified_mad__threshold_1p250__attempt_01,modified_mad__threshold_1p250,new_products,modified_mad,0.8256470454048608,0.23571476835063854,0.331580198019802,0.8805429752749816,0.27554748128986395,0.5403430522423917,20931,67867,42194,500262,631254,63125,88798,1,42,1.25,refine
modified_mad__threshold_1p750__attempt_01,modified_mad__threshold_1p750,new_prices,modified_mad,0.8651874591177862,0.25165165165165165,0.1763867750396684,0.9417197669942037,0.20740204850930968,0.4075621580706623,5447,16198,25434,261735,308814,30881,21645,1,42,1.75,refine
modified_mad__threshold_1p750__attempt_01,modified_mad__threshold_1p750,new_products,modified_mad,0.854280527331312,0.29200478530967583,0.32093465346534655,0.9135407627493052,0.30578699510958157,0.541467347232884,20259,49120,42866,519009,631254,63125,69379,1,42,1.75,refine
