run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.5354006586169044,0.15961171681516695,0.8548559231590181,0.4999068317720597,0.2689982728842833,0.6537188357145632,5607,29522,952,29511,65592,6559,35129,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.5398833544434298,0.15022220526807684,0.7733320241543522,0.513945179326333,0.2515751395465834,0.6304365676519761,15752,89106,4617,94219,203694,20369,104858,1,42,1.0,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,0.6292993047932675,0.19297274865126574,0.8507394419881079,0.6046956786881913,0.3145877378435518,0.7172436575249809,5580,23336,979,35697,65592,6559,28916,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,0.62152051606822,0.17922618441737637,0.7779959742746331,0.6041347333969725,0.29133727984704194,0.685575955312264,15847,72572,4522,110753,203694,20369,88419,1,42,1.5,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.706747774118795,0.23291192583227982,0.8426589419118768,0.6916470448732065,0.364950972300175,0.763428167550381,5527,18203,1032,40830,65592,6559,23730,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.6677319901420758,0.19941550190597204,0.7704845598703913,0.6563152870585026,0.3168296843614047,0.7111123645989289,15694,63006,4675,120319,203694,20369,78700,1,42,2.0,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,0.7527442371020856,0.265706107796051,0.8350358286324134,0.7436010367082818,0.4031355807448844,0.7879933425223983,5477,15136,1082,43897,65592,6559,20613,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,0.7119748249825719,0.2238405629903092,0.7620403554420934,0.7064121096413474,0.3460368062599623,0.7336992129746981,15522,53822,4847,129503,203694,20369,69344,1,42,2.5,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.792230759848762,0.3015329327867932,0.8187223662143619,0.7892873477546457,0.44074195666447796,0.8038701418616949,5370,12439,1189,46594,65592,6559,17809,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.7567822321717871,0.25569047818440666,0.7494722372232314,0.7575944361107323,0.3812972999975023,0.7535223931243072,15266,44439,5103,138886,203694,20369,59705,1,42,3.0,coarse
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,0.770932430784242,0.2809459739184434,0.8277176398841287,0.764623176867176,0.4195031487849168,0.7955451535627651,5429,13895,1130,45138,65592,6559,19324,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,0.7330014629787819,0.23760818253343824,0.7561490500270018,0.7304295649802264,0.3615917361192629,0.7431780551600231,15402,49419,4967,133906,203694,20369,64821,1,42,2.75,refine
