detector,threshold,mean_weighted_f1,median_weighted_f1,mean_weighted_g_mean,median_weighted_g_mean,n_scope_combinations
hybrid_avg,1.0,0.26167593673347617,0.2629966164728572,0.6233573116235434,0.6378971121436835,17
hybrid_avg,1.5,0.30168917636052883,0.3025216213231394,0.6642523821006228,0.6948543786794216,17
hybrid_avg,2.0,0.3315775270224863,0.334968412130764,0.6861586132536315,0.726243473831416,17
hybrid_avg,2.5,0.3569907301191422,0.3617674098517438,0.7000402610405526,0.7387235816417179,17
hybrid_avg,3.0,0.37817074734620915,0.3849554305210923,0.7084493249686301,0.744842785774634,17
hybrid_max,1.0,0.2555219315853381,0.2558194612456336,0.6155519178845923,0.6251042532811321,17
hybrid_max,1.5,0.29432297852177863,0.2937835996095437,0.6576858127276314,0.6847277575995372,17
hybrid_max,2.0,0.3230788130096016,0.3255378231499205,0.6806796031246856,0.7189178084319544,17
hybrid_max,2.5,0.3482914318219498,0.3515722138594414,0.6961187450963147,0.734274283809862,17
hybrid_max,3.0,0.37017495449249443,0.3777449518131777,0.7062350265894332,0.7439927203035464,17
hybrid_weighted,1.0,0.26586106670228826,0.26713437911594307,0.6280519716894848,0.6484239387889472,16
hybrid_weighted,1.5,0.31045625307672364,0.3119922285097064,0.6721071837615534,0.7069816297838085,16
hybrid_weighted,2.0,0.3362113759231793,0.3379392352447048,0.6900494770298979,0.7290837596230315,16
hybrid_weighted,2.5,0.3634359970515038,0.368440908390659,0.7044299577349684,0.7415583672090919,16
hybrid_weighted,3.0,0.3835372808084778,0.39188307976704373,0.7114524444017594,0.7475232783037118,16
modified_mad,1.0,0.2672316174669011,0.2690052696579362,0.6298241367369258,0.6493818883529638,17
modified_mad,1.5,0.31226708692383137,0.3146169234802035,0.6725876518880484,0.7065347276495978,17
modified_mad,2.0,0.3355984875819619,0.3360621452702721,0.6879334571450579,0.7269202252701791,17
modified_mad,2.5,0.3646202589107158,0.3708425548612654,0.7025934161781313,0.7410125531518401,17
modified_mad,3.0,0.3836558598807387,0.3932140513965021,0.7084760167056053,0.7456097360469016,17
modified_sn,1.0,0.2569879277608134,0.2566410443338749,0.6173457820587429,0.6270797283398866,17
modified_sn,1.5,0.2960997460986188,0.2953839266924172,0.6592677408157614,0.686774665538959,17
modified_sn,2.0,0.32866194804831006,0.3302578454189868,0.6847900711744875,0.722777345925296,17
modified_sn,2.5,0.35080700144074145,0.3543608914231838,0.697542650635161,0.7354931568349261,17
modified_sn,3.0,0.3732048631877009,0.3807625123414597,0.7076273043180068,0.7444282046568302,17
