run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.5706783838816847,0.17140718562874252,0.8590568060021436,0.5386401524172422,0.28579069352825814,0.6802370828763041,1603,7749,263,9047,18662,1866,9352,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.540787889213831,0.13869471935774103,0.6896077081899519,0.5242555143545242,0.23094209161624893,0.6012741835136179,2004,12445,902,13714,29065,2906,14449,1,42,1.0,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,0.6543778801843319,0.20463917525773195,0.8510182207931404,0.6325315551321743,0.32993974651984204,0.7336864988836179,1588,6172,278,10624,18662,1866,7760,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,0.6050920350937554,0.15881229103645916,0.6865106675843083,0.596047249512596,0.25795190069821566,0.639681792123774,1995,10567,911,15592,29065,2906,12562,1,42,1.5,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.7126245847176079,0.2363937886325946,0.8403001071811361,0.698440104786854,0.36898458642193205,0.7660935288279085,1568,5065,298,11731,18662,1866,6633,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.6587304317908137,0.1799762708770649,0.678596008258775,0.6565235674146566,0.28449830484022215,0.6674685551959708,1972,8985,934,17174,29065,2906,10957,1,42,2.0,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,0.7455792519558461,0.2582214765100671,0.8247588424437299,0.7367825672779234,0.3933043700485561,0.7795305878032366,1539,4421,327,12375,18662,1866,5960,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,0.6997075520385343,0.1995872033023736,0.6655196145905025,0.7035054856837035,0.30708161321054306,0.6842490041604172,1934,7756,972,18403,29065,2906,9690,1,42,2.5,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.7751044904083164,0.2817824377457405,0.8065380493033226,0.7716122886401524,0.4176495074233384,0.7888819113772991,1505,3836,361,12960,18662,1866,5341,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.7429898503354551,0.22709878019612534,0.6534755677907778,0.752933980656753,0.3370607028753994,0.7014441962969272,1899,6463,1007,19696,29065,2906,8362,1,42,3.0,coarse
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,0.7602614939449148,0.2695298692117356,0.8172561629153269,0.7539295070254822,0.4053694843168528,0.7849544802218085,1525,4133,341,12663,18662,1866,5658,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,0.7206605883364872,0.21182974018794914,0.6593255333792154,0.7274742918307274,0.3206426240481968,0.6925621816710478,1916,7129,990,19030,29065,2906,9045,1,42,2.75,refine
