run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,price_change_threshold,stage
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,0.5643553745579252,0.18629807692307693,0.9967845659163987,0.5163134079542748,0.3139240506329114,0.7173933622668377,1860,8124,6,8672,18662,1866,9984,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,0.5077584723894719,0.15719526129051656,0.899518238128011,0.46423792958446425,0.26762221653442536,0.6462124143747262,2614,14015,292,12144,29065,2906,16629,1,42,0.1,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,0.6257635837530812,0.21006118286879674,0.9935691318327974,0.5849011669445106,0.34680134680134683,0.7623252223618522,1854,6972,12,9824,18662,1866,8826,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,0.5872011009805608,0.1821868008948546,0.8967653131452168,0.5528116518215528,0.3028471818710053,0.7040897059722429,2606,11698,300,14461,29065,2906,14304,1,42,0.15,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,0.66997106419462,0.23118346900438322,0.9892818863879957,0.6344963086449155,0.3747842858593036,0.792272494235703,1846,6139,20,10657,18662,1866,7985,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,0.6435575434371237,0.20528230270441247,0.8933241569167241,0.6158110019496158,0.3338477366255144,0.7416999690822993,2596,10050,310,16109,29065,2906,12646,1,42,0.2,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,0.7209302325581395,0.2621013667425968,0.9866023579849946,0.6914146225291736,0.4141732283464567,0.8259245104321506,1841,5183,25,11613,18662,1866,7024,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,0.698021675554791,0.23412734353772302,0.8895388850653819,0.6767460529836767,0.37068903706890366,0.7758813887724706,2585,8456,321,17703,29065,2906,11041,1,42,0.25,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,0.7654056371235666,0.2966321243523316,0.9817792068595927,0.741366992140986,0.4556080576970903,0.8531463517685925,1832,4344,34,12452,18662,1866,6176,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,0.7356270428350249,0.2597062965198149,0.8885065381968341,0.7186436790397186,0.40193026151930256,0.7990742189938411,2582,7360,324,18799,29065,2906,9942,1,42,0.3,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,0.8327617618690387,0.3714929346713086,0.9721329046087889,0.817277923315075,0.5375611201659505,0.8913488438680576,1814,3069,52,13727,18662,1866,4883,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,0.7898503354550146,0.30701542912246865,0.8764624913971094,0.7802286020107803,0.45474022495982863,0.826946857045634,2547,5749,359,20410,29065,2906,8296,1,42,0.4,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,0.8682349158718251,0.4281560455536709,0.9469453376205788,0.859490354846392,0.5896879692975138,0.9021587356178777,1767,2360,99,14436,18662,1866,4127,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,0.8152416996387407,0.3348968105065666,0.8599449415003441,0.8102756221568103,0.4820601851851851,0.8347409313642126,2499,4963,407,21196,29065,2906,7462,1,42,0.5,coarse
threshold__price_change_threshold_0p450__attempt_01,threshold__price_change_threshold_0p450,new_prices,threshold,0.8525345622119815,0.40098345999105944,0.9614147909967846,0.8404381995713265,0.5659305993690852,0.8988936066001253,1794,2680,72,14116,18662,1866,4474,1,42,0.45,refine
threshold__price_change_threshold_0p450__attempt_01,threshold__price_change_threshold_0p450,new_products,threshold,0.8066402890073973,0.3254437869822485,0.8706125258086718,0.7995336213157995,0.4737827715355805,0.834316478036184,2530,5244,376,20915,29065,2906,7774,1,42,0.45,refine
threshold__price_change_threshold_0p475__attempt_01,threshold__price_change_threshold_0p475,new_prices,threshold,0.8605187011038474,0.4144018583042973,0.9560557341907824,0.8499047392236246,0.5781883001134338,0.9014190476413664,1784,2521,82,14275,18662,1866,4305,1,42,0.475,refine
threshold__price_change_threshold_0p475__attempt_01,threshold__price_change_threshold_0p475,new_products,threshold,0.8104593153277138,0.3294456820862272,0.8651066758430833,0.8043885469628044,0.47717566669830125,0.8341953619801776,2514,5117,392,21042,29065,2906,7631,1,42,0.475,refine
