run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.866221875,0.42636620025341637,0.9779375,0.8538090277777778,0.5938309439547615,0.913767949811346,31294,42103,706,245897,320000,32000,73397,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.8931480959668217,0.4395562146427198,0.24918267584145468,0.9646989429402211,0.3180589778237024,0.49029201908991654,16006,20408,48228,557705,642347,64234,36414,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.873653125,0.44029797901117423,0.97153125,0.8627777777777778,0.6059702365289594,0.91554113665999,31089,39520,911,248480,320000,32000,70609,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.8977484132408184,0.4776580304480746,0.24080704922626647,0.9707410142999725,0.32019209869898674,0.4834886546926301,15468,16915,48766,561198,642347,64234,32383,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8783375,0.4495649137103111,0.96546875,0.86865625,0.613470741248188,0.9157840705467569,30895,37827,1105,250173,320000,32000,68722,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.9021556884363124,0.5244817094742801,0.2307967742939876,0.976750220112677,0.32054054054054054,0.47479553503897676,14825,13441,49409,564672,642347,64234,28266,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.880390625,0.453625009238046,0.9590625,0.8716493055555555,0.6159249410466109,0.9143118516728168,30690,36965,1310,251035,320000,32000,67655,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.9036237423075066,0.544457605746819,0.2218295606688047,0.9793777341108053,0.31522592776948183,0.4661061386493524,14249,11922,49985,566191,642347,64234,26171,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.88313125,0.4593744355469926,0.95371875,0.8752881944444444,0.6200780202364987,0.9136622804380798,30519,35917,1481,252083,320000,32000,66436,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.9052319073647109,0.5693584344810503,0.21469938039044742,0.9819568146711802,0.31181604413493713,0.45915740185701004,13791,10431,50443,567682,642347,64234,24222,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,0.86895,0.43130910900945746,0.9748125,0.8571875,0.5980215482535178,0.9141099987658761,31194,41130,806,246870,320000,32000,72324,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,0.8952544341298395,0.45591254807831344,0.2454307687517514,0.9674561893609035,0.31908756944936395,0.4872817627292104,15765,18814,48469,559299,642347,64234,34579,1,42,1.25,refine
