run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,decimal_shift,2462,2159,0.8769293257514216,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,price_drop,2435,2132,0.875564681724846,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,price_spike,2487,2165,0.8705267390430237,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,decimal_shift,4901,3505,0.7151601713935931,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,price_drop,4783,3388,0.7083420447417939,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,price_spike,4857,3450,0.7103150092649784,1,42,1.0,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,decimal_shift,2462,2158,0.8765231519090171,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,price_drop,2435,2113,0.8677618069815195,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,price_spike,2487,2154,0.8661037394451147,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,decimal_shift,4901,3528,0.7198530912058764,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,price_drop,4783,3352,0.7008153878319047,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,price_spike,4857,3469,0.7142268890261478,1,42,1.5,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,decimal_shift,2462,2148,0.8724614134849715,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,price_drop,2435,2056,0.84435318275154,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,price_spike,2487,2144,0.8620828307197427,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,decimal_shift,4901,3499,0.7139359314425627,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,price_drop,4783,3235,0.6763537528747648,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,price_spike,4857,3460,0.7123738933498044,1,42,2.0,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,decimal_shift,2462,2128,0.8643379366368806,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,price_drop,2435,1992,0.8180698151950718,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,price_spike,2487,2131,0.8568556493767592,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,decimal_shift,4901,3469,0.7078147316874107,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,price_drop,4783,3106,0.6493832322809951,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,price_spike,4857,3440,0.7082561251801524,1,42,2.5,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,decimal_shift,2462,2115,0.8590576766856215,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,price_drop,2435,1899,0.7798767967145791,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,price_spike,2487,2116,0.8508242862887012,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,decimal_shift,4901,3443,0.7025096918996123,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,price_drop,4783,2992,0.6255488187330127,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,price_spike,4857,3423,0.7047560222359481,1,42,3.0,coarse
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,decimal_shift,2462,2125,0.8631194151096669,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,price_drop,2435,1944,0.7983572895277208,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,price_spike,2487,2121,0.8528347406513872,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,decimal_shift,4901,3455,0.7049581718016731,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,price_drop,4783,3038,0.6351662136734267,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,price_spike,4857,3429,0.7059913526868438,1,42,2.75,refine
