run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.5253236552732788,0.1590931493346476,0.8743228602383532,0.4865482997291604,0.26920190142606953,0.6522271851612037,6456,34124,928,32336,73844,7384,40580,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.5747825189973524,0.1521521668775192,0.7112990853448868,0.5596145911334566,0.25068166119317975,0.6309146906031595,10343,57635,4198,73239,145415,14541,67978,1,42,1.0,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,0.6243702941335789,0.19350078303818816,0.870124593716143,0.5970659043033404,0.31659603823790283,0.720778556426109,6425,26779,959,39681,73844,7384,33204,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,0.648316886153423,0.18062027680332304,0.7117117117117117,0.641273285755765,0.28812049333221973,0.6755750941828963,10349,46948,4192,83926,145415,14541,57297,1,42,1.5,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.6946942202480906,0.22787809168252146,0.8596966413867823,0.676361721336142,0.36026219460287734,0.7625391138789301,6348,21509,1036,44951,73844,7384,27857,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.6913523364164632,0.20095014685879872,0.7010521972354034,0.6902746152788178,0.312364026352076,0.6956425344507321,10194,40535,4347,90339,145415,14541,50729,1,42,2.0,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,0.7422133145550078,0.2587977146642378,0.8465601300108342,0.730619921757448,0.39641067918067086,0.7864564170705779,6251,17903,1133,48557,73844,7384,24154,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,0.7308186913317058,0.22439057178705862,0.6887421772917957,0.7354936809450311,0.3384989775742315,0.711734163293036,10015,34617,4526,96257,145415,14541,44632,1,42,2.5,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.7769487026704945,0.28715978826064553,0.8301733477789816,0.7710352091483599,0.4267167867460235,0.8000580484153391,6130,15217,1254,51243,73844,7384,21347,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.7619640339717361,0.24775691774108421,0.6779451206932123,0.7712991121231108,0.36289342904472666,0.723117189436726,9858,29931,4683,100943,145415,14541,39789,1,42,3.0,coarse
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,0.7629462109311521,0.2750988844940225,0.8382990249187432,0.7545741799578694,0.41425464279738994,0.7953356519655975,6190,16311,1194,50149,73844,7384,22501,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,0.7503490011346835,0.23847521992020382,0.6823464686060106,0.7579045494139401,0.35342939070653817,0.719133849038572,9922,31684,4619,99190,145415,14541,41606,1,42,2.75,refine
