run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.5049171196435088,0.1505529789511238,0.8511333077218594,0.46645111722901594,0.255849873691808,0.6300889479253616,8862,50001,1550,43713,104126,10412,58863,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.531930521766082,0.14333204420344114,0.7395974864130435,0.5088571765538389,0.24012792853647272,0.6134732991112632,17419,104110,6133,107865,235527,23552,121529,1,42,1.0,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,0.5986209015999846,0.1795924201584579,0.8446984248943527,0.571280705124101,0.29620773272261886,0.6946653235845757,8795,40177,1617,53537,104126,10412,48972,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,0.6102018027657127,0.16806722689075632,0.7336956521739131,0.5964807170656917,0.2734869587237275,0.6615401036344478,17280,85536,6272,126439,235527,23552,102816,1,42,1.5,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.6635998693890095,0.2070360849281158,0.8353822512485594,0.6445141601041466,0.33183274835952997,0.7337681445997615,8698,33314,1714,60400,104126,10412,42012,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.6524092779171815,0.18497109826589594,0.7269021739130435,0.6441325628022172,0.2949003936024529,0.6842670240404046,17120,75435,6432,136540,235527,23552,92555,1,42,2.0,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,0.7081228511610933,0.2306696861857004,0.8217441413753361,0.6954990716435111,0.3602222970697204,0.7559909308021099,8556,28536,1856,65178,104126,10412,37092,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,0.6899845877542702,0.20286651368982545,0.7169667119565217,0.6869866729567166,0.31624980100946726,0.701816625670643,16886,66351,6666,145624,235527,23552,83237,1,42,2.5,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.7416879549776233,0.25215744053883393,0.8054168267383788,0.7346074225836055,0.3840710801712886,0.7691977503839613,8386,24871,2026,68843,104126,10412,33257,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.7197773503674738,0.21954861386400276,0.705460258152174,0.7213680858591816,0.3348785649501159,0.7133698312046549,16615,59063,6937,152912,235527,23552,75678,1,42,3.0,coarse
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,0.725870579874383,0.24156214367160775,0.8138686131386861,0.7160936466269714,0.37254901960784315,0.7634174107640705,8474,26606,1938,67108,104126,10412,35080,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,0.7049213041392282,0.2107959766859272,0.7109799592391305,0.7042481424696309,0.3251803590674732,0.7076060454993948,16745,62692,6807,149283,235527,23552,79437,1,42,2.75,refine
