run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,decimal_shift,3510,2997,0.8538461538461538,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,price_drop,3441,2941,0.8546934030804999,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,price_spike,3461,2922,0.8442646633920832,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,decimal_shift,7877,5852,0.7429224323981211,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,price_drop,7847,5776,0.7360774818401937,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,price_spike,7828,5788,0.7393970362800204,1,42,1.0,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,decimal_shift,3510,2991,0.8521367521367521,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,price_drop,3441,2899,0.8424876489392619,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,price_spike,3461,2903,0.8387749205431956,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,decimal_shift,7877,5830,0.7401294909229402,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,price_drop,7847,5676,0.7233337581241238,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,price_spike,7828,5771,0.7372253449156873,1,42,1.5,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,decimal_shift,3510,2973,0.847008547008547,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,price_drop,3441,2831,0.8227259517582098,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,price_spike,3461,2888,0.8344409130309159,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,decimal_shift,7877,5808,0.7373365494477593,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,price_drop,7847,5545,0.7066394800560724,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,price_spike,7828,5762,0.7360756259580992,1,42,2.0,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,decimal_shift,3510,2950,0.8404558404558404,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,price_drop,3441,2738,0.7956989247311828,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,price_spike,3461,2866,0.8280843686795724,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,decimal_shift,7877,5758,0.7309889551859845,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,price_drop,7847,5361,0.6831910284185039,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,price_spike,7828,5734,0.7324987225344916,1,42,2.5,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,decimal_shift,3510,2926,0.8336182336182336,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,price_drop,3441,2599,0.7553036907875618,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,price_spike,3461,2849,0.8231724934989887,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,decimal_shift,7877,5709,0.7247683128094452,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,price_drop,7847,5152,0.656556645851918,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,price_spike,7828,5712,0.7296882984159427,1,42,3.0,coarse
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,decimal_shift,3510,2938,0.837037037037037,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,price_drop,3441,2675,0.7773902935193258,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,price_spike,3461,2856,0.8251950303380526,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,decimal_shift,7877,5731,0.7275612542846261,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,price_drop,7847,5265,0.6709570536510768,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,price_spike,7828,5719,0.7305825242718447,1,42,2.75,refine
