run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,price_change_threshold,stage
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,0.981846875,0.8472410044281813,0.9985,0.9799965277777778,0.9166726435528525,0.9892050004857997,31952,5761,48,282239,320000,32000,37713,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,0.7982690852724622,0.3183944395032447,0.8918158331795534,0.7878752152874601,0.46925597766719257,0.8382359999207301,38662,82766,4690,307410,433528,43352,121428,1,42,0.1,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,0.984540625,0.8873013600572656,0.96840625,0.9863333333333333,0.926081434441539,0.9773286881000339,30989,3936,1011,284064,320000,32000,34925,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,0.8361213116569172,0.36559703375846875,0.868841114596789,0.8324858525383416,0.5146401781688505,0.8504692445970465,37666,65360,5686,324816,433528,43352,103026,1,42,0.15,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,0.98396875,0.9069978794304756,0.935625,0.9893402777777778,0.921089063221043,0.9621078408348169,29940,3070,2060,284930,320000,32000,33010,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,0.8564936982155709,0.3974891304347826,0.8435366303746079,0.8579333429016649,0.5403540398368697,0.8507045322303705,36569,55431,6783,334745,433528,43352,92000,1,42,0.2,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,0.983078125,0.924477087657672,0.9046875,0.9917881944444444,0.9144752428334518,0.9472372364732387,28950,2365,3050,285635,320000,32000,31315,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,0.8722112527910538,0.42746887567125,0.8189472227348219,0.8781293570081194,0.5617296647311045,0.8480221684152569,35503,47551,7849,342625,433528,43352,83054,1,42,0.25,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,0.9818125,0.9388199798860208,0.87515625,0.9936631944444444,0.905870936438622,0.9325291175148478,28005,1825,3995,286175,320000,32000,29830,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,0.8832970419442343,0.4524078649913254,0.7939887433105739,0.8932199827770032,0.5763923775076192,0.8421440563377535,34421,41663,8931,348513,433528,43352,76084,1,42,0.3,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,0.977196875,0.9552876995097497,0.809875,0.9957881944444444,0.876591858478919,0.898033386893658,25916,1213,6084,286787,320000,32000,27129,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,0.8931164769057592,0.47777132389080024,0.7399658608599372,0.9101328631181825,0.5806416579935744,0.8206505026831856,32079,35064,11273,355112,433528,43352,67143,1,42,0.4,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,0.97286875,0.9720242914979758,0.75028125,0.9976006944444444,0.8468783068783069,0.8651480197218542,24009,691,7991,287309,320000,32000,24700,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,0.8948003358491262,0.4818487692580131,0.6904179737959033,0.9175090215697531,0.5675790990717652,0.7959049689577586,29931,32186,13421,357990,433528,43352,62117,1,42,0.5,coarse
threshold__price_change_threshold_0p125__attempt_01,threshold__price_change_threshold_0p125,new_prices,threshold,0.983503125,0.869125569830087,0.9830625,0.9835520833333333,0.9225896326710169,0.9833072611965574,31458,4737,542,283263,320000,32000,36195,1,42,0.125,refine
threshold__price_change_threshold_0p125__attempt_01,threshold__price_change_threshold_0p125,new_products,threshold,0.8203184108062225,0.34422769946700577,0.8804438088208156,0.8136379480029525,0.4949460239245308,0.8463820023729665,38169,72714,5183,317462,433528,43352,110883,1,42,0.125,refine
