run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_prices,hybrid_weighted,0.5423879075334116,0.15881842978876368,0.8324282389449186,0.5101643785015083,0.26674479721571137,0.6516711096622586,7511,39782,1512,41433,90238,9023,47293,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p300__attempt_01,hybrid_weighted__threshold_1p000__w_0p300,new_products,hybrid_weighted,0.5557955617467357,0.1500322707877658,0.7378328337153941,0.535569792615668,0.24935935637663886,0.6286183084654664,16737,94819,5947,109343,226846,22684,111556,1,42,1.0,0.3,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_prices,hybrid_weighted,0.545579467630045,0.1597770355083718,0.8323174110606228,0.5137228344517638,0.26808981544283006,0.6538963676100495,7510,39493,1513,41722,90238,9023,47003,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p400__attempt_01,hybrid_weighted__threshold_1p000__w_0p400,new_products,hybrid_weighted,0.5560468335346447,0.15009014018817324,0.7377005819079527,0.535863676884043,0.249431720786722,0.6287344004114087,16734,94759,5950,109403,226846,22684,111493,1,42,1.0,0.4,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_prices,hybrid_weighted,0.5490702364857377,0.16084050893201388,0.8322065831763271,0.5176137413039463,0.26957942163743737,0.6563242819336128,7509,39177,1514,42038,90238,9023,46686,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p500__attempt_01,hybrid_weighted__threshold_1p000__w_0p500,new_products,hybrid_weighted,0.5565581936644243,0.1502527406423114,0.7377446658437665,0.5364269550650954,0.2496587425314964,0.6290835594053369,16735,94644,5949,109518,226846,22684,111379,1,42,1.0,0.5,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_prices,hybrid_weighted,0.5531483410536581,0.1620892170833873,0.8319849274077358,0.5221695499599828,0.271319370403166,0.6591184985402749,7507,38807,1516,42408,90238,9023,46314,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p600__attempt_01,hybrid_weighted__threshold_1p000__w_0p600,new_products,hybrid_weighted,0.5567124833587545,0.15029997126023853,0.7377446658437665,0.5365983875549808,0.2497239382815531,0.6291840733196075,16735,94609,5949,109553,226846,22684,111344,1,42,1.0,0.6,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_prices,hybrid_weighted,0.5572153638156874,0.1633399360048758,0.8316524437548487,0.5267253586160192,0.27305145185939883,0.6618552951217218,7504,38437,1519,42778,90238,9023,45941,1,42,1.0,0.7,coarse
hybrid_weighted__threshold_1p000__w_0p700__attempt_01,hybrid_weighted__threshold_1p000__w_0p700,new_products,hybrid_weighted,0.5569461220387399,0.15037154846303835,0.7377446658437665,0.5368579853253789,0.2498227281209181,0.6293362495434609,16735,94556,5949,109606,226846,22684,111291,1,42,1.0,0.7,coarse
