run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.8152046095954845,0.3399178781489291,0.9006174654513378,0.8057161522129676,0.4935546245568805,0.8518462530757808,3063,5948,338,24667,34016,3401,9011,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.7443876387155643,0.23877100509077803,0.7112184648416533,0.7480729376332543,0.35751627373604505,0.7294129737625381,5300,16897,2152,50174,74523,7452,22197,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.8386935559736595,0.36906854130052724,0.8644516318729786,0.8358321084435734,0.5172868830826076,0.850021429209805,2940,5026,461,25589,34016,3401,7966,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.7714933644646619,0.2599147656054149,0.6956521739130435,0.7799197864949083,0.3784355951381538,0.7365818996913919,5184,14761,2268,52310,74523,7452,19945,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8581843838193791,0.3989203011791448,0.8256395177888857,0.8617997713539115,0.5379310344827587,0.8435259021815604,2808,4231,593,26384,34016,3401,7039,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.7998336084161937,0.2872128156889573,0.6760601180891036,0.8135856033158891,0.403152882807186,0.741641948013551,5038,12503,2414,54568,74523,7452,17541,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.8673565380997178,0.41431436063550825,0.7897677153778301,0.8759758288420709,0.5435046539862404,0.8317556306216408,2686,3797,715,26818,34016,3401,6483,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.81243374528669,0.29984051036682613,0.6559312936124531,0.8298221287888954,0.41155173865454237,0.7377711721155413,4888,11414,2564,55657,74523,7452,16302,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.8777340075258702,0.43600135089496794,0.7591884739782417,0.8909031520496489,0.5538989595623727,0.8224131592253242,2582,3340,819,27275,34016,3401,5922,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.8251680689183205,0.3146806672426397,0.6353998926462695,0.8462524787165839,0.4209075958931508,0.7332862566066248,4735,10312,2717,56759,74523,7452,15047,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,0.8269931796801505,0.3535377358490566,0.8815054395765951,0.8209374489629266,0.5046713239626295,0.8506825652456699,2998,5482,403,25133,34016,3401,8480,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,0.75521651033909,0.24659464537341474,0.7045088566827697,0.7608504420688524,0.36531904529956166,0.7321378798071488,5250,16040,2202,51031,74523,7452,21290,1,42,1.25,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,0.8448965192850423,0.3766934104958569,0.8421052631578947,0.8452065980728402,0.5205379861868412,0.8436545055251693,2864,4739,537,25876,34016,3401,7603,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,0.780363109375629,0.2670846394984326,0.6859903381642513,0.7908485038243056,0.38447653429602885,0.7365557905380471,5112,14028,2340,53043,74523,7452,19140,1,42,1.75,refine
