run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.6091839134524929,0.17948551804574614,0.8144663334313437,0.5863792258696717,0.2941488796856748,0.6910760725812906,2770,12663,631,17952,34016,3401,15433,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.5466768648605128,0.1465352914328671,0.7324208266237252,0.526039570007902,0.2442112798944048,0.6207111540015827,5458,31789,1994,35282,74523,7452,37247,1,42,1.0,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_prices,modified_mad,0.6922330667920978,0.21894385239382855,0.8094678035871803,0.6792095378082639,0.34466353677621286,0.7414838182624887,2753,9821,648,20794,34016,3401,12574,1,42,1.5,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_products,modified_mad,0.6244112555855239,0.17379288437102922,0.7341653247450349,0.6122169044743629,0.2810541456899209,0.6704240616861993,5471,26009,1981,41062,74523,7452,31480,1,42,1.5,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.7249235653809972,0.2388635566467906,0.800940899735372,0.716478850236812,0.36798378926038505,0.757533639484107,2724,8680,677,21935,34016,3401,11404,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.6531943158487984,0.18551448209827992,0.7279924852388621,0.6448837798750577,0.2956806104373893,0.6851792069243451,5425,23818,2027,43253,74523,7452,29243,1,42,2.0,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_prices,modified_mad,0.7613769990592663,0.26607142857142857,0.7885915907086151,0.7583537481626653,0.3978933313552407,0.773324891997818,2682,7398,719,23217,34016,3401,10080,1,42,2.5,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_products,modified_mad,0.6959059619177972,0.2071621101270697,0.7219538378958669,0.6930118829300294,0.32194362994434805,0.7073348489851011,5380,20590,2072,46481,74523,7452,25970,1,42,2.5,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.7868062088428974,0.2885692324585484,0.7727139076742134,0.7883717132124776,0.42021106491845217,0.78050354721566,2628,6479,773,24136,34016,3401,9107,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.7254807240717631,0.22465915826911678,0.7120236178207193,0.7269758912197523,0.34155133569359514,0.719460912165998,5306,18312,2146,48759,74523,7452,23618,1,42,3.0,coarse
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_prices,modified_mad,0.7808972248353716,0.283778014941302,0.7818288738606293,0.7807937285644292,0.4164121838540443,0.7813111297818364,2659,6711,742,23904,34016,3401,9370,1,42,2.75,refine
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_products,modified_mad,0.718261476322746,0.22060401023186732,0.7175254965110037,0.718343248199669,0.3374566109182707,0.7179342559244507,5347,18891,2105,48180,74523,7452,24238,1,42,2.75,refine
