run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.7531825727638536,0.14824261813151182,0.30937182812676217,0.8024946305545879,0.20043986877004802,0.498266224940627,13716,78808,30619,320209,443352,44335,92524,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.7166232215657656,0.16220076781891685,0.4402651342135733,0.7473293857852863,0.23706351703034295,0.5736053280213725,41447,214082,52694,633195,941418,94141,255529,1,42,1.0,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_prices,modified_mad,0.7902727403958931,0.1790097389743725,0.3059659411300327,0.8440843372588135,0.22587063848209604,0.5081939183446736,13565,62213,30770,336804,443352,44335,75778,1,42,1.5,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_products,modified_mad,0.7639146479034817,0.1939494128101977,0.4312042574436218,0.80088212001506,0.26755601546254154,0.5876595782091597,40594,168708,53547,678569,941418,94141,209302,1,42,1.5,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.8085381367401072,0.1988443942724734,0.3019510544716364,0.8648253081948889,0.2397836269355807,0.511013614048789,13387,53937,30948,345080,443352,44335,67324,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.7831568973612146,0.20942322627683238,0.4210598995124335,0.823389517241705,0.2797211186304328,0.5888092283493724,39639,149638,54502,697639,941418,94141,189277,1,42,2.0,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_prices,modified_mad,0.8270132986881755,0.2242992246741075,0.29689861283410396,0.8859146352160434,0.2555426130848379,0.5128614104074067,13163,45522,31172,353495,443352,44335,58685,1,42,2.5,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_products,modified_mad,0.8074181713117871,0.23545052236676764,0.411999022742482,0.8513532174247619,0.2996538830000927,0.5922471558291097,38786,125945,55355,721332,941418,94141,164731,1,42,2.5,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.8387985167541818,0.24410577539703496,0.2919138378256457,0.8995631765062642,0.26587778496810577,0.5124401811144128,12942,40076,31393,358941,443352,44335,53018,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.8222925416764922,0.2540644120217844,0.4013872807809562,0.8690593513101382,0.31116930386913216,0.5906177866096127,37787,110943,56354,736334,941418,94141,148730,1,42,3.0,coarse
modified_mad__threshold_2p250__attempt_01,modified_mad__threshold_2p250,new_prices,modified_mad,0.8207225861166748,0.21522556390977443,0.2995827224540431,0.8786267251771228,0.2504927060642923,0.5130510562794338,13282,48430,31053,350587,443352,44335,61712,1,42,2.25,refine
modified_mad__threshold_2p250__attempt_01,modified_mad__threshold_2p250,new_products,modified_mad,0.7999751438787022,0.22724165498383714,0.41667286304585677,0.8425638840662499,0.29409317023980447,0.5925145617391371,39226,133392,54915,713885,941418,94141,172618,1,42,2.25,refine
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_prices,modified_mad,0.8349280030314513,0.23745995923121724,0.29428216984323896,0.8949994611758396,0.2628350406430363,0.513207933924794,13047,41897,31288,357120,443352,44335,54944,1,42,2.75,refine
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_products,modified_mad,0.8182157128926789,0.24929014275294362,0.4066134840292752,0.8639488620604596,0.3090842292676822,0.5926999720141137,38279,115273,55862,732004,941418,94141,153552,1,42,2.75,refine
