run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate,attempt_index,attempt_seed,price_change_threshold,stage
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,decimal_shift,12423,12423,1.0,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,list_price_violation,12449,12373,0.993895091975259,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,price_drop,12512,12494,0.9985613810741688,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,price_spike,12413,12373,0.9967775719004269,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,decimal_shift,20394,18664,0.9151711287633618,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,list_price_violation,20392,17491,0.857738328756375,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,price_drop,20412,18776,0.9198510679992161,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,price_spike,20371,18742,0.9200333807864121,1,42,0.1,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,decimal_shift,12423,12423,1.0,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,list_price_violation,12449,10879,0.873885452646799,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,price_drop,12512,12482,0.9976023017902813,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,price_spike,12413,12363,0.9959719648755337,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,decimal_shift,20394,18646,0.9142885162302637,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,list_price_violation,20392,15556,0.7628481757551981,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,price_drop,20412,18732,0.9176954732510288,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,price_spike,20371,18665,0.9162534976191645,1,42,0.15,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,decimal_shift,12423,12423,1.0,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,list_price_violation,12449,9300,0.7470479556590891,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,price_drop,12512,12470,0.9966432225063938,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,price_spike,12413,12352,0.9950857971481512,1,42,0.2,coarse
