run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.691977098892512,0.1982650108709275,0.6834532374100719,0.6929241827528129,0.30736545105890506,0.6881724173360468,36385,147132,16852,332007,532376,53237,183517,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.6197503554114207,0.15560710038190775,0.6331339605061465,0.6182633030770567,0.24981618083062546,0.6256544523239557,63195,342924,36618,555402,998139,99813,406119,1,42,1.0,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,0.7622638886801809,0.248418351242675,0.6800345624283862,0.7714003660733106,0.3639022772162777,0.7242781995889154,36203,109531,17034,369608,532376,53237,145734,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,0.6951777257476163,0.19049075296425932,0.6303086772264134,0.7023853255944946,0.2925634938534834,0.6653717498351651,62913,267355,36900,630971,998139,99813,330268,1,42,1.5,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.80642065006687,0.2953836044028257,0.6754700678099818,0.8209705325594452,0.41102544905901917,0.7446751112384012,35960,85780,17277,393359,532376,53237,121740,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.736249159686176,0.2161382985005158,0.6234258062577019,0.748784962252011,0.3209908385605811,0.6832363198817836,62226,225673,37587,672653,998139,99813,287899,1,42,2.0,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,0.8337096337926578,0.33427251211540626,0.6685575821327272,0.8520596319648369,0.4456994734304659,0.7547522291317282,35592,70884,17645,408255,532376,53237,106476,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,0.7727110151992859,0.24577705744642536,0.6153106308797451,0.7901997715751298,0.3512516514249438,0.6972935679962375,61416,188469,38397,709857,998139,99813,249885,1,42,2.5,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.8533724285091739,0.36968207971105793,0.6613821214568815,0.8747044177159446,0.47426943514658443,0.7606009883221805,35210,60034,18027,419105,532376,53237,95244,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.8000098182718038,0.273938037663026,0.6058429262721289,0.8215837012398617,0.3772835038682306,0.7055144745054096,60471,160276,39342,738050,998139,99813,220747,1,42,3.0,coarse
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,0.8454363081731708,0.354555741365671,0.6650825553656292,0.8654753630992259,0.4625342913128674,0.7586913510091102,35407,64456,17830,414683,532376,53237,99863,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,0.7909970455016786,0.2642438320426091,0.6108823499944896,0.8110095889465517,0.36891112711079915,0.7038689107807892,60974,169775,38839,728551,998139,99813,230749,1,42,2.75,refine
