run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.6832332787353299,0.19346133004664406,0.6840355391926668,0.6831441398007676,0.30161799967697983,0.6835896941988876,36416,151818,16821,327321,532376,53237,188234,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.6208934827714376,0.15604381494212002,0.633123941771112,0.6195345564973073,0.25037788065904765,0.6262923921564055,63194,341782,36619,556544,998139,99813,404976,1,42,1.0,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,0.7535031631779043,0.2409454468152951,0.6812930856359299,0.7615264046550166,0.355991343138554,0.7202934638191937,36270,114262,16967,364877,532376,53237,150532,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,0.6905591305419385,0.18792619573654984,0.6306192580124833,0.6972190496545797,0.2895621191803162,0.6630835239736694,62944,271996,36869,626330,998139,99813,334940,1,42,1.5,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.8007404541151367,0.2885732575818196,0.6774048124424742,0.8144442426936651,0.4047315762007104,0.7427707920124182,36063,88907,17174,390232,532376,53237,124970,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.7378090626656207,0.21762124372937408,0.6249887289230862,0.7503445297141572,0.3228322211210789,0.684804259537309,62382,224272,37431,674054,998139,99813,286654,1,42,2.0,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,0.8252926503073016,0.321387833553382,0.6721453124706501,0.8423088080911802,0.4348507680342213,0.7524320015863408,35783,75556,17454,403583,532376,53237,111339,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,0.7677768326856279,0.2414588851102509,0.6174446214420968,0.7844802443656311,0.3471577162588826,0.6959691857482921,61629,193607,38184,704719,998139,99813,255236,1,42,2.5,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.847053586187206,0.3577312094966992,0.6656836410766948,0.8672055499552322,0.46537494336946744,0.7597924374828408,35439,63627,17798,415512,532376,53237,99066,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.7968228873934392,0.27071013821601597,0.6090889964233116,0.8176819996304237,0.3748277530989029,0.7057202764185689,60795,163781,39018,734545,998139,99813,224576,1,42,3.0,coarse
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,0.8355523164079522,0.3374179057800017,0.6687829892743768,0.8540820096047285,0.44853737811484284,0.7557747809161915,35604,69915,17633,409224,532376,53237,105519,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,0.7806297519684132,0.2534178252573458,0.6134070712231874,0.7992098636797778,0.35866133198990086,0.7001721086793555,61226,180375,38587,717951,998139,99813,241601,1,42,2.75,refine
