run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.5368814328080479,0.15938254264792112,0.8496038380460856,0.5021361826537123,0.2684119875990355,0.653159113849301,11688,61645,2069,62174,137576,13757,73333,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.5105647752147799,0.13858638771556003,0.7466817038258003,0.48433031956252126,0.2337821075790636,0.6013656027953691,25821,160496,8760,150742,345819,34581,186317,1,42,1.0,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,0.6206169680758272,0.18873394554848322,0.8470596787090209,0.5954578861079479,0.3086887417218543,0.7102030453971252,11653,50090,2104,73729,137576,13757,61743,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,0.5806418964834206,0.1593913263386441,0.7472600561001707,0.5621293029771429,0.2627399544493249,0.6481178708215425,25841,136282,8740,174956,345819,34581,162123,1,42,1.5,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.6801622375995813,0.2169926078413025,0.8428436432361707,0.6620874017719413,0.34513037266341223,0.7470181777240987,11595,41840,2162,81979,137576,13757,53435,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.6204488475184996,0.17311034618011645,0.7402330759665713,0.607139873665812,0.2805998289961195,0.6703916886608898,25598,122273,8983,188965,345819,34581,147871,1,42,2.0,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,0.7195295691108914,0.24057007920088605,0.8368103510939885,0.7064990025763412,0.3737055672780392,0.7688990040268363,11512,36341,2245,87478,137576,13757,47853,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,0.6582952353687912,0.18860319045099952,0.7319915560567942,0.650106992076803,0.2999277225493797,0.68983536349893,25313,108900,9268,202338,345819,34581,134213,1,42,2.5,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.7518825958015933,0.2638045342853169,0.8272152358799156,0.7435127080658057,0.40003515247385535,0.7842480731135846,11380,31758,2377,92061,137576,13757,43138,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.691621917824064,0.20483329237322848,0.7230560134177728,0.6881293415328462,0.31923192319231924,0.7053765366132735,25004,97066,9577,214172,345819,34581,122070,1,42,3.0,coarse
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,0.7359495842298075,0.25183621410036505,0.8324489350875918,0.7252279537066202,0.3866894025088214,0.776991143938481,11452,34022,2305,89797,137576,13757,45474,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,0.6739941992776568,0.19575541472681127,0.727104479338365,0.6680932276907061,0.30846424211940354,0.6969745895436494,25144,103302,9437,207936,345819,34581,128446,1,42,2.75,refine
