run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.7984822934232715,0.32106894873043124,0.9108817329359599,0.7859940719921822,0.47478498086613874,0.8461368934006072,12531,26498,1226,97321,137576,13757,39029,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.735419395695436,0.23316455696202532,0.7190943003383361,0.7372332427274304,0.3521464834207787,0.728107288018218,24867,81783,9714,229455,345819,34581,106650,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.8293670407629238,0.3564888652607951,0.8773715199534782,0.8240334682076257,0.5069830935629529,0.8502843621364918,12070,21788,1687,102031,137576,13757,33858,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.7655507649955613,0.2540258586029583,0.6942829877678494,0.7734691779281451,0.371958635113676,0.7328072678394333,24009,70505,10572,240733,345819,34581,94514,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8528086294121068,0.3906423687135783,0.8429890237697172,0.8538996438349526,0.533882699567259,0.8484267954006026,11597,18090,2160,105729,137576,13757,29687,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.7960146781987109,0.2817609146852128,0.6712934848616292,0.8098721878433868,0.39692228776609384,0.737334336152806,23214,59175,11367,252063,345819,34581,82389,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.8654416467988603,0.4121624117929582,0.8109326161227012,0.8714979122751758,0.5465412502449539,0.8406700196550253,11156,15911,2601,107908,137576,13757,27067,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.8101636983508714,0.2955191659646167,0.649200427980683,0.8280479889987726,0.4061547368135397,0.7331910452580194,22450,53518,12131,257720,345819,34581,75968,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.8768099087050066,0.4354022430057897,0.781711128879843,0.8873759277655288,0.5592885375494072,0.8328695205339126,10754,13945,3003,109874,137576,13757,24699,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.8244515194364682,0.3124596235841337,0.6293918625834997,0.8461241879204981,0.4176020261325045,0.7297559034445925,21765,47892,12816,263346,345819,34581,69657,1,42,3.0,coarse
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,0.8393106355759725,0.3696045974139546,0.8602166169949844,0.8369878613136917,0.5170507919169852,0.8485227554551092,11834,20184,1923,103635,137576,13757,32018,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,0.7754750317362551,0.26156623037228977,0.6830629536450652,0.7857427434953316,0.37827796327880403,0.7326061419187653,23621,66685,10960,244553,345819,34581,90306,1,42,1.75,refine
iqr__multiplier_2p250__attempt_01,iqr__multiplier_2p250,new_prices,iqr,0.8587398964935744,0.4001336945431517,0.8267064040125027,0.8622990009610803,0.5392603129445235,0.844315169985775,11373,17050,2384,106769,137576,13757,28423,1,42,2.25,refine
iqr__multiplier_2p250__attempt_01,iqr__multiplier_2p250,new_products,iqr,0.801725758272391,0.2868254008078882,0.6611723200601486,0.8173423553679178,0.4000874928912026,0.7351218547846559,22864,56850,11717,254388,345819,34581,79714,1,42,2.25,refine
