run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_prices,hybrid_avg,0.6851011248228113,0.17017389448978504,0.554388774072626,0.699624659259152,0.2604122482118468,0.6227873289957495,89327,435589,71800,1014560,1611276,161127,524916,1,42,1.0,coarse
hybrid_avg__threshold_1p000__attempt_01,hybrid_avg__threshold_1p000,new_products,hybrid_avg,0.6340286580316254,0.14943955164131306,0.5669036156257068,0.641486971978004,0.23652859694651346,0.603043351502292,175451,998609,134039,1786810,3094909,309490,1174060,1,42,1.0,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_prices,hybrid_avg,0.74327613642852,0.2065425556640171,0.5515338832101386,0.7645807430822625,0.30053754986159653,0.6493783075063823,88867,341393,72260,1108756,1611276,161127,430260,1,42,1.5,coarse
hybrid_avg__threshold_1p500__attempt_01,hybrid_avg__threshold_1p500,new_products,hybrid_avg,0.6936074695572633,0.17624286486141283,0.5617693624995961,0.7082561007877092,0.26830948910516433,0.6307745859068523,173862,812629,135628,1972790,3094909,309490,986491,1,42,1.5,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_prices,hybrid_avg,0.7802530416886989,0.23876935407877564,0.5472577532008912,0.8061412999629693,0.33247805078530773,0.6642040925650642,88178,281124,72949,1169025,1611276,161127,369302,1,42,2.0,coarse
hybrid_avg__threshold_2p000__attempt_01,hybrid_avg__threshold_2p000,new_products,hybrid_avg,0.7265157069238546,0.19489528840438552,0.5540954473488643,0.7456734516422844,0.2883629579370144,0.6427863290113622,171487,708406,138003,2077013,3094909,309490,879893,1,42,2.0,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_prices,hybrid_avg,0.8046417870060747,0.26595948856522256,0.5418210479931979,0.8338439705161331,0.3567861375618129,0.6721563910042516,87302,240951,73825,1209198,1611276,161127,328253,1,42,2.5,coarse
hybrid_avg__threshold_2p500__attempt_01,hybrid_avg__threshold_2p500,new_products,hybrid_avg,0.75698057681179,0.21638779571704456,0.5456008271672752,0.7804671397732262,0.3098769634780917,0.6525515435865198,168858,611491,140632,2173928,3094909,309490,780349,1,42,2.5,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_prices,hybrid_avg,0.8226151199422073,0.2901953525937642,0.5351865298801567,0.8545514978116042,0.3763316036850673,0.676272467809893,86233,210922,74894,1239227,1611276,161127,297155,1,42,3.0,coarse
hybrid_avg__threshold_3p000__attempt_01,hybrid_avg__threshold_3p000,new_products,hybrid_avg,0.7807576894829541,0.2369244587649076,0.5369478819994185,0.8078475805614882,0.32877796408133386,0.65861373153074,166180,535225,143310,2250194,3094909,309490,701405,1,42,3.0,coarse
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_prices,hybrid_avg,0.815183121948071,0.2797219929853518,0.5385317172168538,0.8459220397352272,0.3681967178333881,0.6749487748638378,86772,223436,74355,1226713,1611276,161127,310208,1,42,2.75,refine
hybrid_avg__threshold_2p750__attempt_01,hybrid_avg__threshold_2p750,new_products,hybrid_avg,0.7722724642307738,0.22937814739459395,0.5413098969272028,0.7979348887905194,0.3222176916803865,0.6572138559143553,167530,562836,141960,2222583,3094909,309490,730366,1,42,2.75,refine
