run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,decimal_shift,40303,24166,0.5996079696300524,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,list_price_violation,40281,17183,0.426578287530101,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,price_drop,40076,24050,0.6001097913963469,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,price_spike,40467,24014,0.593421800479403,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,decimal_shift,77126,47290,0.6131525036952519,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,list_price_violation,77372,33896,0.4380912991779972,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,price_drop,77741,46899,0.60327240452271,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,price_spike,77251,47551,0.6155389574244994,1,42,1.0,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,decimal_shift,40303,24151,0.5992357888990893,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,list_price_violation,40281,17063,0.42359921551103497,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,price_drop,40076,23856,0.59526898892105,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,price_spike,40467,23949,0.5918155534138928,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,decimal_shift,77126,47302,0.6133080932500065,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,list_price_violation,77372,32718,0.4228661531303314,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,price_drop,77741,46418,0.5970851931413282,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,price_spike,77251,47664,0.617001721660561,1,42,1.5,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,decimal_shift,40303,24129,0.5986899238270104,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,list_price_violation,40281,16948,0.42074427149276333,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,price_drop,40076,23561,0.5879079748477892,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,price_spike,40467,23875,0.5899869029085427,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,decimal_shift,77126,47119,0.6109353525399995,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,list_price_violation,77372,31657,0.4091531820296748,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,price_drop,77741,45649,0.5871933728663125,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,price_spike,77251,47584,0.6159661363606943,1,42,2.0,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,decimal_shift,40303,24057,0.5969034563183883,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,list_price_violation,40281,16816,0.4174672922717907,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,price_drop,40076,23131,0.5771783611138837,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,price_spike,40467,23801,0.5881582524031927,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,decimal_shift,77126,46874,0.6077587324637606,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,list_price_violation,77372,30742,0.39732719846973064,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,price_drop,77741,44611,0.57384134497884,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,price_spike,77251,47415,0.613778462414726,1,42,2.5,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,decimal_shift,40303,23944,0.5940996948118006,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,list_price_violation,40281,16652,0.4133958938457337,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,price_drop,40076,22609,0.5641531090927239,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,price_spike,40467,23729,0.5863790248844738,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,decimal_shift,77126,46567,0.6037782330212899,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,list_price_violation,77372,29952,0.38711678643436903,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,price_drop,77741,43440,0.5587785081231268,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,price_spike,77251,47222,0.6112801128787977,1,42,3.0,coarse
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,decimal_shift,40303,24014,0.5958365382229611,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,list_price_violation,40281,16737,0.4155060698592388,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,price_drop,40076,22911,0.5716887912965366,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,price_spike,40467,23765,0.5872686386438333,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,decimal_shift,77126,46755,0.6062158027124446,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,list_price_violation,77372,30341,0.39214444501886986,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,price_drop,77741,44000,0.5659819143051928,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,price_spike,77251,47321,0.6125616496873827,1,42,2.75,refine
