run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_prices,hybrid_max,0.6712183387576057,0.1633242428172441,0.5549225145382214,0.6841400435403534,0.25237092567712505,0.6161531573056338,89413,458044,71714,992105,1611276,161127,547457,1,42,1.0,coarse
hybrid_max__threshold_1p000__attempt_01,hybrid_max__threshold_1p000,new_products,hybrid_max,0.6304479388570068,0.14815202207991146,0.5675013732269217,0.6374419791061955,0.23496423416155968,0.6014558990443545,175636,1009876,133854,1775543,3094909,309490,1185512,1,42,1.0,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_prices,hybrid_max,0.7317256633872782,0.19818333611621305,0.5524772384516562,0.7516420726421905,0.2917211478907164,0.6444106893879373,89019,360156,72108,1089993,1611276,161127,449175,1,42,1.5,coarse
hybrid_max__threshold_1p500__attempt_01,hybrid_max__threshold_1p500,new_products,hybrid_max,0.6879908262246159,0.17334724609052188,0.5625448318200911,0.7019292250106717,0.2650268981705591,0.6283841642126535,174102,830252,135388,1955167,3094909,309490,1004354,1,42,1.5,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_prices,hybrid_max,0.7695248982793761,0.22856338668277995,0.54933685850292,0.7939901348068371,0.32281335193340444,0.6604301979294238,88513,298745,72614,1151404,1611276,161127,387258,1,42,2.0,coarse
hybrid_max__threshold_2p000__attempt_01,hybrid_max__threshold_2p000,new_products,hybrid_max,0.7195355340011612,0.1905832428479624,0.555782093120941,0.737730301976112,0.2838362086747028,0.6403259259088511,172009,730531,137481,2054888,3094909,309490,902540,1,42,2.0,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_prices,hybrid_max,0.7947843820673801,0.25440253576788685,0.544942809088483,0.822544441984927,0.34687093225143156,0.6695070416473489,87805,257337,73322,1192812,1611276,161127,345142,1,42,2.5,coarse
hybrid_max__threshold_2p500__attempt_01,hybrid_max__threshold_2p500,new_products,hybrid_max,0.7496953868433611,0.21087581296366276,0.5481340269475589,0.7720910211354198,0.30457631105054606,0.6505454331443812,169642,634822,139848,2150597,3094909,309490,804464,1,42,2.5,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_prices,hybrid_max,0.814365136699113,0.2787686387686388,0.539537135303208,0.8449014549539392,0.36760349869021114,0.6751708751267052,86934,224916,74193,1225233,1611276,161127,311850,1,42,3.0,coarse
hybrid_max__threshold_3p000__attempt_01,hybrid_max__threshold_3p000,new_products,hybrid_max,0.7737477903227526,0.2305620450640048,0.5401822352903163,0.7996994348067562,0.3231824719309641,0.6572544623312314,167181,557921,142309,2227498,3094909,309490,725102,1,42,3.0,coarse
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_prices,hybrid_max,0.8047485347016898,0.2662770192275478,0.5425968335536564,0.8338763809787821,0.3572400491972753,0.6726504916331137,87427,240904,73700,1209245,1611276,161127,328331,1,42,2.75,refine
hybrid_max__threshold_2p750__attempt_01,hybrid_max__threshold_2p750,new_products,hybrid_max,0.7613732746261683,0.21990228132116071,0.5441759022908657,0.7855062380202045,0.31322847562030276,0.6537993314693341,168417,597455,141073,2187964,3094909,309490,765872,1,42,2.75,refine
