run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.8498016478865198,0.3936923012217946,0.9295152271189807,0.8409446201735132,0.5531150344104248,0.8841215016133632,149770,230654,11357,1219495,1611276,161127,380424,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.8070864119106571,0.25198628317515515,0.47201201977446766,0.8443167796299228,0.3285658377717,0.6312904786883721,146083,433643,163407,2351776,3094909,309490,579726,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.8694059863114699,0.42803083391730906,0.9097916550298832,0.8649187083534174,0.5821682383286968,0.8870714870511646,146592,195888,14535,1254261,1611276,161127,342480,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.8285962527492731,0.28026218710661494,0.4553588161168374,0.8700669450448927,0.34697176171958194,0.6294383639706399,140929,361918,168561,2423501,3094909,309490,502847,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8829443248704754,0.4562914707772172,0.8902790966132306,0.8821293536043537,0.6033501225013407,0.886194856689485,143448,170930,17679,1279219,1611276,161127,314378,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.8478258973042503,0.31324295128760876,0.4375553329671395,0.8934113682717034,0.3651077172780375,0.6252334833650169,135419,296894,174071,2488525,3094909,309490,432313,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.89017461936999,0.47334357026440915,0.8723925847312989,0.8921503928217032,0.613703390810996,0.8822161793816578,140566,156398,20561,1293751,1611276,161127,296964,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.8563560350239701,0.3292070757520199,0.4206274839251672,0.9047701620474334,0.3693442564811859,0.6169045281018594,130180,265255,179310,2520164,3094909,309490,395435,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.896673195653631,0.49046997713932217,0.8561817696599576,0.9011722243714266,0.6236674834311341,0.8783889968748063,137954,143315,23173,1306834,1611276,161127,281269,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.8649485332202013,0.34901768665067057,0.40513748424827944,0.9160384846947622,0.3749895326163674,0.6091974451389648,125386,233868,184104,2551551,3094909,309490,359254,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,0.8598632388243852,0.41046280451673284,0.9200009930055174,0.8531812937842939,0.5676609742414408,0.8859614198684288,148237,212909,12890,1237240,1611276,161127,361146,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,0.8172091651160018,0.2642808122772576,0.4641151571940935,0.8564417058977483,0.3367858578966681,0.6304661584576218,143639,399870,165851,2385549,3094909,309490,543509,1,42,1.25,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,0.8754347486091768,0.4399446511260947,0.8997995370111775,0.8727275610988939,0.5909516113582773,0.8861601748068342,144982,184564,16145,1265585,1611276,161127,329546,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,0.8351599352355756,0.2897127707510296,0.4466541729942809,0.8783271026728833,0.3514590629707552,0.6263453246116072,138235,338910,171255,2446509,3094909,309490,477145,1,42,1.75,refine
