run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_prices,modified_mad,0.6982987396324404,0.17720382432574705,0.5536378136501021,0.7143721093487635,0.2684760494540552,0.6288906206586811,89206,414203,71921,1035946,1611276,161127,503409,1,42,1.0,coarse
modified_mad__threshold_1p000__attempt_01,modified_mad__threshold_1p000,new_products,modified_mad,0.635075861681232,0.14982211725313163,0.5667355972729329,0.6426691998582619,0.23699284896348816,0.6035093311876709,175399,995316,134091,1790103,3094909,309490,1170715,1,42,1.0,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_prices,modified_mad,0.7592038856161204,0.21922880806340625,0.5496782041495218,0.7824844205664383,0.313445697854457,0.6558312519786923,88568,315430,72559,1134719,1611276,161127,403998,1,42,1.5,coarse
modified_mad__threshold_1p500__attempt_01,modified_mad__threshold_1p500,new_products,modified_mad,0.7001940929442514,0.17976538921237806,0.5608129503376522,0.7156808365276462,0.27225953800929253,0.633532226041571,173566,791948,135924,1993471,3094909,309490,965514,1,42,1.5,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_prices,modified_mad,0.7873418334289097,0.245709146536218,0.5442849429332142,0.8143480428562858,0.3385741503216877,0.6657607513467644,87699,269223,73428,1180926,1611276,161127,356922,1,42,2.0,coarse
modified_mad__threshold_2p000__attempt_01,modified_mad__threshold_2p000,new_products,modified_mad,0.7277499920029958,0.19536468875253005,0.5523280235225694,0.74724125885549,0.2886356671217229,0.6424346562866682,170940,704039,138550,2081380,3094909,309490,874979,1,42,2.0,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_prices,modified_mad,0.8133442067032588,0.276748967903477,0.5371104780700938,0.8440367162270912,0.3652836400472733,0.6733059959345714,86543,226170,74584,1223979,1611276,161127,312713,1,42,2.5,coarse
modified_mad__threshold_2p500__attempt_01,modified_mad__threshold_2p500,new_products,modified_mad,0.7621762061501647,0.22037416040727867,0.5430999386086788,0.7865179350036745,0.3135278410685956,0.6535731345573503,168084,594637,141406,2190782,3094909,309490,762721,1,42,2.5,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_prices,modified_mad,0.8297678361745597,0.30054708374752365,0.5291540213620312,0.8631692329546826,0.3833566015381744,0.6758324279982059,85261,198425,75866,1251724,1611276,161127,283686,1,42,3.0,coarse
modified_mad__threshold_3p000__attempt_01,modified_mad__threshold_3p000,new_products,modified_mad,0.7838802368664152,0.23939580719781295,0.5333516430256228,0.8117166573502945,0.330462810496444,0.6579744773690284,165067,524448,144423,2260971,3094909,309490,689515,1,42,3.0,coarse
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_prices,modified_mad,0.8242361954128281,0.2923147067530002,0.5331881062764156,0.8565747381820764,0.37760919156267997,0.6758072673000178,85911,207988,75216,1242161,1611276,161127,293899,1,42,2.75,refine
modified_mad__threshold_2p750__attempt_01,modified_mad__threshold_2p750,new_products,modified_mad,0.7779023551257889,0.2342594493936692,0.538169246179198,0.8045392811638034,0.3264281402623059,0.6580108650056455,166558,544440,142932,2240979,3094909,309490,710998,1,42,2.75,refine
