run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,stage
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_prices,modified_sn,0.6738330366740397,0.16458839555261026,0.554910101969254,0.6870466414140892,0.25387617534609086,0.6174537406516587,89411,453829,71716,996320,1611276,161127,543240,1,42,1.0,coarse
modified_sn__threshold_1p000__attempt_01,modified_sn__threshold_1p000,new_products,modified_sn,0.6332241109512429,0.14921570960012237,0.5674044395618598,0.6405373841422063,0.23629158677296738,0.6028629657456396,175606,1001254,133884,1784165,3094909,309490,1176860,1,42,1.0,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_prices,modified_sn,0.734365186349204,0.20006967701332853,0.5524400007447542,0.7545790122256403,0.29375434173161047,0.645646675880786,89013,355897,72114,1094252,1611276,161127,444910,1,42,1.5,coarse
modified_sn__threshold_1p500__attempt_01,modified_sn__threshold_1p500,new_products,modified_sn,0.6898700414131724,0.17432886107694712,0.5624058935668358,0.7040326787459984,0.26615706201039496,0.62924727078502,174059,824393,135431,1961026,3094909,309490,998452,1,42,1.5,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_prices,modified_sn,0.7741982130932255,0.233063458367792,0.5491941139597957,0.7991985651129643,0.3272504710535512,0.6625067153207992,88490,291192,72637,1158957,1611276,161127,379682,1,42,2.0,coarse
modified_sn__threshold_2p000__attempt_01,modified_sn__threshold_2p000,new_products,modified_sn,0.7261198956092085,0.19492002013669368,0.5554751365149116,0.7450803631338768,0.2885765555259001,0.6433300991142651,171914,710058,137576,2075361,3094909,309490,881972,1,42,2.0,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_prices,modified_sn,0.7970552531037514,0.2570857850818486,0.544756620553973,0.8250883185107185,0.3493184757735549,0.670426971452118,87775,253648,73352,1196501,1611276,161127,341423,1,42,2.5,coarse
modified_sn__threshold_2p500__attempt_01,modified_sn__threshold_2p500,new_products,modified_sn,0.7527775453171645,0.21326129010739778,0.5474845713916443,0.7755878020506071,0.3069547188303036,0.651630535949831,169441,625082,140049,2160337,3094909,309490,794523,1,42,2.5,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_prices,modified_sn,0.8164951256023176,0.28179146691922957,0.5391895833721226,0.8473067250330828,0.37014014779531906,0.6759134264526675,86878,221428,74249,1228721,1611276,161127,308306,1,42,3.0,coarse
modified_sn__threshold_3p000__attempt_01,modified_sn__threshold_3p000,new_products,modified_sn,0.7773365872793029,0.2339497183448009,0.5393195256712656,0.8037828420068938,0.3263382117031998,0.6584039649742852,166914,546547,142576,2238872,3094909,309490,713461,1,42,3.0,coarse
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_prices,modified_sn,0.8065253873327722,0.26855818699251954,0.5423299633208587,0.8358803129885274,0.3592287090269656,0.6732926105963855,87384,237998,73743,1212151,1611276,161127,325382,1,42,2.75,refine
modified_sn__threshold_2p750__attempt_01,modified_sn__threshold_2p750,new_products,modified_sn,0.7639071132624577,0.2220202692178743,0.5434844421467576,0.788398442029727,0.31525491710180564,0.6545855845158057,168203,589399,141287,2196020,3094909,309490,757602,1,42,2.75,refine
